A1,A4,A5,A6,A7,A9,A10,A12,A13,A2,A3,A8,A11,A14,A15,target
3,3,2,3,9,2,2,2,2,29.83,3.5,0.165,0,216.0,0,1
2,3,2,15,5,3,3,3,2,23.0,11.75,0.5,2,300.0,551,0
3,4,4,10,9,3,3,2,2,21.67,1.165,2.5,1,180.0,20,1
2,3,2,8,2,3,3,3,2,47.0,13.0,5.165,9,0.0,0,0
2,4,4,12,5,3,3,3,2,41.0,2.04,0.125,23,455.0,1236,0
2,4,4,12,5,2,2,2,2,18.17,10.0,0.165,0,340.0,0,1
3,3,2,12,5,3,3,3,2,41.42,5.0,5.0,6,470.0,0,0
2,3,2,14,9,3,2,2,4,28.42,3.5,0.835,0,280.0,0,0
3,3,2,2,9,2,3,3,2,32.92,2.5,1.75,2,720.0,0,1
2,3,2,5,9,2,2,3,2,33.08,1.625,0.54,0,0.0,0,1
3,4,4,14,9,3,2,3,2,23.33,11.625,0.835,0,160.0,300,0
2,3,2,10,9,3,2,3,2,38.25,6.0,1.0,0,0.0,0,0
2,3,2,3,9,2,2,2,2,38.33,4.415,0.125,0,160.0,0,1
3,4,4,10,5,3,2,3,2,19.67,10.0,0.835,0,140.0,0,1
3,3,2,15,9,3,3,2,2,21.83,11.0,0.29,6,121.0,0,0
2,3,2,7,4,2,3,2,2,16.08,0.335,0.0,1,160.0,126,1
3,3,2,7,4,2,3,2,2,31.25,1.125,0.0,1,96.0,19,1
2,3,2,7,4,2,2,3,4,53.33,0.165,0.0,0,62.0,27,1
3,3,2,15,9,3,3,3,2,25.08,1.71,1.665,1,395.0,20,0
3,3,2,6,10,3,3,3,2,67.75,5.5,13.0,1,0.0,0,0
3,3,2,13,7,3,3,3,2,34.75,15.0,5.375,9,0.0,134,0
2,3,2,10,9,3,3,2,2,29.5,0.46,0.54,4,380.0,500,0
2,3,2,12,9,3,3,2,2,18.42,9.25,1.21,4,60.0,540,0
2,3,2,4,5,3,3,3,2,46.67,0.46,0.415,11,440.0,6,0
3,3,2,11,9,2,2,2,4,34.67,1.08,1.165,0,28.0,0,1
2,3,2,11,9,3,2,2,4,27.67,1.5,2.0,0,368.0,0,1
3,3,2,3,9,3,3,3,2,20.17,9.25,1.665,3,40.0,28,0
3,3,2,15,5,3,3,2,2,42.0,9.79,7.96,8,0.0,0,0
2,3,2,12,9,2,2,2,4,22.67,0.335,0.75,0,160.0,0,1
2,3,2,12,9,2,3,3,2,15.83,7.625,0.125,1,0.0,160,1
3,3,2,14,5,3,3,2,2,48.17,7.625,15.5,12,0.0,790,0
2,3,2,3,5,3,3,2,2,15.83,0.585,1.5,2,100.0,0,0
3,4,4,3,5,3,2,3,2,52.33,1.375,9.46,0,200.0,100,1
3,2,3,7,8,2,2,3,3,17.5,22.0,0.0,0,450.0,100000,0
3,3,2,12,9,3,3,2,2,39.92,6.21,0.04,1,200.0,300,0
3,3,2,10,9,2,2,2,2,28.46,0.625,0.25,0,380.0,2010,1
2,3,2,10,5,2,2,3,4,45.0,4.585,1.0,0,240.0,0,1
2,3,2,2,9,3,3,3,2,50.08,12.54,2.29,3,156.0,0,0
2,3,2,3,9,2,2,2,2,22.67,7.0,0.165,0,160.0,0,1
3,3,2,4,5,3,3,3,2,32.75,1.5,5.5,3,0.0,0,0
3,4,4,11,2,2,2,3,4,19.17,0.0,0.0,0,500.0,1,0
3,3,2,14,9,3,2,3,2,24.58,12.5,0.875,0,260.0,0,1
3,3,2,5,5,3,2,3,2,21.83,0.25,0.665,0,0.0,0,0
0,4,4,4,9,2,2,3,2,33.17,2.25,3.5,0,200.0,141,1
0,4,4,0,0,2,2,3,2,42.25,1.75,0.0,0,150.0,1,1
3,3,2,15,5,3,3,3,2,33.5,1.75,4.5,4,253.0,857,0
2,3,2,14,9,3,3,2,2,32.17,1.46,1.085,16,120.0,2079,0
3,4,4,5,9,3,3,3,2,21.0,3.0,1.085,8,160.0,1,0
2,4,4,12,5,3,3,2,2,40.33,7.54,8.0,14,0.0,2300,0
3,4,4,7,4,2,3,2,2,19.0,0.0,0.0,4,45.0,1,1
3,3,2,3,9,2,3,2,2,23.25,12.625,0.125,2,0.0,5552,1
3,4,4,11,9,2,2,3,2,22.5,11.5,1.5,0,0.0,4000,1
3,3,2,8,9,2,2,3,2,36.67,2.0,0.25,0,221.0,0,1
3,3,2,6,9,2,2,2,2,37.5,0.835,0.04,0,120.0,5,1
3,3,2,12,9,3,3,3,2,19.67,0.375,2.0,2,80.0,0,0
2,3,2,12,5,3,3,2,2,26.92,13.5,5.0,2,0.0,5000,0
3,3,2,3,5,3,3,2,2,41.92,0.42,0.21,6,220.0,948,0
3,3,2,3,5,2,2,3,2,22.08,0.83,2.165,0,128.0,0,0
3,3,2,3,5,3,3,2,2,28.92,15.0,5.335,11,0.0,2283,0
3,3,2,3,2,3,2,3,4,28.46,0.5,0.835,0,320.0,0,1
3,3,2,11,9,3,3,3,2,56.75,12.25,1.25,4,200.0,0,0
2,3,2,4,9,3,2,2,2,22.92,11.585,0.04,0,80.0,1349,0
2,3,2,3,9,2,3,3,2,28.58,3.75,0.25,1,40.0,154,1
2,3,2,14,9,2,2,3,2,23.5,1.5,0.875,0,160.0,0,1
3,3,2,4,9,3,3,3,2,34.17,1.54,1.54,1,520.0,50000,0
3,3,2,3,2,2,3,3,2,19.33,10.915,0.585,2,200.0,7,1
2,3,2,14,9,2,3,3,2,23.75,0.71,0.25,1,240.0,4,1
3,3,2,3,9,2,2,3,2,20.0,11.045,2.0,0,136.0,0,1
3,3,2,15,9,3,3,3,2,31.67,0.83,1.335,8,303.0,3290,0
2,4,4,15,5,2,2,3,2,20.42,10.5,0.0,0,154.0,32,1
3,3,2,8,2,2,2,2,2,39.92,5.0,0.21,0,550.0,0,1
3,3,2,14,9,2,2,3,2,34.17,5.25,0.085,0,290.0,6,0
3,3,2,2,9,2,3,2,2,16.33,2.75,0.665,1,80.0,21,1
3,3,2,14,9,2,3,2,2,29.5,0.58,0.29,1,340.0,2803,1
3,3,2,6,5,3,3,2,2,57.42,8.5,7.0,3,0.0,0,0
3,3,2,3,9,2,3,3,2,31.08,3.085,2.5,2,160.0,41,1
3,3,2,15,5,3,2,2,2,51.42,0.04,0.04,0,0.0,3000,0
3,3,2,8,2,3,3,2,2,51.33,10.0,0.0,11,0.0,1249,0
2,3,2,11,5,2,3,3,2,27.25,0.29,0.125,1,272.0,108,1
2,4,4,15,5,3,3,2,2,28.5,3.04,2.54,1,70.0,0,0
3,3,2,10,9,3,3,3,2,25.0,12.0,2.25,2,120.0,5,1
2,3,2,10,5,2,2,2,2,21.92,11.665,0.085,0,320.0,5,1
3,4,4,4,9,3,2,3,2,19.42,1.5,2.0,0,100.0,20,1
3,3,2,15,9,3,3,2,2,28.25,5.125,4.75,2,420.0,7,0
2,3,2,15,5,3,2,3,2,25.0,0.875,1.04,0,160.0,5860,0
3,3,2,14,9,2,2,3,2,28.0,3.0,0.75,0,300.0,67,1
3,3,2,11,2,3,3,3,2,47.67,2.5,2.5,12,410.0,2510,0
2,3,2,12,9,2,2,3,2,22.92,1.25,0.25,0,120.0,809,1
3,3,2,14,9,3,3,3,2,27.83,1.54,3.75,5,100.0,3,0
3,3,2,15,2,2,2,3,2,47.83,4.165,0.085,0,520.0,0,1
3,3,2,10,5,3,3,3,2,28.0,2.0,4.165,2,181.0,0,0
3,3,2,5,2,3,3,3,2,56.58,18.5,15.0,17,0.0,0,0
0,3,2,14,9,2,2,3,2,29.75,0.665,0.25,0,300.0,0,1
3,4,4,5,9,2,2,2,2,36.42,0.75,0.585,0,240.0,3,1
3,3,2,3,9,3,3,3,2,25.33,0.58,0.29,7,96.0,5124,0
3,3,2,12,9,2,2,2,2,20.08,0.25,0.125,0,200.0,0,1
3,4,4,3,2,3,2,3,2,37.5,1.75,0.25,0,164.0,400,1
3,3,2,12,9,2,2,2,2,20.42,1.085,1.5,0,108.0,7,1
2,3,2,12,9,2,2,3,2,19.5,0.165,0.04,0,380.0,0,1
3,3,2,5,9,3,3,2,2,31.67,16.165,3.0,9,250.0,730,0
3,3,2,8,2,2,2,3,2,34.42,1.335,0.125,0,440.0,4500,1
3,3,2,3,9,2,2,3,4,23.42,1.0,0.5,0,280.0,0,1
3,3,2,3,9,2,2,2,2,16.5,0.125,0.165,0,132.0,0,1
2,4,4,7,4,2,2,2,2,22.25,1.25,3.25,0,280.0,0,1
3,4,4,14,9,2,2,3,2,36.17,0.42,0.29,0,309.0,2,1
3,3,2,3,9,2,2,3,2,32.33,2.5,1.25,0,280.0,0,1
3,3,2,3,5,2,3,3,2,29.42,1.25,0.25,2,400.0,108,1
3,3,2,12,9,2,3,2,2,17.08,0.25,0.335,4,160.0,8,1
3,3,2,14,9,2,2,2,2,29.42,1.25,1.75,0,200.0,0,1
3,3,2,15,9,3,3,3,2,33.17,1.0,0.75,7,340.0,4071,0
2,3,2,3,9,2,3,3,2,17.92,0.54,1.75,1,80.0,5,1
3,3,2,3,9,3,3,2,2,51.58,15.0,8.5,9,0.0,0,0
3,3,2,8,2,2,2,2,2,48.08,3.75,1.0,0,100.0,2,1
3,3,2,8,2,2,2,2,2,36.17,5.5,5.0,0,210.0,687,1
3,3,2,14,9,2,3,2,2,22.0,0.79,0.29,1,420.0,283,1
3,3,2,7,4,3,3,3,2,60.08,14.5,18.0,15,0.0,1000,0
3,4,4,4,9,3,3,2,2,26.67,2.71,5.25,1,211.0,0,0
3,3,2,5,2,3,2,3,2,34.83,4.0,12.5,0,160.0,0,1
3,3,2,7,4,3,2,3,2,73.42,17.75,0.0,0,0.0,0,0
3,3,2,15,5,3,3,2,2,23.17,11.125,0.46,1,100.0,0,0
3,3,2,15,9,3,3,2,2,22.58,10.04,0.04,9,60.0,396,0
