epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,471,,,,,,,,,,,,,,,0.9915181398391724,0.9911469221115112,0.03408518433570862,0.9913597702980042,0.9915779829025269,0.9911469221115112,0.9915162920951843
0,471,,,,,,,,0.9497047066688538,0.9465171694755554,12.78248405456543,0.9483790397644043,0.950639545917511,0.9465171694755554,0.9495892524719238,,,,,,,
1,943,,,,,,,,,,,,,,,0.9947982430458069,0.9948163032531738,0.014705589972436428,0.9947046041488647,0.994594395160675,0.9948163032531738,0.9947987794876099
1,943,,,,,,,,0.9935308694839478,0.9932593703269958,0.023961517959833145,0.9933876991271973,0.9935175180435181,0.9932593703269958,0.9935300350189209,,,,,,,
2,1415,,,,,,,,,,,,,,,0.9967198967933655,0.9967007637023926,0.009087934158742428,0.9966603517532349,0.996620237827301,0.9967007637023926,0.9967199563980103
2,1415,,,,,,,,0.9958915710449219,0.9957645535469055,0.014480102807283401,0.9958014488220215,0.9958384037017822,0.9957645535469055,0.9958914518356323,,,,,,,
3,1887,,,,,,,,,,,,,,,0.9975482225418091,0.9976028203964233,0.0067808739840984344,0.9975039958953857,0.9974063634872437,0.9976028203964233,0.9975484609603882
3,1887,,,,,,,,0.9971920251846313,0.9970996379852295,0.011545531451702118,0.9971303939819336,0.9971612691879272,0.9970996379852295,0.9971919059753418,,,,,,,
4,2359,,,,,,,,,,,,,,,0.9963885545730591,0.9963362812995911,0.01248897984623909,0.9963228106498718,0.9963093996047974,0.9963362812995911,0.9963885545730591
4,2359,,,,,,,,0.9971423149108887,0.9969993829727173,0.020788392052054405,0.9970793724060059,0.9971599578857422,0.9969993829727173,0.9971420764923096,,,,,,,
5,2831,,,,,,,,,,,,,,,0.9973825216293335,0.9975018501281738,0.007886077277362347,0.99733567237854,0.9971727728843689,0.9975018501281738,0.9973829388618469
5,2831,,,,,,,,0.9977055788040161,0.9975823163986206,0.01059317123144865,0.9976550340652466,0.9977282285690308,0.9975823163986206,0.997705340385437,,,,,,,
6,3303,,,,,,,,,,,,,,,0.9989728927612305,0.9989045262336731,0.003799981437623501,0.9989540576934814,0.9990038871765137,0.9989045262336731,0.9989727735519409
6,3303,,,,,,,,0.998558759689331,0.9985024333000183,0.005897372495383024,0.9985271096229553,0.9985519051551819,0.9985024333000183,0.9985586404800415,,,,,,,
7,3775,,,,,,,,,,,,,,,0.9991385340690613,0.9991137981414795,0.002762581454589963,0.9991227984428406,0.9991318583488464,0.9991137981414795,0.9991384744644165
7,3775,,,,,,,,0.9988983273506165,0.9988581538200378,0.0045862337574362755,0.9988741874694824,0.9988902807235718,0.9988581538200378,0.9988983869552612,,,,,,,
8,4247,,,,,,,,,,,,,,,0.9992710947990417,0.9992668628692627,0.0024541968014091253,0.9992578029632568,0.9992488026618958,0.9992668628692627,0.9992710947990417
