epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,598,,,,,,,,,,,,,,,0.9501422643661499,0.6995773315429688,0.13118670880794525,0.7413675785064697,0.8122298121452332,0.6995773315429688,0.9446710348129272
0,598,,,,,,,,0.9465193748474121,0.629427969455719,0.14500421285629272,0.6772687435150146,0.8121106624603271,0.629427969455719,0.9355482459068298,,,,,,,
1,1197,,,,,,,,,,,,,,,0.950429379940033,0.6901873350143433,0.1290014386177063,0.7358400225639343,0.8200085163116455,0.6901873350143433,0.9441461563110352
1,1197,,,,,,,,0.952053427696228,0.6861317157745361,0.1249888464808464,0.7359244227409363,0.8347201347351074,0.6861317157745361,0.9452449083328247,,,,,,,
2,1796,,,,,,,,,,,,,,,0.9498290419578552,0.6849981546401978,0.1286856234073639,0.7308173775672913,0.8172341585159302,0.6849981546401978,0.9432500600814819
2,1796,,,,,,,,0.9530323147773743,0.6943325996398926,0.12189719080924988,0.7440112829208374,0.8391204476356506,0.6943325996398926,0.9466845989227295,,,,,,,
3,2395,,,,,,,,,,,,,,,0.950063943862915,0.7069364190101624,0.12914788722991943,0.7458412051200867,0.8081448078155518,0.7069364190101624,0.9451693892478943
3,2395,,,,,,,,0.9537566900253296,0.6997396945953369,0.1196269541978836,0.7494567632675171,0.8427407145500183,0.6997396945953369,0.9476854205131531,,,,,,,
4,2994,,,,,,,,,,,,,,,0.9503771662712097,0.7022345066070557,0.12908919155597687,0.7436463832855225,0.8129717111587524,0.7022345066070557,0.9450589418411255
4,2994,,,,,,,,0.9540177583694458,0.7018970251083374,0.11769083142280579,0.7515373229980469,0.8438541889190674,0.7018970251083374,0.948060154914856,,,,,,,
5,3593,,,,,,,,,,,,,,,0.9501683712005615,0.6937485337257385,0.12845158576965332,0.7376049757003784,0.8154909610748291,0.6937485337257385,0.9442316889762878
5,3593,,,,,,,,0.9545267820358276,0.7043834924697876,0.1158934012055397,0.7544754147529602,0.8473477363586426,0.7043834924697876,0.9486576318740845,,,,,,,
6,4192,,,,,,,,,,,,,,,0.9501944780349731,0.6795450448989868,0.12891797721385956,0.7278217077255249,0.8244885802268982,0.6795450448989868,0.9430661797523499
6,4192,,,,,,,,0.9552576541900635,0.7089571952819824,0.11446633189916611,0.7593096494674683,0.8515048623085022,0.7089571952819824,0.9495885968208313,,,,,,,
7,4791,,,,,,,,,,,,,,,0.9502205848693848,0.6992295980453491,0.12906235456466675,0.7413332462310791,0.8130935430526733,0.6992295980453491,0.9447050094604492
7,4791,,,,,,,,0.9557210206985474,0.7112224102020264,0.11321335285902023,0.7619681358337402,0.8546308875083923,0.7112224102020264,0.9501305222511292,,,,,,,
8,5390,,,,,,,,,,,,,,,0.9498551487922668,0.6994242072105408,0.1292034387588501,0.7405723333358765,0.8098024725914001,0.6994242072105408,0.9444357752799988
8,5390,,,,,,,,0.9561713337898254,0.7152527570724487,0.11181996017694473,0.7656493186950684,0.85610032081604,0.7152527570724487,0.9507879018783569,,,,,,,
9,5989,,,,,,,,,,,,,,,0.9502989053726196,0.6881701946258545,0.12971378862857819,0.7341443300247192,0.819951057434082,0.6881701946258545,0.943878710269928
9,5989,,,,,,,,0.9564258456230164,0.7162744998931885,0.11078198999166489,0.7669662237167358,0.8579756617546082,0.7162744998931885,0.9510684013366699,,,,,,,
10,6588,,,,,,,,,,,,,,,0.9495940804481506,0.6905208826065063,0.12990832328796387,0.7340545058250427,0.8119091987609863,0.6905208826065063,0.9435256719589233
10,6588,,,,,,,,0.9568108916282654,0.7217468023300171,0.10961198806762695,0.771255612373352,0.8574888706207275,0.7217468023300171,0.951766312122345,,,,,,,
11,7187,,,,,,,,,,,,,,,0.9499334096908569,0.6817429065704346,0.1301541030406952,0.7287721633911133,0.8202945590019226,0.6817429065704346,0.9430543780326843
11,7187,,,,,,,,0.9573590755462646,0.7236634492874146,0.10857336223125458,0.7739056348800659,0.8616698980331421,0.7236634492874146,0.9523483514785767,,,,,,,
12,7786,,,,,,,,,,,,,,,0.9494896531105042,0.7019559144973755,0.13043999671936035,0.7413157820701599,0.8055664300918579,0.7019559144973755,0.9443467855453491
12,7786,,,,,,,,0.957652747631073,0.7255428433418274,0.10757540166378021,0.7758121490478516,0.8631826043128967,0.7255428433418274,0.9527182579040527,,,,,,,
13,8385,,,,,,,,,,,,,,,0.9493852853775024,0.7054058909416199,0.130984827876091,0.7432429790496826,0.8032830357551575,0.7054058909416199,0.9445268511772156
13,8385,,,,,,,,0.9580442905426025,0.729492723941803,0.1066468209028244,0.779149055480957,0.8639422655105591,0.729492723941803,0.9533056616783142,,,,,,,
14,8984,,,,,,,,,,,,,,,0.9494896531105042,0.7054616212844849,0.13095378875732422,0.743529200553894,0.8040987253189087,0.7054616212844849,0.9446121454238892
14,8984,,,,,,,,0.9584619402885437,0.7298137545585632,0.10588666796684265,0.7805331945419312,0.8680888414382935,0.7298137545585632,0.9536736607551575,,,,,,,
15,9583,,,,,,,,,,,,,,,0.9494374394416809,0.6953063011169434,0.1312055140733719,0.7368791103363037,0.8081211447715759,0.6953063011169434,0.9437888860702515
15,9583,,,,,,,,0.9587817192077637,0.7345129251480103,0.105072021484375,0.7840321063995361,0.8673702478408813,0.7345129251480103,0.9542454481124878,,,,,,,
16,10182,,,,,,,,,,,,,,,0.9498029351234436,0.6873213052749634,0.1314753293991089,0.7323672771453857,0.8156249523162842,0.6873213052749634,0.9434240460395813
16,10182,,,,,,,,0.9590950012207031,0.7352213859558105,0.10435905307531357,0.7853301167488098,0.8700432181358337,0.7352213859558105,0.9545525312423706,,,,,,,
17,10781,,,,,,,,,,,,,,,0.949280858039856,0.6628928184509277,0.133729487657547,0.7131190896034241,0.8266276121139526,0.6628928184509277,0.9408489465713501
17,10781,,,,,,,,0.9591341018676758,0.7361282706260681,0.10360651463270187,0.7859312891960144,0.869660496711731,0.7361282706260681,0.9546430110931396,,,,,,,
18,11380,,,,,,,,,,,,,,,0.9490197896957397,0.6859298944473267,0.13232555985450745,0.7295486927032471,0.8089818954467773,0.6859298944473267,0.9427046775817871
18,11380,,,,,,,,0.9594408273696899,0.7376700639724731,0.10301068425178528,0.7876555323600769,0.8715314865112305,0.7376700639724731,0.9549973607063293,,,,,,,
19,11979,,,,,,,,,,,,,,,0.9490981101989746,0.7153801918029785,0.1333431452512741,0.7486345171928406,0.7974544763565063,0.7153801918029785,0.9450315833091736
19,11979,,,,,,,,0.9596562385559082,0.740196943283081,0.1022832915186882,0.7896232604980469,0.8715688586235046,0.740196943283081,0.9553361535072327,,,,,,,
20,12578,,,,,,,,,,,,,,,0.9493591785430908,0.6962383389472961,0.13302341103553772,0.7373052835464478,0.8070060014724731,0.6962383389472961,0.943801999092102
20,12578,,,,,,,,0.9599368572235107,0.7422170639038086,0.10158976167440414,0.7915074825286865,0.8727234601974487,0.7422170639038086,0.9556969404220581,,,,,,,
21,12579,0.9507162570953369,0.6971241235733032,0.12727148830890656,0.7402728796005249,0.8152463436126709,0.6971241235733032,0.9450529217720032,,,,,,,,,,,,,,
