epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,183,,,,,,,,,,,,,,,0.98683762550354,0.6899999976158142,0.032310403883457184,0.7521849870681763,0.8801020979881287,0.6899999976158142,0.9846466183662415
0,183,,,,,,,,0.981063187122345,0.6378316879272461,0.050677843391895294,0.6770772933959961,0.7510921955108643,0.6378316879272461,0.9783094525337219,,,,,,,
1,367,,,,,,,,,,,,,,,0.98879075050354,0.8160181641578674,0.028691528365015984,0.8329699039459229,0.8519401550292969,0.8160181641578674,0.9884893894195557
1,367,,,,,,,,0.98704993724823,0.741833508014679,0.03233267366886139,0.792560338973999,0.8721243143081665,0.741833508014679,0.9856768250465393,,,,,,,
2,551,,,,,,,,,,,,,,,0.9901494383811951,0.8120794296264648,0.02626103349030018,0.8456643223762512,0.8877730369567871,0.8120794296264648,0.9896168112754822
2,551,,,,,,,,0.9896611571311951,0.8160428404808044,0.026453455910086632,0.8489843606948853,0.8900189399719238,0.8160428404808044,0.9891197085380554,,,,,,,
3,735,,,,,,,,,,,,,,,0.9895550012588501,0.821037769317627,0.028028476983308792,0.8424321413040161,0.8670350313186646,0.821037769317627,0.9892058968544006
3,735,,,,,,,,0.991062343120575,0.837270975112915,0.0233853068202734,0.8702272176742554,0.9107027053833008,0.837270975112915,0.9906236529350281,,,,,,,
4,919,,,,,,,,,,,,,,,0.9900645613670349,0.8097209930419922,0.02613263763487339,0.843932032585144,0.8870863914489746,0.8097209930419922,0.9895131587982178
4,919,,,,,,,,0.9922724366188049,0.8632602691650391,0.020493298768997192,0.890212893486023,0.9217037558555603,0.8632602691650391,0.9919847249984741,,,,,,,
5,1103,,,,,,,,,,,,,,,0.990234375,0.867688775062561,0.026819519698619843,0.8634806275367737,0.8593720197677612,0.867688775062561,0.9902901649475098
5,1103,,,,,,,,0.992569625377655,0.8698898553848267,0.018844636157155037,0.8950458765029907,0.9240560531616211,0.8698898553848267,0.9923161864280701,,,,,,,
6,1287,,,,,,,,,,,,,,,0.9901494383811951,0.7935574054718018,0.02985343523323536,0.8390284776687622,0.9021012783050537,0.7935574054718018,0.9893811941146851
6,1287,,,,,,,,0.9934400320053101,0.8859888911247253,0.01701994426548481,0.9082421064376831,0.9333498477935791,0.8859888911247253,0.9932504296302795,,,,,,,
7,1471,,,,,,,,,,,,,,,0.9909986257553101,0.8264033794403076,0.02949075773358345,0.8596915006637573,0.9009243249893188,0.8264033794403076,0.9905375242233276
7,1471,,,,,,,,0.9938221573829651,0.8991398215293884,0.014971156604588032,0.9150453209877014,0.9323331117630005,0.8991398215293884,0.9936988949775696,,,,,,,
8,1655,,,,,,,,,,,,,,,0.99074387550354,0.7915448546409607,0.03300400823354721,0.8449893593788147,0.9238032102584839,0.7915448546409607,0.9898887276649475
8,1655,,,,,,,,0.9945864677429199,0.9119457006454468,0.013433338142931461,0.925971269607544,0.9410312175750732,0.9119457006454468,0.9944940805435181,,,,,,,
9,1839,,,,,,,,,,,,,,,0.9912533760070801,0.8080110549926758,0.03691207244992256,0.8566830158233643,0.9246201515197754,0.8080110549926758,0.9905575513839722
9,1839,,,,,,,,0.9950534701347351,0.9154228568077087,0.01183996256440878,0.9319778680801392,0.9499702453613281,0.9154228568077087,0.9949547648429871,,,,,,,
10,2023,,,,,,,,,,,,,,,0.9917629361152649,0.8383687734603882,0.035638779401779175,0.8719325065612793,0.9132546782493591,0.8383687734603882,0.9913526773452759
10,2023,,,,,,,,0.9960088133811951,0.9348042011260986,0.010084040462970734,0.9458757638931274,0.9575515985488892,0.9348042011260986,0.9959579110145569,,,,,,,
11,2207,,,,,,,,,,,,,,,0.990828812122345,0.8101100921630859,0.035767849534749985,0.852509081363678,0.9090564250946045,0.8101100921630859,0.990198016166687
11,2207,,,,,,,,0.9960300326347351,0.9412931203842163,0.009552876465022564,0.9468410015106201,0.9525364637374878,0.9412931203842163,0.9960050582885742,,,,,,,
12,2391,,,,,,,,,,,,,,,0.9920176863670349,0.8500747680664062,0.04082772880792618,0.8780727386474609,0.9111724495887756,0.8500747680664062,0.9916974306106567
12,2391,,,,,,,,0.9966669678688049,0.9464763402938843,0.008316884748637676,0.9550743103027344,0.9640247821807861,0.9464763402938843,0.9966349005699158,,,,,,,
13,2575,,,,,,,,,,,,,,,0.9923573136329651,0.8919222354888916,0.03977510333061218,0.8919222354888916,0.8919222354888916,0.8919222354888916,0.9923573136329651
13,2575,,,,,,,,0.9968580007553101,0.9492729306221008,0.007881327532231808,0.9576730132102966,0.966407060623169,0.9492729306221008,0.9968286156654358,,,,,,,
14,2759,,,,,,,,,,,,,,,0.9912533760070801,0.849685549736023,0.04483374208211899,0.8693464994430542,0.8914613127708435,0.849685549736023,0.9910068511962891
14,2759,,,,,,,,0.997176468372345,0.9586125612258911,0.006846144329756498,0.962356448173523,0.9661645889282227,0.9586125612258911,0.9971648454666138,,,,,,,
15,2943,,,,,,,,,,,,,,,0.9917629361152649,0.8869890570640564,0.04356706514954567,0.8843196034431458,0.8816882371902466,0.8869890570640564,0.991791307926178
