epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,3,,,,,,,,,,,,,,,0.7387388348579407,0.25,0.8212279081344604,0.21243521571159363,0.18468467891216278,0.25,0.6277364492416382
0,3,,,,,,,,0.5316742062568665,0.2603212594985962,1.2452139854431152,0.26482272148132324,0.3179054856300354,0.2603212594985962,0.5305625796318054,,,,,,,
1,7,,,,,,,,,,,,,,,0.8018018007278442,0.4487127363681793,0.5506510138511658,0.39074695110321045,0.3745849132537842,0.4487127363681793,0.7972822189331055
1,7,,,,,,,,0.7183257937431335,0.28318920731544495,0.7358410954475403,0.26588934659957886,0.3245936632156372,0.28318920731544495,0.631214439868927,,,,,,,
2,11,,,,,,,,,,,,,,,0.8648648858070374,0.6992208957672119,0.3974117040634155,0.636043906211853,0.6680355072021484,0.6992208957672119,0.8703230023384094
2,11,,,,,,,,0.790723979473114,0.4634964168071747,0.5433023571968079,0.4206518828868866,0.6283068656921387,0.4634964168071747,0.778901219367981,,,,,,,
3,15,,,,,,,,,,,,,,,0.8198198676109314,0.7939024567604065,0.4062885046005249,0.6755011677742004,0.7044326663017273,0.7939024567604065,0.780872642993927
3,15,,,,,,,,0.8653846383094788,0.7327010631561279,0.37406864762306213,0.7221653461456299,0.7293192148208618,0.7327010631561279,0.8602182269096375,,,,,,,
4,19,,,,,,,,,,,,,,,0.8648648858070374,0.7102981209754944,0.3002861738204956,0.7454211711883545,0.8013899326324463,0.7102981209754944,0.857354998588562
4,19,,,,,,,,0.8382353186607361,0.7904391288757324,0.3719991147518158,0.7361670732498169,0.7814977765083313,0.7904391288757324,0.8091548681259155,,,,,,,
