epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.3333333432674408,0.2797619104385376,1.4037889242172241,0.25525209307670593,0.46885523200035095,0.2797619104385376,0.3554190993309021
0,0,,,,,,,,0.2709677517414093,0.21361346542835236,1.5175294876098633,0.14341305196285248,0.1960381418466568,0.21361346542835236,0.2425203174352646,,,,,,,
1,1,,,,,,,,,,,,,,,0.4615384638309479,0.3154761791229248,1.3314634561538696,0.30466029047966003,0.4691176414489746,0.3154761791229248,0.45655766129493713
1,1,,,,,,,,0.34838709235191345,0.2274790108203888,1.4374009370803833,0.17645388841629028,0.19130435585975647,0.2274790108203888,0.3308144509792328,,,,,,,
2,2,,,,,,,,,,,,,,,0.5384615659713745,0.3035714328289032,1.26982581615448,0.29476189613342285,0.44504308700561523,0.3035714328289032,0.47711843252182007
2,2,,,,,,,,0.44516128301620483,0.25319328904151917,1.3686187267303467,0.2120082825422287,0.20458801090717316,0.25319328904151917,0.40884923934936523,,,,,,,
3,3,,,,,,,,,,,,,,,0.5128205418586731,0.2380952388048172,1.2181180715560913,0.18518517911434174,0.1515151560306549,0.2380952388048172,0.3988603949546814
3,3,,,,,,,,0.4838709533214569,0.22899159789085388,1.3105342388153076,0.2051432877779007,0.1987532377243042,0.22899159789085388,0.4255446195602417,,,,,,,
4,4,,,,,,,,,,,,,,,0.5128205418586731,0.2380952388048172,1.1753596067428589,0.17241378128528595,0.13513512909412384,0.2380952388048172,0.37135276198387146
4,4,,,,,,,,0.5032258033752441,0.21210086345672607,1.2622088193893433,0.18922944366931915,0.19316363334655762,0.21210086345672607,0.42013347148895264,,,,,,,
5,5,,,,,,,,,,,,,,,0.5128205418586731,0.2380952388048172,1.140305757522583,0.17241378128528595,0.13513512909412384,0.2380952388048172,0.37135276198387146
5,5,,,,,,,,0.5354838371276855,0.20949581265449524,1.222550868988037,0.17393577098846436,0.18154676258563995,0.20949581265449524,0.4166078567504883,,,,,,,
6,6,,,,,,,,,,,,,,,0.5384615659713745,0.25,1.1115745306015015,0.17796608805656433,0.1381578892469406,0.25,0.38331156969070435
6,6,,,,,,,,0.5354838371276855,0.1952941119670868,1.1902716159820557,0.14561404287815094,0.11608392000198364,0.1952941119670868,0.39926430583000183,,,,,,,
7,7,,,,,,,,,,,,,,,0.5384615659713745,0.25,1.0877783298492432,0.17796608805656433,0.1381578892469406,0.25,0.38331156969070435
7,7,,,,,,,,0.5419355034828186,0.1976470649242401,1.163949728012085,0.14608696103096008,0.11586207151412964,0.1976470649242401,0.40056100487709045,,,,,,,
8,8,,,,,,,,,,,,,,,0.5384615659713745,0.25,1.0676496028900146,0.17796608805656433,0.1381578892469406,0.25,0.38331156969070435
8,8,,,,,,,,0.5548387169837952,0.22117647528648376,1.142163634300232,0.18331637978553772,0.20586207509040833,0.22117647528648376,0.4209771454334259,,,,,,,
9,9,,,,,,,,,,,,,,,0.5384615659713745,0.25,1.0501294136047363,0.17796608805656433,0.1381578892469406,0.25,0.38331156969070435
9,9,,,,,,,,0.5548387169837952,0.22117647528648376,1.1236157417297363,0.18331637978553772,0.20586207509040833,0.22117647528648376,0.4209771454334259,,,,,,,
10,10,,,,,,,,,,,,,,,0.5384615659713745,0.25,1.0344127416610718,0.17796608805656433,0.1381578892469406,0.25,0.38331156969070435
10,10,,,,,,,,0.5612903237342834,0.2235294133424759,1.1072217226028442,0.1829153597354889,0.1956462562084198,0.2235294133424759,0.4217767119407654,,,,,,,
11,11,,,,,,,,,,,,,,,0.5384615659713745,0.25,1.019953727722168,0.17796608805656433,0.1381578892469406,0.25,0.38331156969070435
11,11,,,,,,,,0.5612903237342834,0.2235294133424759,1.0921552181243896,0.1829153597354889,0.1956462562084198,0.2235294133424759,0.4217767119407654,,,,,,,
12,12,,,,,,,,,,,,,,,0.5384615659713745,0.25,1.0064414739608765,0.18103449046611786,0.14189189672470093,0.25,0.3899204432964325
12,12,,,,,,,,0.5612903237342834,0.2235294133424759,1.0778528451919556,0.1829153597354889,0.1956462562084198,0.2235294133424759,0.4217767119407654,,,,,,,
13,13,,,,,,,,,,,,,,,0.5641025900840759,0.30000001192092896,0.993751049041748,0.2430555522441864,0.21250000596046448,0.30000001192092896,0.4323361814022064
