epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,135,,,,,,,,,,,,,,,0.7598288655281067,0.5158789753913879,0.5999740362167358,0.49878808856010437,0.5933988094329834,0.5158789753913879,0.7197054624557495
0,135,,,,,,,,0.7220134139060974,0.4625927209854126,0.7562246918678284,0.45872125029563904,0.5010077357292175,0.4625927209854126,0.6753872632980347,,,,,,,
1,271,,,,,,,,,,,,,,,0.7630665898323059,0.5192354321479797,0.5849283933639526,0.5061933994293213,0.627494752407074,0.5192354321479797,0.7235704660415649
1,271,,,,,,,,0.7566207647323608,0.5165032744407654,0.6033336520195007,0.5039049983024597,0.6212687492370605,0.5165032744407654,0.716751217842102,,,,,,,
2,407,,,,,,,,,,,,,,,0.764916718006134,0.5450360178947449,0.5821389555931091,0.5423260927200317,0.6125600337982178,0.5450360178947449,0.737376868724823
2,407,,,,,,,,0.7602347731590271,0.526794970035553,0.5899116396903992,0.5196021199226379,0.6185651421546936,0.526794970035553,0.7243331670761108,,,,,,,
3,543,,,,,,,,,,,,,,,0.770814061164856,0.5315350294113159,0.5576408505439758,0.5246994495391846,0.6296098232269287,0.5315350294113159,0.7348242998123169
3,543,,,,,,,,0.766884446144104,0.5393088459968567,0.5726590752601624,0.5367093682289124,0.6348981261253357,0.5393088459968567,0.7339812517166138,,,,,,,
4,679,,,,,,,,,,,,,,,0.7800647616386414,0.5785639882087708,0.5459194183349609,0.5779417157173157,0.6435797214508057,0.5785639882087708,0.7590993642807007
4,679,,,,,,,,0.7755001783370972,0.5533298850059509,0.5559322834014893,0.5580576062202454,0.6574962139129639,0.5533298850059509,0.745581865310669,,,,,,,
5,815,,,,,,,,,,,,,,,0.7905874252319336,0.5597448348999023,0.514320433139801,0.581032931804657,0.666130006313324,0.5597448348999023,0.7626585364341736
5,815,,,,,,,,0.7871805429458618,0.5741443634033203,0.5270982384681702,0.5821179747581482,0.6535102725028992,0.5741443634033203,0.7618271112442017,,,,,,,
6,951,,,,,,,,,,,,,,,0.7808741927146912,0.6414532661437988,0.532118558883667,0.6416335105895996,0.6451308727264404,0.6414532661437988,0.7822848558425903
6,951,,,,,,,,0.7974153161048889,0.5886058211326599,0.5077248215675354,0.5980347990989685,0.6708133816719055,0.5886058211326599,0.7734928131103516,,,,,,,
7,1087,,,,,,,,,,,,,,,0.8027289509773254,0.6114347577095032,0.5004506707191467,0.6342483162879944,0.675971508026123,0.6114347577095032,0.7884003520011902
7,1087,,,,,,,,0.8033711314201355,0.6015085577964783,0.4955322742462158,0.6135483384132385,0.678981363773346,0.6015085577964783,0.7821549773216248,,,,,,,
8,1223,,,,,,,,,,,,,,,0.8023820519447327,0.6373019218444824,0.49341142177581787,0.6515100598335266,0.6706299781799316,0.6373019218444824,0.7952494621276855
8,1223,,,,,,,,0.8058286309242249,0.6059245467185974,0.48672187328338623,0.6183428168296814,0.6813816428184509,0.6059245467185974,0.7853150367736816,,,,,,,
9,1359,,,,,,,,,,,,,,,0.8098982572555542,0.6031892895698547,0.4846232533454895,0.6256552338600159,0.6947806477546692,0.6031892895698547,0.7896267175674438
9,1359,,,,,,,,0.808748722076416,0.6118825078010559,0.4806300103664398,0.6237645745277405,0.6820645332336426,0.6118825078010559,0.7892847657203674,,,,,,,
10,1495,,,,,,,,,,,,,,,0.8104764223098755,0.602350652217865,0.4806431531906128,0.622498095035553,0.6868261694908142,0.602350652217865,0.7901172637939453
10,1495,,,,,,,,0.8124493956565857,0.6176390647888184,0.47228533029556274,0.6304555535316467,0.6878588795661926,0.6176390647888184,0.7935994863510132,,,,,,,
11,1631,,,,,,,,,,,,,,,0.8116327524185181,0.609039843082428,0.47725075483322144,0.6284621357917786,0.6865406036376953,0.609039843082428,0.7928358912467957
11,1631,,,,,,,,0.8130276203155518,0.6186562776565552,0.46956026554107666,0.6317997574806213,0.690419614315033,0.6186562776565552,0.7943260669708252,,,,,,,
12,1767,,,,,,,,,,,,,,,0.8137141466140747,0.6048347353935242,0.4741267263889313,0.6121687293052673,0.6876859664916992,0.6048347353935242,0.7909592986106873
12,1767,,,,,,,,0.8141841292381287,0.6224291920661926,0.4657966196537018,0.6366989016532898,0.6924591064453125,0.6224291920661926,0.7963603734970093,,,,,,,
13,1903,,,,,,,,,,,,,,,0.8087419271469116,0.6408803462982178,0.4730398654937744,0.6492249369621277,0.6709869503974915,0.6408803462982178,0.7999083995819092
13,1903,,,,,,,,0.8151671290397644,0.6221757531166077,0.4604516327381134,0.6352580189704895,0.6894661784172058,0.6221757531166077,0.7970609664916992,,,,,,,
14,2039,,,,,,,,,,,,,,,0.8153330087661743,0.6272562742233276,0.4663499891757965,0.6401057839393616,0.6814170479774475,0.6272562742233276,0.8006696701049805
14,2039,,,,,,,,0.8157453536987305,0.6244556307792664,0.4594501554965973,0.6383125185966492,0.6893985271453857,0.6244556307792664,0.7983419299125671,,,,,,,
15,2175,,,,,,,,,,,,,,,0.8030758500099182,0.640406608581543,0.4947093725204468,0.6364414095878601,0.6547341346740723,0.640406608581543,0.7952001094818115
15,2175,,,,,,,,0.818838894367218,0.6299188733100891,0.4567822217941284,0.6444370746612549,0.6966040134429932,0.6299188733100891,0.8020474910736084,,,,,,,
16,2311,,,,,,,,,,,,,,,0.7964847087860107,0.5777868032455444,0.5169222354888916,0.6066713333129883,0.673612654209137,0.5777868032455444,0.7749173045158386
16,2311,,,,,,,,0.8164681196212769,0.6226987242698669,0.45959004759788513,0.635723888874054,0.6915269494056702,0.6226987242698669,0.7980637550354004,,,,,,,
17,2447,,,,,,,,,,,,,,,0.8079324960708618,0.5982587933540344,0.48622316122055054,0.5932809114456177,0.6768128275871277,0.5982587933540344,0.783003568649292
17,2447,,,,,,,,0.8164681196212769,0.6268101334571838,0.4602642059326172,0.6415436267852783,0.6926717162132263,0.6268101334571838,0.7996039390563965,,,,,,,
18,2583,,,,,,,,,,,,,,,0.8063135743141174,0.6304630637168884,0.48826169967651367,0.6307781338691711,0.6546846628189087,0.6304630637168884,0.7954121828079224
18,2583,,,,,,,,0.8208338022232056,0.6304476857185364,0.4513504207134247,0.6450265049934387,0.7020363807678223,0.6304476857185364,0.803289532661438,,,,,,,
19,2719,,,,,,,,,,,,,,,0.8131359815597534,0.626142680644989,0.4760931432247162,0.6353323459625244,0.6722556948661804,0.626142680644989,0.7987493872642517
19,2719,,,,,,,,0.819503903388977,0.6343607306480408,0.45478758215904236,0.6499887704849243,0.7022566795349121,0.6343607306480408,0.8035376071929932,,,,,,,
20,2855,,,,,,,,,,,,,,,0.8131359815597534,0.6279367804527283,0.46518635749816895,0.6382155418395996,0.6686840653419495,0.6279367804527283,0.7998822331428528
20,2855,,,,,,,,0.8186943531036377,0.63033527135849,0.45346546173095703,0.6451129913330078,0.6993908882141113,0.63033527135849,0.8018621802330017,,,,,,,
21,2991,,,,,,,,,,,,,,,0.8078168630599976,0.6487054228782654,0.4825555086135864,0.6514388918876648,0.663631021976471,0.6487054228782654,0.8015716671943665
21,2991,,,,,,,,0.8186076283454895,0.626627504825592,0.4526664614677429,0.6407545208930969,0.6932832598686218,0.626627504825592,0.8010151982307434,,,,,,,
22,3127,,,,,,,,,,,,,,,0.8148704767227173,0.6184526085853577,0.47070804238319397,0.632713794708252,0.6744112372398376,0.6184526085853577,0.7986325025558472
22,3127,,,,,,,,0.820024311542511,0.6281086206436157,0.458118736743927,0.6409217715263367,0.6967284679412842,0.6281086206436157,0.8019775152206421,,,,,,,
23,3263,,,,,,,,,,,,,,,0.8151017427444458,0.6100015044212341,0.47348538041114807,0.614027738571167,0.6791181564331055,0.6100015044212341,0.7934393882751465
23,3263,,,,,,,,0.819388210773468,0.6290944218635559,0.4524020552635193,0.6442315578460693,0.6990489959716797,0.6290944218635559,0.8020660877227783,,,,,,,
24,3399,,,,,,,,,,,,,,,0.818455159664154,0.6335707306861877,0.46375975012779236,0.6465540528297424,0.6803007125854492,0.6335707306861877,0.8052687644958496
24,3399,,,,,,,,0.8186365365982056,0.6296466588973999,0.4524443447589874,0.6448580622673035,0.6984336376190186,0.6296466588973999,0.8017569780349731,,,,,,,
25,3535,,,,,,,,,,,,,,,0.8159111738204956,0.5865264534950256,0.47969669103622437,0.5827937722206116,0.7014873027801514,0.5865264534950256,0.783984899520874
25,3535,,,,,,,,0.8194171190261841,0.6314475536346436,0.45034337043762207,0.6455022692680359,0.6947207450866699,0.6314475536346436,0.8030251264572144,,,,,,,
26,3671,,,,,,,,,,,,,,,0.8162580728530884,0.5991396307945251,0.4683692753314972,0.6033539175987244,0.6791638731956482,0.5991396307945251,0.7908283472061157
