epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.4285714626312256,0.3523809611797333,0.8075065016746521,0.32428357005119324,0.3059034049510956,0.3523809611797333,0.3906485438346863
0,0,,,,,,,,0.3198198676109314,0.2738543152809143,0.8780316114425659,0.26812654733657837,0.26309895515441895,0.2738543152809143,0.3119344115257263,,,,,,,
1,1,,,,,,,,,,,,,,,0.4821428656578064,0.39523810148239136,0.7423014044761658,0.35324573516845703,0.332608699798584,0.39523810148239136,0.4254281520843506
1,1,,,,,,,,0.4189189672470093,0.35687413811683655,0.8053798079490662,0.33466535806655884,0.3220095634460449,0.35687413811683655,0.38799041509628296,,,,,,,
2,2,,,,,,,,,,,,,,,0.5892857313156128,0.4809523820877075,0.6821418404579163,0.407816082239151,0.4326923191547394,0.4809523820877075,0.4897701144218445
2,2,,,,,,,,0.4819819927215576,0.40834471583366394,0.7382521033287048,0.37172389030456543,0.36072495579719543,0.40834471583366394,0.4310024678707123,,,,,,,
3,3,,,,,,,,,,,,,,,0.6428571939468384,0.5428571701049805,0.6268662810325623,0.4991055727005005,0.6235294342041016,0.5428571701049805,0.5661896467208862
3,3,,,,,,,,0.6081081032752991,0.5198358297348022,0.6765662431716919,0.4710666835308075,0.5506882667541504,0.5198358297348022,0.5317044854164124,,,,,,,
4,4,,,,,,,,,,,,,,,0.625,0.5285714268684387,0.5763751268386841,0.48758167028427124,0.5699999928474426,0.5285714268684387,0.5539215207099915
4,4,,,,,,,,0.6306306719779968,0.5446306467056274,0.6202441453933716,0.5045182108879089,0.6098484992980957,0.5446306467056274,0.5608183741569519,,,,,,,
