epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,122,,,,,,,,,,,,,,,0.9632851481437683,0.9620952606201172,0.10415070503950119,0.9627717137336731,0.9635335206985474,0.9620952606201172,0.9632565975189209
0,122,,,,,,,,0.8748241066932678,0.8729270696640015,0.2829864025115967,0.8732062578201294,0.8735061883926392,0.8729270696640015,0.8747755289077759,,,,,,,
1,245,,,,,,,,,,,,,,,0.9988486766815186,0.998906135559082,0.007582012563943863,0.998834490776062,0.9987636804580688,0.998906135559082,0.9988486766815186
1,245,,,,,,,,0.9912370443344116,0.9910383224487305,0.030147166922688484,0.9911289215087891,0.9912209510803223,0.9910383224487305,0.9912362098693848,,,,,,,
2,368,,,,,,,,,,,,,,,0.999744176864624,0.9997122287750244,0.002618232509121299,0.9997409582138062,0.9997698068618774,0.9997122287750244,0.9997441172599792
2,368,,,,,,,,0.9993283748626709,0.9993237257003784,0.0036220343317836523,0.9993202686309814,0.9993166923522949,0.9993237257003784,0.9993283748626709,,,,,,,
3,491,,,,,,,,,,,,,,,0.999744176864624,0.9997122287750244,0.0015071306843310595,0.9997409582138062,0.9997698068618774,0.9997122287750244,0.9997441172599792
3,491,,,,,,,,0.9998400807380676,0.9998345971107483,0.0015787978190928698,0.9998381733894348,0.9998416900634766,0.9998345971107483,0.9998400807380676,,,,,,,
4,614,,,,,,,,,,,,,,,1.0,1.0,0.001367195276543498,1.0,1.0,1.0,1.0
4,614,,,,,,,,0.999936044216156,0.9999281764030457,0.0010258356342092156,0.9999352693557739,0.9999423623085022,0.9999281764030457,0.999936044216156,,,,,,,
5,737,,,,,,,,,,,,,,,0.999872088432312,0.9998561143875122,0.0010882943170145154,0.9998705387115479,0.999884843826294,0.9998561143875122,0.999872088432312
5,737,,,,,,,,1.0,1.0,0.0006337190861813724,1.0,1.0,1.0,1.0,,,,,,,
6,860,,,,,,,,,,,,,,,0.999872088432312,0.9998561143875122,0.0008747614920139313,0.9998705387115479,0.999884843826294,0.9998561143875122,0.999872088432312
6,860,,,,,,,,1.0,1.0,0.0005665909848175943,1.0,1.0,1.0,1.0,,,,,,,
7,983,,,,,,,,,,,,,,,0.999872088432312,0.9998561143875122,0.0008643950568512082,0.9998705387115479,0.999884843826294,0.9998561143875122,0.999872088432312
7,983,,,,,,,,1.0,1.0,0.0005181029555387795,1.0,1.0,1.0,1.0,,,,,,,
8,1106,,,,,,,,,,,,,,,1.0,1.0,0.0006641323561780155,1.0,1.0,1.0,1.0
8,1106,,,,,,,,1.0,1.0,0.00044160333345644176,1.0,1.0,1.0,1.0,,,,,,,
9,1229,,,,,,,,,,,,,,,0.999872088432312,0.9998561143875122,0.0006726041901856661,0.9998705387115479,0.999884843826294,0.9998561143875122,0.999872088432312
9,1229,,,,,,,,1.0,1.0,0.00038576620863750577,1.0,1.0,1.0,1.0,,,,,,,
10,1352,,,,,,,,,,,,,,,0.999872088432312,0.9998561143875122,0.0005727665266022086,0.9998705387115479,0.999884843826294,0.9998561143875122,0.999872088432312
10,1352,,,,,,,,1.0,1.0,0.00034647135180421174,1.0,1.0,1.0,1.0,,,,,,,
11,1475,,,,,,,,,,,,,,,0.999872088432312,0.9998561143875122,0.0005402134847827256,0.9998705387115479,0.999884843826294,0.9998561143875122,0.999872088432312
11,1475,,,,,,,,1.0,1.0,0.000311074050841853,1.0,1.0,1.0,1.0,,,,,,,
12,1598,,,,,,,,,,,,,,,1.0,1.0,0.0004817507287953049,1.0,1.0,1.0,1.0
12,1598,,,,,,,,1.0,1.0,0.000284055044176057,1.0,1.0,1.0,1.0,,,,,,,
13,1721,,,,,,,,,,,,,,,1.0,1.0,0.00043933780398219824,1.0,1.0,1.0,1.0
13,1721,,,,,,,,1.0,1.0,0.0002532206999603659,1.0,1.0,1.0,1.0,,,,,,,
14,1844,,,,,,,,,,,,,,,1.0,1.0,0.0003663541574496776,1.0,1.0,1.0,1.0
14,1844,,,,,,,,1.0,1.0,0.00024107025819830596,1.0,1.0,1.0,1.0,,,,,,,
15,1967,,,,,,,,,,,,,,,1.0,1.0,0.0003517375444062054,1.0,1.0,1.0,1.0
15,1967,,,,,,,,1.0,1.0,0.00021550858218688518,1.0,1.0,1.0,1.0,,,,,,,
16,2090,,,,,,,,,,,,,,,1.0,1.0,0.0004410269029904157,1.0,1.0,1.0,1.0
16,2090,,,,,,,,1.0,1.0,0.00019367184722796082,1.0,1.0,1.0,1.0,,,,,,,
