epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,117,,,,,,,,,,,,,,,0.971695601940155,0.9717304110527039,0.09441248327493668,0.9717642068862915,0.9720271825790405,0.9717304110527039,0.9716166853904724
0,117,,,,,,,,0.8904059529304504,0.8903027176856995,0.6808699369430542,0.8901361227035522,0.8900083899497986,0.8903027176856995,0.8902350068092346,,,,,,,
1,235,,,,,,,,,,,,,,,0.9785046577453613,0.9784486293792725,0.07218170166015625,0.9785468578338623,0.9791933298110962,0.9784486293792725,0.9784649014472961
1,235,,,,,,,,0.9861129522323608,0.9860913753509521,0.051381319761276245,0.9860888123512268,0.9860938787460327,0.9860913753509521,0.9861106872558594,,,,,,,
2,353,,,,,,,,,,,,,,,0.9817089438438416,0.9817092418670654,0.06141174957156181,0.9817909002304077,0.981977105140686,0.9817092418670654,0.9817150235176086
2,353,,,,,,,,0.9910869002342224,0.9910587668418884,0.03465474024415016,0.9910619854927063,0.9910832047462463,0.9910587668418884,0.9910810589790344,,,,,,,
3,471,,,,,,,,,,,,,,,0.9833110570907593,0.9833552837371826,0.05704451724886894,0.9833673238754272,0.9834231734275818,0.9833552837371826,0.9833112359046936
3,471,,,,,,,,0.9950928092002869,0.9950859546661377,0.02026389352977276,0.9950862526893616,0.9950872659683228,0.9950859546661377,0.9950932860374451,,,,,,,
4,589,,,,,,,,,,,,,,,0.9826435446739197,0.9826136231422424,0.061884913593530655,0.9826675057411194,0.9828644394874573,0.9826136231422424,0.9826207160949707
4,589,,,,,,,,0.9965616464614868,0.9965528845787048,0.013746466487646103,0.9965547323226929,0.99655681848526,0.9965528845787048,0.9965612292289734,,,,,,,
5,707,,,,,,,,,,,,,,,0.9810413718223572,0.9810962677001953,0.07091822475194931,0.9810847640037537,0.9811342358589172,0.9810962677001953,0.9810241460800171
5,707,,,,,,,,0.9963613152503967,0.9963557720184326,0.013733797706663609,0.996354341506958,0.9963538646697998,0.9963557720184326,0.9963611364364624,,,,,,,
6,825,,,,,,,,,,,,,,,0.9778371453285217,0.9779229760169983,0.0825626403093338,0.977939248085022,0.9781137704849243,0.9779229760169983,0.9779024124145508
6,825,,,,,,,,0.996895432472229,0.9968888759613037,0.01378979254513979,0.9968893527984619,0.9968904852867126,0.9968888759613037,0.9968951344490051,,,,,,,
7,943,,,,,,,,,,,,,,,0.9829105734825134,0.9830306768417358,0.07074713706970215,0.9829439520835876,0.9829216003417969,0.9830306768417358,0.9829183220863342
7,943,,,,,,,,0.9966951608657837,0.9966911673545837,0.012681510299444199,0.9966919422149658,0.9966932535171509,0.9966911673545837,0.9966956973075867,,,,,,,
8,1061,,,,,,,,,,,,,,,0.9786381721496582,0.9785516262054443,0.099460169672966,0.9786427021026611,0.9789428114891052,0.9785516262054443,0.9786069393157959
8,1061,,,,,,,,0.9949259161949158,0.9949215054512024,0.022160306572914124,0.9949241876602173,0.9949273467063904,0.9949215054512024,0.9949264526367188,,,,,,,
9,1179,,,,,,,,,,,,,,,0.9718291163444519,0.9718450307846069,0.14776425063610077,0.9719510674476624,0.9721788167953491,0.9718450307846069,0.9718492031097412
9,1179,,,,,,,,0.9890506267547607,0.9890328049659729,0.052245352417230606,0.9890328049659729,0.9890342950820923,0.9890328049659729,0.9890514016151428,,,,,,,
10,1297,,,,,,,,,,,,,,,0.9710280299186707,0.9709845185279846,0.17108167707920074,0.9711276888847351,0.9715221524238586,0.9709845185279846,0.9710439443588257
10,1297,,,,,,,,0.9858125448226929,0.985791027545929,0.06827466934919357,0.9857943058013916,0.9858015179634094,0.985791027545929,0.9858136177062988,,,,,,,
11,1415,,,,,,,,,,,,,,,0.9767690300941467,0.9768165349960327,0.18684495985507965,0.9768437743186951,0.9769483804702759,0.9768165349960327,0.9767974019050598
11,1415,,,,,,,,0.9899852871894836,0.9899812340736389,0.057389866560697556,0.9899769425392151,0.9899742603302002,0.9899812340736389,0.989985466003418,,,,,,,
12,1533,,,,,,,,,,,,,,,0.9795727729797363,0.9796037673950195,0.15093517303466797,0.9796278476715088,0.979692280292511,0.9796037673950195,0.9795967936515808
12,1533,,,,,,,,0.9926892518997192,0.9926853179931641,0.03615587577223778,0.9926862716674805,0.9926883578300476,0.9926853179931641,0.9926910400390625,,,,,,,
13,1651,,,,,,,,,,,,,,,0.9798398017883301,0.9799466729164124,0.21162796020507812,0.9798652529716492,0.9799088835716248,0.9799466729164124,0.9798267483711243
13,1651,,,,,,,,0.9956936836242676,0.9956945776939392,0.02595633827149868,0.995690107345581,0.995686948299408,0.9956945776939392,0.9956924915313721,,,,,,,
14,1769,,,,,,,,,,,,,,,0.9815754294395447,0.9817171692848206,0.16769269108772278,0.9816041588783264,0.9815455079078674,0.9817171692848206,0.9815835356712341
14,1769,,,,,,,,0.9967619180679321,0.9967559576034546,0.020992912352085114,0.9967573285102844,0.9967591762542725,0.9967559576034546,0.9967619776725769,,,,,,,
15,1887,,,,,,,,,,,,,,,0.9798398017883301,0.9799395203590393,0.18533901870250702,0.9799104332923889,0.9799057245254517,0.9799395203590393,0.9798523783683777
15,1887,,,,,,,,0.9967619180679321,0.9967564940452576,0.05609695240855217,0.9967573285102844,0.9967582821846008,0.9967564940452576,0.9967618584632874,,,,,,,
16,2005,,,,,,,,,,,,,,,0.9715620875358582,0.9716808199882507,0.37452876567840576,0.9716817736625671,0.9718800187110901,0.9716808199882507,0.971561849117279
16,2005,,,,,,,,0.9917545914649963,0.9917430281639099,0.05492449179291725,0.9917415976524353,0.9917421936988831,0.9917430281639099,0.9917539358139038,,,,,,,
17,2123,,,,,,,,,,,,,,,0.9770360589027405,0.9769575595855713,0.22514675557613373,0.9771392345428467,0.977406919002533,0.9769575595855713,0.977084755897522
17,2123,,,,,,,,0.9919214844703674,0.9919112920761108,0.06446459144353867,0.9919084310531616,0.991910994052887,0.9919112920761108,0.9919218420982361,,,,,,,
18,2241,,,,,,,,,,,,,,,0.9777036309242249,0.9778632521629333,0.2520841360092163,0.9778385758399963,0.9778680205345154,0.9778632521629333,0.977726936340332
