epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.3125,0.5111110806465149,1.1531935930252075,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
0,0,0.22580644488334656,0.26638057827949524,1.1928303241729736,0.22332912683486938,0.3123064339160919,0.26638057827949524,0.26883620023727417,,,,,,,
1,1,,,,,,,,0.3125,0.5111110806465149,1.151718258857727,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
1,1,0.22580644488334656,0.26638057827949524,1.191424012184143,0.22332912683486938,0.3123064339160919,0.26638057827949524,0.26883620023727417,,,,,,,
2,2,,,,,,,,0.3125,0.5111110806465149,1.150246024131775,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
2,2,0.22580644488334656,0.26638057827949524,1.1900197267532349,0.22332912683486938,0.3123064339160919,0.26638057827949524,0.26883620023727417,,,,,,,
3,3,,,,,,,,0.3125,0.5111110806465149,1.1487767696380615,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
3,3,0.22580644488334656,0.26638057827949524,1.188618540763855,0.22332912683486938,0.3123064339160919,0.26638057827949524,0.26883620023727417,,,,,,,
4,4,,,,,,,,0.3125,0.5111110806465149,1.1473106145858765,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
4,4,0.22580644488334656,0.26638057827949524,1.1872199773788452,0.22332912683486938,0.3123064339160919,0.26638057827949524,0.26883620023727417,,,,,,,
5,5,,,,,,,,0.3125,0.5111110806465149,1.1458475589752197,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
5,5,0.22580644488334656,0.26638057827949524,1.1858240365982056,0.22234010696411133,0.30664488673210144,0.26638057827949524,0.26687657833099365,,,,,,,
6,6,,,,,,,,0.3125,0.5111110806465149,1.1443878412246704,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
6,6,0.23655913770198822,0.27413251996040344,1.1844309568405151,0.23226706683635712,0.3167836368083954,0.27413251996040344,0.27998635172843933,,,,,,,
7,7,,,,,,,,0.3125,0.5111110806465149,1.142930507659912,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
7,7,0.23655913770198822,0.27413251996040344,1.1830408573150635,0.23226706683635712,0.3167836368083954,0.27413251996040344,0.27998635172843933,,,,,,,
8,8,,,,,,,,0.3125,0.5111110806465149,1.141477108001709,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
8,8,0.23655913770198822,0.27413251996040344,1.181653380393982,0.23226706683635712,0.3167836368083954,0.27413251996040344,0.27998635172843933,,,,,,,
9,9,,,,,,,,0.3125,0.5111110806465149,1.140026569366455,0.29999998211860657,0.39259257912635803,0.5111110806465149,0.34062498807907104
9,9,0.23655913770198822,0.27413251996040344,1.18026864528656,0.23226706683635712,0.3167836368083954,0.27413251996040344,0.27998635172843933,,,,,,,
