epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.06666667014360428,0.20000000298023224,1.7564301490783691,0.05714286118745804,0.03333333507180214,0.20000000298023224,0.01904761977493763
0,0,0.1111111119389534,0.28833332657814026,1.6974787712097168,0.13236364722251892,0.30000001192092896,0.28833332657814026,0.09519192576408386,,,,,,,
1,1,,,,,,,,0.06666667014360428,0.20000000298023224,1.7305773496627808,0.05714286118745804,0.03333333507180214,0.20000000298023224,0.01904761977493763
1,1,0.13333334028720856,0.29666668176651,1.6665128469467163,0.14713287353515625,0.30000001192092896,0.29666668176651,0.13457654416561127,,,,,,,
2,2,,,,,,,,0.06666667014360428,0.20000000298023224,1.7055119276046753,0.05714286118745804,0.03333333507180214,0.20000000298023224,0.01904761977493763
2,2,0.13333334028720856,0.29666668176651,1.6362693309783936,0.14713287353515625,0.30000001192092896,0.29666668176651,0.13457654416561127,,,,,,,
3,3,,,,,,,,0.13333334028720856,0.22499999403953552,1.6812502145767212,0.10666666179895401,0.14000000059604645,0.22499999403953552,0.12888889014720917
3,3,0.13333334028720856,0.29666668176651,1.6067677736282349,0.14713287353515625,0.30000001192092896,0.29666668176651,0.13457654416561127,,,,,,,
4,4,,,,,,,,0.20000001788139343,0.32499998807907104,1.6578179597854614,0.20000000298023224,0.21666666865348816,0.32499998807907104,0.18666666746139526
4,4,0.17777778208255768,0.3383333086967468,1.5780305862426758,0.18044444918632507,0.3127485513687134,0.3383333086967468,0.18251854181289673,,,,,,,
5,5,,,,,,,,0.20000001788139343,0.32499998807907104,1.6352438926696777,0.20000000298023224,0.21666666865348816,0.32499998807907104,0.18666666746139526
5,5,0.2666666805744171,0.37166664004325867,1.5500762462615967,0.23195013403892517,0.2934313714504242,0.37166664004325867,0.29982948303222656,,,,,,,
6,6,,,,,,,,0.3333333432674408,0.375,1.6135554313659668,0.29230767488479614,0.2866666913032532,0.375,0.3461538553237915
