epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.5384615659713745,0.3181818127632141,0.6059077382087708,0.3499999940395355,0.3888888955116272,0.3181818127632141,0.5923076868057251
0,0,0.4722222089767456,0.375,0.7010629177093506,0.3613445460796356,0.4504643976688385,0.375,0.5683162808418274,,,,,,,
1,1,,,,,,,,0.5384615659713745,0.3181818127632141,0.5966783761978149,0.3499999940395355,0.3888888955116272,0.3181818127632141,0.5923076868057251
1,1,0.5,0.28125,0.6871950626373291,0.3333333432674408,0.40909090638160706,0.28125,0.5925925970077515,,,,,,,
2,2,,,,,,,,0.5384615659713745,0.3181818127632141,0.5878695845603943,0.3499999940395355,0.3888888955116272,0.3181818127632141,0.5923076868057251
2,2,0.5,0.28125,0.6737184524536133,0.3333333432674408,0.40909090638160706,0.28125,0.5925925970077515,,,,,,,
3,3,,,,,,,,0.5384615659713745,0.3181818127632141,0.5794748663902283,0.3499999940395355,0.3888888955116272,0.3181818127632141,0.5923076868057251
3,3,0.5,0.28125,0.660632848739624,0.3333333432674408,0.40909090638160706,0.28125,0.5925925970077515,,,,,,,
4,4,,,,,,,,0.5384615659713745,0.3181818127632141,0.57148677110672,0.3499999940395355,0.3888888955116272,0.3181818127632141,0.5923076868057251
4,4,0.5,0.28125,0.647944986820221,0.3333333432674408,0.40909090638160706,0.28125,0.5925925970077515,,,,,,,
5,5,,,,,,,,0.6153846383094788,0.3636363744735718,0.563900887966156,0.3809524178504944,0.4000000059604645,0.3636363744735718,0.6446886658668518
5,5,0.5277777910232544,0.296875,0.6356536149978638,0.34545454382896423,0.41304346919059753,0.296875,0.6141414046287537,,,,,,,
6,6,,,,,,,,0.6153846383094788,0.3636363744735718,0.5567129850387573,0.3809524178504944,0.4000000059604645,0.3636363744735718,0.6446886658668518
6,6,0.5277777910232544,0.296875,0.6237603425979614,0.34545454382896423,0.41304346919059753,0.296875,0.6141414046287537,,,,,,,
7,7,,,,,,,,0.692307710647583,0.40909090638160706,0.5499160885810852,0.40909090638160706,0.40909090638160706,0.40909090638160706,0.692307710647583
7,7,0.6111111044883728,0.34375,0.6122661232948303,0.37931033968925476,0.42307692766189575,0.34375,0.6743295192718506,,,,,,,
8,8,,,,,,,,0.692307710647583,0.40909090638160706,0.5435025691986084,0.40909090638160706,0.40909090638160706,0.40909090638160706,0.692307710647583
8,8,0.6388888955116272,0.359375,0.6011696457862854,0.3898305296897888,0.42592594027519226,0.359375,0.6930320262908936,,,,,,,
9,9,,,,,,,,0.7692307829856873,0.4545454680919647,0.5374656915664673,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
9,9,0.694444477558136,0.390625,0.5904666781425476,0.409836083650589,0.43103447556495667,0.390625,0.7285974621772766,,,,,,,
10,10,,,,,,,,0.7692307829856873,0.4545454680919647,0.5317937731742859,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
10,10,0.7777777910232544,0.4375,0.5801565051078796,0.4375,0.4375,0.4375,0.7777777910232544,,,,,,,
11,11,,,,,,,,0.7692307829856873,0.4545454680919647,0.5264781713485718,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
11,11,0.7777777910232544,0.4375,0.570231020450592,0.4375,0.4375,0.4375,0.7777777910232544,,,,,,,
12,12,,,,,,,,0.7692307829856873,0.4545454680919647,0.5215060114860535,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
12,12,0.7777777910232544,0.4375,0.5606864094734192,0.4375,0.4375,0.4375,0.7777777910232544,,,,,,,
13,13,,,,,,,,0.7692307829856873,0.4545454680919647,0.5168668627738953,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
13,13,0.7777777910232544,0.4375,0.5515141487121582,0.4375,0.4375,0.4375,0.7777777910232544,,,,,,,
14,14,,,,,,,,0.7692307829856873,0.4545454680919647,0.5125476121902466,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
14,14,0.8055555820465088,0.453125,0.5427077412605286,0.446153849363327,0.43939393758773804,0.453125,0.7931624054908752,,,,,,,
15,15,,,,,,,,0.7692307829856873,0.4545454680919647,0.5085352659225464,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
15,15,0.8055555820465088,0.453125,0.5342566967010498,0.446153849363327,0.43939393758773804,0.453125,0.7931624054908752,,,,,,,
16,16,,,,,,,,0.7692307829856873,0.4545454680919647,0.504817008972168,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
16,16,0.8333333134651184,0.46875,0.5261525511741638,0.4545454680919647,0.44117647409439087,0.46875,0.8080808520317078,,,,,,,
17,17,,,,,,,,0.7692307829856873,0.4545454680919647,0.5013810992240906,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
17,17,0.8333333134651184,0.46875,0.5183832049369812,0.4545454680919647,0.44117647409439087,0.46875,0.8080808520317078,,,,,,,
18,18,,,,,,,,0.7692307829856873,0.4545454680919647,0.4982147812843323,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
18,18,0.8333333134651184,0.46875,0.5109390616416931,0.4545454680919647,0.44117647409439087,0.46875,0.8080808520317078,,,,,,,
19,19,,,,,,,,0.7692307829856873,0.4545454680919647,0.49530524015426636,0.43478259444236755,0.4166666567325592,0.4545454680919647,0.7357859015464783
19,19,0.8333333134651184,0.46875,0.503808319568634,0.4545454680919647,0.44117647409439087,0.46875,0.8080808520317078,,,,,,,
20,20,,,,,,,,0.8461538553237915,0.5,0.4926409125328064,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
20,20,0.8333333134651184,0.46875,0.4969789683818817,0.4545454680919647,0.44117647409439087,0.46875,0.8080808520317078,,,,,,,
21,21,,,,,,,,0.8461538553237915,0.5,0.4902103543281555,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
21,21,0.8333333134651184,0.46875,0.4904382526874542,0.4545454680919647,0.44117647409439087,0.46875,0.8080808520317078,,,,,,,
22,22,,,,,,,,0.8461538553237915,0.5,0.48800137639045715,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
