epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.7727273106575012,0.5,0.6554548740386963,0.43589743971824646,0.3863636255264282,0.5,0.6736596822738647
0,0,0.3030303120613098,0.5212303400039673,1.012774109840393,0.29722222685813904,0.5327167510986328,0.5212303400039673,0.26108306646347046,,,,,,,
1,1,,,,,,,,0.7727273106575012,0.5,0.8252557516098022,0.43589743971824646,0.3863636255264282,0.5,0.6736596822738647
1,1,0.7828282713890076,0.5,0.6219980716705322,0.4390934705734253,0.3914141356945038,0.5,0.6874695420265198,,,,,,,
2,2,,,,,,,,0.7727273106575012,0.5,0.7579014301300049,0.43589743971824646,0.3863636255264282,0.5,0.6736596822738647
2,2,0.7828282713890076,0.5,0.7845760583877563,0.4390934705734253,0.3914141356945038,0.5,0.6874695420265198,,,,,,,
3,3,,,,,,,,0.7727273106575012,0.5,0.5567396283149719,0.43589743971824646,0.3863636255264282,0.5,0.6736596822738647
3,3,0.7828282713890076,0.5,0.727390468120575,0.4390934705734253,0.3914141356945038,0.5,0.6874695420265198,,,,,,,
4,4,,,,,,,,0.8030303120613098,0.5666666626930237,0.3330644965171814,0.5611253380775452,0.8984375,0.5666666626930237,0.7388514280319214
4,4,0.7828282713890076,0.5,0.5424149036407471,0.4390934705734253,0.3914141356945038,0.5,0.6874695420265198,,,,,,,
5,5,,,,,,,,0.9242424368858337,0.8333333730697632,0.22873707115650177,0.8766355514526367,0.9553571343421936,0.8333333730697632,0.9184367060661316
5,5,0.8030303120613098,0.5465116500854492,0.3317842483520508,0.5292325019836426,0.8994845151901245,0.5465116500854492,0.7323143482208252,,,,,,,
6,6,,,,,,,,0.9090909361839294,0.9411764740943909,0.29030153155326843,0.8854166865348816,0.8571428656578064,0.9411764740943909,0.9138257503509521
6,6,0.9646464586257935,0.927006721496582,0.2304840087890625,0.9456789493560791,0.9680920839309692,0.927006721496582,0.9638358950614929,,,,,,,
7,7,,,,,,,,0.8484848737716675,0.9019607901573181,0.3577852249145508,0.820652186870575,0.800000011920929,0.9019607901573181,0.8591897487640381
7,7,0.9040403962135315,0.9387096762657166,0.28615668416023254,0.8768777251243591,0.8467742204666138,0.9387096762657166,0.9095897078514099,,,,,,,
8,8,,,,,,,,0.8484848737716675,0.9019607901573181,0.32023701071739197,0.820652186870575,0.800000011920929,0.9019607901573181,0.8591897487640381
8,8,0.8181818127632141,0.8838709592819214,0.343982994556427,0.7867655754089355,0.7721518874168396,0.8838709592819214,0.8330632448196411,,,,,,,
9,9,,,,,,,,0.9242424368858337,0.9509804248809814,0.22680878639221191,0.9027982354164124,0.875,0.9509804248809814,0.9277011752128601
9,9,0.8484848737716675,0.9032257795333862,0.303438276052475,0.8171182870864868,0.7945205569267273,0.9032257795333862,0.8599604964256287,,,,,,,
10,10,,,,,,,,1.0,1.0,0.15460191667079926,1.0,1.0,1.0,1.0
10,10,0.9444444179534912,0.9645161628723145,0.21385371685028076,0.9249043464660645,0.8981481790542603,0.9645161628723145,0.9465725421905518,,,,,,,
11,11,,,,,,,,0.9848484992980957,0.9666666984558105,0.12979061901569366,0.9779042601585388,0.990384578704834,0.9666666984558105,0.9846608638763428
11,11,0.9949495196342468,0.9967741966247559,0.14844366908073425,0.9926347732543945,0.9886363744735718,0.9967741966247559,0.9949703216552734,,,,,,,
12,12,,,,,,,,0.9090909361839294,0.800000011920929,0.13613204658031464,0.8472222089767456,0.9473683834075928,0.800000011920929,0.9002525806427002
12,12,0.9797979593276978,0.9534883499145508,0.131239116191864,0.9692403674125671,0.9874213933944702,0.9534883499145508,0.9794340133666992,,,,,,,
13,13,,,,,,,,0.9090909361839294,0.800000011920929,0.14798393845558167,0.8472222089767456,0.9473683834075928,0.800000011920929,0.9002525806427002
13,13,0.9292929172515869,0.8372093439102173,0.1447780430316925,0.881172776222229,0.9585798978805542,0.8372093439102173,0.9239462018013,,,,,,,
14,14,,,,,,,,0.8939394354820251,0.7666666507720947,0.14927099645137787,0.815716028213501,0.9396551847457886,0.7666666507720947,0.8812053203582764
14,14,0.8888888955116272,0.7441860437393188,0.16213838756084442,0.7949924468994141,0.9378530979156494,0.7441860437393188,0.873473048210144,,,,,,,
15,15,,,,,,,,0.9090909361839294,0.800000011920929,0.13678301870822906,0.8472222089767456,0.9473683834075928,0.800000011920929,0.9002525806427002
15,15,0.8888888955116272,0.7441860437393188,0.1661732792854309,0.7949924468994141,0.9378530979156494,0.7441860437393188,0.873473048210144,,,,,,,
16,16,,,,,,,,0.9393939971923828,0.8666666746139526,0.11634716391563416,0.9042090177536011,0.9636363983154297,0.8666666746139526,0.935875415802002
16,16,0.8939393758773804,0.7558139562606812,0.15318316221237183,0.8067395091056824,0.9403408765792847,0.7558139562606812,0.880171000957489,,,,,,,
17,17,,,,,,,,0.9696969985961914,0.9333333373069763,0.09723720699548721,0.9546703100204468,0.9811320900917053,0.9333333373069763,0.968906044960022
17,17,0.9242424368858337,0.825581431388855,0.12918564677238464,0.8712892532348633,0.9558823108673096,0.825581431388855,0.917988121509552,,,,,,,
18,18,,,,,,,,1.0,1.0,0.08697590231895447,1.0,1.0,1.0,1.0
18,18,0.9646464586257935,0.9186046123504639,0.10427720844745636,0.944655179977417,0.9783951044082642,0.9186046123504639,0.9634705185890198,,,,,,,
19,19,,,,,,,,1.0,1.0,0.08794418722391129,1.0,1.0,1.0,1.0
19,19,0.9949495196342468,0.9883720874786377,0.0870545282959938,0.9925099611282349,0.9967948794364929,0.9883720874786377,0.9949278831481934,,,,,,,
20,20,,,,,,,,0.9848484992980957,0.9901961088180542,0.09686646610498428,0.9789204597473145,0.96875,0.9901961088180542,0.9850178956985474
20,20,1.0,1.0,0.08087777346372604,1.0,1.0,1.0,1.0,,,,,,,
21,21,,,,,,,,0.9696969985961914,0.9803921580314636,0.1069791167974472,0.9587500095367432,0.9411764740943909,0.9803921580314636,0.9703409075737
21,21,1.0,1.0,0.08345459401607513,1.0,1.0,1.0,1.0,,,,,,,
22,22,,,,,,,,0.9696969985961914,0.9803921580314636,0.11169042438268661,0.9587500095367432,0.9411764740943909,0.9803921580314636,0.9703409075737
22,22,0.9949495196342468,0.9967741966247559,0.08905400335788727,0.9926347732543945,0.9886363744735718,0.9967741966247559,0.9949703216552734,,,,,,,
23,23,,,,,,,,0.9696969985961914,0.9803921580314636,0.10785568505525589,0.9587500095367432,0.9411764740943909,0.9803921580314636,0.9703409075737
23,23,0.9949495196342468,0.9967741966247559,0.09181522578001022,0.9926347732543945,0.9886363744735718,0.9967741966247559,0.9949703216552734,,,,,,,
24,24,,,,,,,,0.9848484992980957,0.9901961088180542,0.09677612781524658,0.9789204597473145,0.96875,0.9901961088180542,0.9850178956985474
24,24,0.9949495196342468,0.9967741966247559,0.08870933949947357,0.9926347732543945,0.9886363744735718,0.9967741966247559,0.9949703216552734,,,,,,,
25,25,,,,,,,,1.0,1.0,0.08260209113359451,1.0,1.0,1.0,1.0
25,25,0.9949495196342468,0.9967741966247559,0.08055061101913452,0.9926347732543945,0.9886363744735718,0.9967741966247559,0.9949703216552734,,,,,,,
26,26,,,,,,,,1.0,1.0,0.0696377083659172,1.0,1.0,1.0,1.0
26,26,1.0,1.0,0.07062239944934845,1.0,1.0,1.0,1.0,,,,,,,
