epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.800000011920929,0.5,0.5782476663589478,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
0,0,0.75,0.625,0.5698173642158508,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
1,1,,,,,,,,0.800000011920929,0.5,0.5788940191268921,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
1,1,0.75,0.625,0.5683351159095764,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
2,2,,,,,,,,0.800000011920929,0.5,0.5795419812202454,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
2,2,0.75,0.625,0.5668609142303467,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
3,3,,,,,,,,0.800000011920929,0.5,0.580191433429718,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
3,3,0.75,0.625,0.5653946995735168,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
4,4,,,,,,,,0.800000011920929,0.5,0.5808423757553101,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
4,4,0.75,0.625,0.5639367699623108,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
5,5,,,,,,,,0.800000011920929,0.5,0.5814945101737976,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
5,5,0.75,0.625,0.5624869465827942,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
6,6,,,,,,,,0.800000011920929,0.5,0.582147479057312,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
6,6,0.75,0.625,0.5610453486442566,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
7,7,,,,,,,,0.800000011920929,0.5,0.5828007459640503,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
7,7,0.75,0.625,0.5596120953559875,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
8,8,,,,,,,,0.800000011920929,0.5,0.5834544897079468,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
8,8,0.75,0.625,0.5581871867179871,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
9,9,,,,,,,,0.800000011920929,0.5,0.5841076374053955,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
9,9,0.75,0.625,0.5567708015441895,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
10,10,,,,,,,,0.800000011920929,0.5,0.5847600698471069,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
10,10,0.75,0.625,0.55536288022995,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
11,11,,,,,,,,0.800000011920929,0.5,0.5854106545448303,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
11,11,0.75,0.625,0.5539632439613342,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
12,12,,,,,,,,0.800000011920929,0.5,0.5860593318939209,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
12,12,0.75,0.625,0.5525723695755005,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
13,13,,,,,,,,0.800000011920929,0.5,0.5867052674293518,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
13,13,0.75,0.625,0.5511898994445801,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
14,14,,,,,,,,0.800000011920929,0.5,0.5873480439186096,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
14,14,0.75,0.625,0.5498161911964417,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
15,15,,,,,,,,0.800000011920929,0.5,0.5879873037338257,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
15,15,0.75,0.625,0.5484508872032166,0.621052622795105,0.8636363744735718,0.625,0.6947368383407593,,,,,,,
