epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.4117647111415863,0.5288461446762085,0.649304211139679,0.4097222089767456,0.5249999761581421,0.5288461446762085,0.42810454964637756
0,0,0.29999998211860657,0.4771309792995453,1.2518385648727417,0.2860057055950165,0.4583333432674408,0.4771309792995453,0.23802530765533447,,,,,,,
1,1,,,,,,,,0.9411764740943909,0.875,0.4029262065887451,0.9100528955459595,0.9642857313156128,0.875,0.9380640983581543
1,1,0.5,0.5873180627822876,0.7697426080703735,0.49494946002960205,0.5729166269302368,0.5873180627822876,0.5191918611526489,,,,,,,
2,2,,,,,,,,0.8823529481887817,0.75,0.3615381121635437,0.797619104385376,0.9333333373069763,0.75,0.866946816444397
2,2,0.7799999713897705,0.6767151951789856,0.5462270975112915,0.6894410252571106,0.7124999761581421,0.6767151951789856,0.7699379324913025,,,,,,,
3,3,,,,,,,,0.8235294222831726,0.625,0.39479267597198486,0.6482758522033691,0.90625,0.625,0.7797160148620605
3,3,0.7799999713897705,0.5769230723381042,0.5136329531669617,0.5686274766921997,0.8854166269302368,0.5769230723381042,0.7135686278343201,,,,,,,
4,4,,,,,,,,0.8235294222831726,0.625,0.43033528327941895,0.6482758522033691,0.90625,0.625,0.7797160148620605
4,4,0.7599999904632568,0.5384615659713745,0.542919933795929,0.5016611218452454,0.8775510191917419,0.5384615659713745,0.6738870739936829,,,,,,,
5,5,,,,,,,,0.8235294222831726,0.625,0.4468689560890198,0.6482758522033691,0.90625,0.625,0.7797160148620605
5,5,0.7400000095367432,0.5,0.5638230443000793,0.4252873659133911,0.3700000047683716,0.5,0.6294252872467041,,,,,,,
6,6,,,,,,,,0.8235294222831726,0.625,0.44337955117225647,0.6482758522033691,0.90625,0.625,0.7797160148620605
6,6,0.7400000095367432,0.5,0.5576763153076172,0.4252873659133911,0.3700000047683716,0.5,0.6294252872467041,,,,,,,
7,7,,,,,,,,0.8235294222831726,0.625,0.42520198225975037,0.6482758522033691,0.90625,0.625,0.7797160148620605
7,7,0.7599999904632568,0.5384615659713745,0.525764524936676,0.5016611218452454,0.8775510191917419,0.5384615659713745,0.6738870739936829,,,,,,,
8,8,,,,,,,,0.8823529481887817,0.75,0.3992094397544861,0.797619104385376,0.9333333373069763,0.75,0.866946816444397
8,8,0.7799999713897705,0.5769230723381042,0.4756273031234741,0.5686274766921997,0.8854166269302368,0.5769230723381042,0.7135686278343201,,,,,,,
9,9,,,,,,,,0.8823529481887817,0.75,0.37210190296173096,0.797619104385376,0.9333333373069763,0.75,0.866946816444397
9,9,0.8199999928474426,0.6538461446762085,0.41676121950149536,0.681077241897583,0.9021738767623901,0.6538461446762085,0.7821120023727417,,,,,,,
10,10,,,,,,,,0.8823529481887817,0.75,0.34956905245780945,0.797619104385376,0.9333333373069763,0.75,0.866946816444397
10,10,0.8399999737739563,0.692307710647583,0.35899022221565247,0.7289972901344299,0.9111111164093018,0.692307710647583,0.8122493028640747,,,,,,,
11,11,,,,,,,,0.8823529481887817,0.75,0.33555448055267334,0.797619104385376,0.9333333373069763,0.75,0.866946816444397
11,11,0.8399999737739563,0.692307710647583,0.31107035279273987,0.7289972901344299,0.9111111164093018,0.692307710647583,0.8122493028640747,,,,,,,
12,12,,,,,,,,0.8823529481887817,0.75,0.33142876625061035,0.797619104385376,0.9333333373069763,0.75,0.866946816444397
12,12,0.8599998950958252,0.7557172775268555,0.2789253890514374,0.789029598236084,0.8660714626312256,0.7557172775268555,0.84776371717453,,,,,,,
13,13,,,,,,,,0.8823529481887817,0.75,0.3354504704475403,0.797619104385376,0.9333333373069763,0.75,0.866946816444397
13,13,0.919999897480011,0.8711018562316895,0.2638862133026123,0.8903508186340332,0.9160839319229126,0.8711018562316895,0.9177192449569702,,,,,,,
14,14,,,,,,,,0.8823529481887817,0.8365384340286255,0.3434148132801056,0.8365384340286255,0.8365384340286255,0.8365384340286255,0.8823529481887817
14,14,0.8999999761581421,0.8825364112854004,0.2620864510536194,0.8731608390808105,0.8650793433189392,0.8825364112854004,0.9011669158935547,,,,,,,
15,15,,,,,,,,0.8823529481887817,0.8365384340286255,0.35070890188217163,0.8365384340286255,0.8365384340286255,0.8365384340286255,0.8823529481887817
15,15,0.8799999952316284,0.8690228462219238,0.2661561369895935,0.8511905074119568,0.8380952477455139,0.8690228462219238,0.8826190233230591,,,,,,,
16,16,,,,,,,,0.8823529481887817,0.8365384340286255,0.3544900119304657,0.8365384340286255,0.8365384340286255,0.8365384340286255,0.8823529481887817
16,16,0.8999999761581421,0.9074844121932983,0.2685977518558502,0.8785818815231323,0.8602941036224365,0.9074844121932983,0.9030597805976868,,,,,,,
