epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,71,,,,,,,,0.9670284986495972,0.9588792324066162,0.11851788312196732,0.9507599472999573,0.943203866481781,0.9588792324066162,0.9673148989677429
0,71,0.9480656981468201,0.9206474423408508,0.15800198912620544,0.9209936857223511,0.9213409423828125,0.9206474423408508,0.9480443596839905,,,,,,,
1,143,,,,,,,,0.9709458947181702,0.964688777923584,0.09288761764764786,0.956598162651062,0.9490581154823303,0.964688777923584,0.9711943864822388
1,143,0.9692583680152893,0.9565614461898804,0.1092192605137825,0.9535764455795288,0.9506691694259644,0.9565614461898804,0.9693582057952881,,,,,,,
2,215,,,,,,,,0.9809026122093201,0.9716966152191162,0.05137323588132858,0.9710130095481873,0.9703333377838135,0.9716966152191162,0.9809165000915527
2,215,0.9759508371353149,0.9635413885116577,0.07098657637834549,0.9634517431259155,0.9633620977401733,0.9635413885116577,0.9759531021118164,,,,,,,
3,287,,,,,,,,0.9871051907539368,0.9760454297065735,0.0353434681892395,0.9802262783050537,0.9845545887947083,0.9760454297065735,0.9870480298995972
3,287,0.9838946461677551,0.9710690975189209,0.04242406040430069,0.9752987027168274,0.9796813130378723,0.9710690975189209,0.9838217496871948,,,,,,,
4,359,,,,,,,,0.9884926080703735,0.9779367446899414,0.03012305311858654,0.9823460578918457,0.9869186878204346,0.9779367446899414,0.98843914270401
4,359,0.9874312877655029,0.9764448404312134,0.03291931003332138,0.9807230234146118,0.9851553440093994,0.9764448404312134,0.9873744249343872,,,,,,,
5,431,,,,,,,,0.9875132441520691,0.9816725254058838,0.029357073828577995,0.9810441732406616,0.9804191589355469,0.9816725254058838,0.9875214099884033
5,431,0.9879209995269775,0.9768989086151123,0.02946454845368862,0.9814630746841431,0.9862027168273926,0.9768989086151123,0.9878627061843872,,,,,,,
6,503,,,,,,,,0.9895535707473755,0.9804927110671997,0.027028104290366173,0.9840043783187866,0.9876186847686768,0.9804927110671997,0.9895150661468506
6,503,0.9882202744483948,0.9784421920776367,0.027781033888459206,0.981962263584137,0.9855859875679016,0.9784421920776367,0.9881765842437744,,,,,,,
7,575,,,,,,,,0.9874316453933716,0.9816210269927979,0.0269460529088974,0.980923056602478,0.9802291393280029,0.9816210269927979,0.9874407649040222
7,575,0.9874585270881653,0.9789291024208069,0.027868006378412247,0.980859637260437,0.9828211665153503,0.9789291024208069,0.987433135509491,,,,,,,
8,647,,,,,,,,0.9902064800262451,0.9807595610618591,0.025716086849570274,0.9849819540977478,0.9893529415130615,0.9807595610618591,0.9901629686355591
8,647,0.9883018732070923,0.9787355661392212,0.026521481573581696,0.9820934534072876,0.9855453968048096,0.9787355661392212,0.9882605671882629,,,,,,,
9,719,,,,,,,,0.9902064800262451,0.9810497760772705,0.025344325229525566,0.9849908351898193,0.9890611171722412,0.9810497760772705,0.9901660084724426
9,719,0.98789381980896,0.9795423746109009,0.02658843994140625,0.9815221428871155,0.9835344552993774,0.9795423746109009,0.9878687262535095,,,,,,,
10,791,,,,,,,,0.9902880787849426,0.9809561967849731,0.024935470893979073,0.9851093292236328,0.9894061088562012,0.9809561967849731,0.9902458190917969
10,791,0.9887099266052246,0.979138195514679,0.025562020018696785,0.9827104210853577,0.9863892197608948,0.979138195514679,0.9886675477027893,,,,,,,
11,863,,,,,,,,0.9902880787849426,0.9809561967849731,0.02489989995956421,0.9851093292236328,0.9894061088562012,0.9809561967849731,0.9902458190917969
11,863,0.9887915849685669,0.9818018674850464,0.025790665298700333,0.982923150062561,0.9840548634529114,0.9818018674850464,0.9887784123420715,,,,,,,
12,935,,,,,,,,0.9882477521896362,0.9809749722480774,0.026327086612582207,0.9820943474769592,0.9832240343093872,0.9809749722480774,0.9882340431213379
12,935,0.988737165927887,0.9786716103553772,0.025774899870157242,0.982734203338623,0.9869351387023926,0.9786716103553772,0.9886889457702637,,,,,,,
13,1007,,,,,,,,0.9880845546722412,0.9820330142974854,0.025161664932966232,0.9818931818008423,0.981753408908844,0.9820330142974854,0.9880863428115845
