epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,598,,,,,,,,,,,,,,,0.941658616065979,0.587278425693512,0.31636667251586914,0.625357449054718,0.7816553115844727,0.587278425693512,0.9264816045761108
0,598,,,,,,,,0.6058446764945984,0.44901686906814575,2.068674325942993,0.4137532114982605,0.48723849654197693,0.44901686906814575,0.7077924013137817,,,,,,,
1,1197,,,,,,,,,,,,,,,0.9432770609855652,0.5753049850463867,0.21800832450389862,0.6125311255455017,0.832665741443634,0.5753049850463867,0.9256809949874878
1,1197,,,,,,,,0.9416708946228027,0.573694109916687,0.25851932168006897,0.6078274846076965,0.7809947729110718,0.573694109916687,0.9248724579811096,,,,,,,
2,1796,,,,,,,,,,,,,,,0.9450520873069763,0.5982298851013184,0.18358901143074036,0.6431899070739746,0.8336087465286255,0.5982298851013184,0.930274248123169
2,1796,,,,,,,,0.94330894947052,0.5841693878173828,0.20217813551425934,0.6230804324150085,0.8034363389015198,0.5841693878173828,0.9274948239326477,,,,,,,
3,2395,,,,,,,,,,,,,,,0.9363073706626892,0.615738034248352,0.22688472270965576,0.6477500200271606,0.7174232602119446,0.615738034248352,0.9266369342803955
3,2395,,,,,,,,0.9434263706207275,0.5888607501983643,0.18020489811897278,0.628904402256012,0.8003595471382141,0.5888607501983643,0.9282544255256653,,,,,,,
4,2994,,,,,,,,,,,,,,,0.9387611150741577,0.5483895540237427,0.16909334063529968,0.5704911351203918,0.7518824934959412,0.5483895540237427,0.9183923006057739
4,2994,,,,,,,,0.9447903037071228,0.5946103930473328,0.16496936976909637,0.6377083659172058,0.8203814029693604,0.5946103930473328,0.929966926574707,,,,,,,
5,3593,,,,,,,,,,,,,,,0.9467487931251526,0.5876595973968506,0.1451924443244934,0.6332241892814636,0.9066915512084961,0.5876595973968506,0.9298595190048218
5,3593,,,,,,,,0.9449926018714905,0.5993469953536987,0.15390044450759888,0.6434475183486938,0.8180956244468689,0.5993469953536987,0.930756151676178,,,,,,,
6,4192,,,,,,,,,,,,,,,0.9473230838775635,0.6307551860809326,0.14557456970214844,0.6812183856964111,0.831336259841919,0.6307551860809326,0.9359949231147766
6,4192,,,,,,,,0.9449926018714905,0.6052560210227966,0.15119901299476624,0.6499776840209961,0.8111742734909058,0.6052560210227966,0.9315440058708191,,,,,,,
7,4791,,,,,,,,,,,,,,,0.9416325092315674,0.5417523384094238,0.18172498047351837,0.5617226958274841,0.8888508081436157,0.5417523384094238,0.9186676740646362
