epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.3529411852359772,0.3777777850627899,1.119336485862732,0.3470085561275482,0.38518521189689636,0.3777777850627899,0.3665158450603485
0,0,,,,,,,,0.36764705181121826,0.38305845856666565,1.09456205368042,0.3692047595977783,0.3888889253139496,0.38305845856666565,0.3678431510925293,,,,,,,
1,1,,,,,,,,,,,,,,,0.3529411852359772,0.3777777850627899,1.1027016639709473,0.3869047462940216,0.5666666626930237,0.3777777850627899,0.3760504126548767
1,1,,,,,,,,0.4264705777168274,0.41335582733154297,1.0742466449737549,0.4133667051792145,0.430099755525589,0.41335582733154297,0.4261683523654938,,,,,,,
2,2,,,,,,,,,,,,,,,0.3529411852359772,0.3777777850627899,1.0870957374572754,0.3869047462940216,0.5666666626930237,0.3777777850627899,0.3760504126548767
2,2,,,,,,,,0.5147058963775635,0.4823213517665863,1.0550769567489624,0.4871794879436493,0.5275944471359253,0.4823213517665863,0.4997737407684326,,,,,,,
3,3,,,,,,,,,,,,,,,0.3529411852359772,0.3777777850627899,1.0725483894348145,0.3869047462940216,0.5666666626930237,0.3777777850627899,0.3760504126548767
3,3,,,,,,,,0.5147058963775635,0.4636431932449341,1.0370234251022339,0.46175265312194824,0.5494553446769714,0.4636431932449341,0.48595893383026123,,,,,,,
4,4,,,,,,,,,,,,,,,0.29411765933036804,0.2666666805744171,1.0590441226959229,0.21388888359069824,0.22727273404598236,0.2666666805744171,0.28333333134651184
4,4,,,,,,,,0.529411792755127,0.47813594341278076,1.020054817199707,0.4829138517379761,0.657575786113739,0.47813594341278076,0.5044394135475159,,,,,,,
5,5,,,,,,,,,,,,,,,0.3529411852359772,0.29999998211860657,1.0465450286865234,0.2521008551120758,0.2571428716182709,0.29999998211860657,0.344043493270874
5,5,,,,,,,,0.5147058963775635,0.45096203684806824,1.0041199922561646,0.4322678744792938,0.6590909361839294,0.45096203684806824,0.47134923934936523,,,,,,,
6,6,,,,,,,,,,,,,,,0.4117647111415863,0.38333332538604736,1.035009741783142,0.30000001192092896,0.31313133239746094,0.38333332538604736,0.38823533058166504
6,6,,,,,,,,0.5147058963775635,0.45096203684806824,0.9891402125358582,0.4322678744792938,0.6590909361839294,0.45096203684806824,0.47134923934936523,,,,,,,
7,7,,,,,,,,,,,,,,,0.4117647111415863,0.38333332538604736,1.0244075059890747,0.30000001192092896,0.31313133239746094,0.38333332538604736,0.38823533058166504
7,7,,,,,,,,0.529411792755127,0.46245625615119934,0.9750170707702637,0.44140028953552246,0.6666666865348816,0.46245625615119934,0.4830334186553955,,,,,,,
8,8,,,,,,,,,,,,,,,0.47058823704719543,0.46666666865348816,1.0147087574005127,0.3444444239139557,0.3777777850627899,0.46666666865348816,0.4313725531101227
8,8,,,,,,,,0.529411792755127,0.46245625615119934,0.9616441130638123,0.44140028953552246,0.6666666865348816,0.46245625615119934,0.4830334186553955,,,,,,,
9,9,,,,,,,,,,,,,,,0.47058823704719543,0.46666666865348816,1.0058661699295044,0.3444444239139557,0.3777777850627899,0.46666666865348816,0.4313725531101227
9,9,,,,,,,,0.6029411554336548,0.5289230346679688,0.9489184021949768,0.5041095614433289,0.7272726893424988,0.5289230346679688,0.5514996647834778,,,,,,,
10,10,,,,,,,,,,,,,,,0.529411792755127,0.5,0.9978064298629761,0.3861111104488373,0.3989899158477783,0.5,0.4931372404098511
10,10,,,,,,,,0.6029411554336548,0.5289230346679688,0.9367474913597107,0.5041095614433289,0.7272726893424988,0.5289230346679688,0.5514996647834778,,,,,,,
11,11,,,,,,,,,,,,,,,0.5882353186607361,0.5333333611488342,0.9904322624206543,0.4257703721523285,0.41904762387275696,0.5333333611488342,0.5496787428855896
