epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.7209115028381348,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
0,0,,,,,,,,0.605381190776825,0.49632352590560913,0.7512258291244507,0.37709498405456543,0.30405405163764954,0.49632352590560913,0.4599544405937195,,,,,,,
1,1,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.7122945785522461,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
1,1,,,,,,,,0.605381190776825,0.49632352590560913,0.7423758506774902,0.37709498405456543,0.30405405163764954,0.49632352590560913,0.4599544405937195,,,,,,,
2,2,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.7037699818611145,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
2,2,,,,,,,,0.605381190776825,0.49632352590560913,0.733614981174469,0.37709498405456543,0.30405405163764954,0.49632352590560913,0.4599544405937195,,,,,,,
3,3,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.695340633392334,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
3,3,,,,,,,,0.605381190776825,0.49632352590560913,0.7249454259872437,0.37709498405456543,0.30405405163764954,0.49632352590560913,0.4599544405937195,,,,,,,
4,4,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6870083808898926,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
4,4,,,,,,,,0.6098654866218567,0.5,0.7163689732551575,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
5,5,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6787742972373962,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
5,5,,,,,,,,0.6098654866218567,0.5,0.7078869342803955,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
6,6,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6706389784812927,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
6,6,,,,,,,,0.6098654866218567,0.5,0.6995002031326294,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
7,7,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6626030802726746,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
7,7,,,,,,,,0.6098654866218567,0.5,0.691210150718689,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
8,8,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6546676754951477,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
8,8,,,,,,,,0.6098654866218567,0.5,0.6830188632011414,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
9,9,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6468337774276733,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
9,9,,,,,,,,0.6098654866218567,0.5,0.6749275922775269,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
10,10,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6391022801399231,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
10,10,,,,,,,,0.6098654866218567,0.5,0.6669381856918335,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
11,11,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6314741969108582,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
11,11,,,,,,,,0.6098654866218567,0.5,0.6590522527694702,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
12,12,,,,,,,,,,,,,,,0.6428571343421936,0.5,0.6239505410194397,0.3913043737411499,0.3214285671710968,0.5,0.503105640411377
12,12,,,,,,,,0.6098654866218567,0.5,0.6512711048126221,0.37883010506629944,0.30493274331092834,0.5,0.4620707929134369,,,,,,,
