epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,1,,,,,,,,0.04000000283122063,0.25427350401878357,0.8442532420158386,0.03944672271609306,0.11666666716337204,0.25427350401878357,0.019344262778759003
0,1,0.054666668176651,0.3449999988079071,0.865735650062561,0.053439922630786896,0.1755576729774475,0.3449999988079071,0.02390725165605545,,,,,,,
1,3,,,,,,,,0.04000000283122063,0.25427350401878357,0.8279485702514648,0.03944672271609306,0.11666666716337204,0.25427350401878357,0.019344262778759003
1,3,0.052000001072883606,0.32499998807907104,0.8491743803024292,0.050945498049259186,0.16206896305084229,0.32499998807907104,0.023528365418314934,,,,,,,
2,5,,,,,,,,0.04000000283122063,0.25427350401878357,0.8118965029716492,0.03944672271609306,0.11666666716337204,0.25427350401878357,0.019344262778759003
2,5,0.0533333346247673,0.3257142901420593,0.832951009273529,0.05236295610666275,0.17594560980796814,0.3257142901420593,0.026081819087266922,,,,,,,
3,7,,,,,,,,0.04400000348687172,0.25641027092933655,0.7961080074310303,0.04361744970083237,0.15310004353523254,0.25641027092933655,0.02693813480436802
3,7,0.054666668176651,0.3264285624027252,0.8167851567268372,0.05377679690718651,0.18879668414592743,0.3264285624027252,0.028628285974264145,,,,,,,
4,9,,,,,,,,0.052000001072883606,0.2606837749481201,0.7805754542350769,0.05186346918344498,0.20918533205986023,0.2606837749481201,0.04194217175245285
4,9,0.058666665107011795,0.3285714089870453,0.8009716868400574,0.057996802031993866,0.2222222238779068,0.3285714089870453,0.0362260565161705,,,,,,,
5,11,,,,,,,,0.0560000017285347,0.2337072640657425,0.7653181552886963,0.0560000017285347,0.2337072640657425,0.2337072640657425,0.0560000017285347
5,11,0.06800000369548798,0.3335714340209961,0.785629153251648,0.06771989911794662,0.27919715642929077,0.3335714340209961,0.05371497943997383,,,,,,,
6,13,,,,,,,,0.484000027179718,0.46233975887298584,0.7503618001937866,0.3682788014411926,0.49097368121147156,0.46233975887298584,0.6040472984313965
6,13,0.09866666793823242,0.331428587436676,0.7702470421791077,0.09835249185562134,0.3656159043312073,0.331428587436676,0.11293914169073105,,,,,,,
7,15,,,,,,,,0.484000027179718,0.46233975887298584,0.7356892824172974,0.3682788014411926,0.49097368121147156,0.46233975887298584,0.6040472984313965
7,15,0.4426666796207428,0.5157142877578735,0.7553720474243164,0.35826051235198975,0.5039908289909363,0.5157142877578735,0.5599663257598877,,,,,,,
8,17,,,,,,,,0.5,0.470886766910553,0.7213127613067627,0.3772295117378235,0.49302220344543457,0.470886766910553,0.6183463335037231
8,17,0.4440000057220459,0.5164285898208618,0.7406675815582275,0.35908079147338867,0.5041690468788147,0.5164285898208618,0.5612694025039673,,,,,,,
9,19,,,,,,,,0.5480000376701355,0.4965277910232544,0.7072280645370483,0.4036436080932617,0.4991574287414551,0.4965277910232544,0.6594948172569275
9,19,0.4546666741371155,0.5221428871154785,0.7262591123580933,0.36561477184295654,0.5055880546569824,0.5221428871154785,0.5716066956520081,,,,,,,
10,21,,,,,,,,0.5200000405311584,0.2777777910232544,0.693437397480011,0.34210529923439026,0.4452054798603058,0.2777777910232544,0.6404211521148682
10,21,0.47999998927116394,0.5357142686843872,0.7122579216957092,0.380952388048172,0.5089285969734192,0.5357142686843872,0.5955556035041809,,,,,,,
11,23,,,,,,,,0.5200000405311584,0.2777777910232544,0.679951012134552,0.34210529923439026,0.4452054798603058,0.2777777910232544,0.6404211521148682
11,23,0.4426666796207428,0.2557142972946167,0.6982595920562744,0.3108617663383484,0.4391961097717285,0.2557142972946167,0.5720604062080383,,,,,,,
12,25,,,,,,,,0.5640000104904175,0.30128204822540283,0.6667352318763733,0.3606138229370117,0.4490445852279663,0.30128204822540283,0.6750690937042236
12,25,0.4426666796207428,0.2557142972946167,0.6849093437194824,0.3108617663383484,0.4391961097717285,0.2557142972946167,0.5720604062080383,,,,,,,
13,27,,,,,,,,0.5960000157356262,0.3183760643005371,0.6538204550743103,0.37343356013298035,0.4515151381492615,0.3183760643005371,0.6990676522254944
13,27,0.5306666493415833,0.3028571605682373,0.6716601848602295,0.35177183151245117,0.4492139220237732,0.3028571605682373,0.6469029188156128,,,,,,,
14,29,,,,,,,,0.5960000157356262,0.3183760643005371,0.641204297542572,0.37343356013298035,0.4515151381492615,0.3183760643005371,0.6990676522254944
14,29,0.5666666626930237,0.3221428692340851,0.6588389277458191,0.36730873584747314,0.45262882113456726,0.3221428692340851,0.6751060485839844,,,,,,,
15,31,,,,,,,,0.8320000171661377,0.4444444477558136,0.6288975477218628,0.45414847135543823,0.4642857015132904,0.4444444477558136,0.8501659631729126
15,31,0.5653333067893982,0.31214284896850586,0.6460909843444824,0.3639703094959259,0.4498917758464813,0.31214284896850586,0.6741266846656799,,,,,,,
16,33,,,,,,,,0.9320000410079956,0.497863233089447,0.6168721914291382,0.48240163922309875,0.4678714871406555,0.497863233089447,0.9030558466911316
16,33,0.843999981880188,0.46142855286598206,0.6338564157485962,0.46604275703430176,0.4712698757648468,0.46142855286598206,0.8553805947303772,,,,,,,
17,35,,,,,,,,0.9360000491142273,0.5,0.6051439046859741,0.4834710657596588,0.46799999475479126,0.5,0.9050578474998474
17,35,0.9319999814033508,0.4992857277393341,0.6218346953392029,0.48240166902542114,0.46662217378616333,0.4992857277393341,0.9004831314086914,,,,,,,
18,37,,,,,,,,0.9360000491142273,0.5,0.5937085747718811,0.4834710657596588,0.46799999475479126,0.5,0.9050578474998474
18,37,0.9333333373069763,0.5,0.6100529432296753,0.48275861144065857,0.46666666865348816,0.5,0.9011493921279907,,,,,,,
