epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,17,,,,,,,,0.08339029550552368,0.08339030295610428,3.6048483848571777,0.04539593309164047,0.049093641340732574,0.08339030295610428,0.04539593309164047
0,17,0.08535612374544144,0.08540228009223938,3.6818108558654785,0.045663412660360336,0.05073966830968857,0.08540228009223938,0.045651018619537354,,,,,,,
1,35,,,,,,,,0.08373206108808517,0.08373206108808517,3.5329391956329346,0.04862488433718681,0.0485425740480423,0.08373206108808517,0.048624880611896515
1,35,0.08569800853729248,0.08574232459068298,3.607722282409668,0.049185656011104584,0.04935179650783539,0.08574232459068298,0.04917396605014801,,,,,,,
2,53,,,,,,,,0.08475735038518906,0.08475735038518906,3.4671530723571777,0.051420774310827255,0.07025810331106186,0.08475735038518906,0.05142077058553696
2,53,0.0847863256931305,0.08482896536588669,3.5392568111419678,0.05043047294020653,0.04813232272863388,0.08482896536588669,0.05041937530040741,,,,,,,
3,71,,,,,,,,0.08373206108808517,0.08373206108808517,3.4069666862487793,0.052390649914741516,0.06555943936109543,0.08373206108808517,0.052390649914741516
3,71,0.08603988587856293,0.08608109503984451,3.4769418239593506,0.05313814803957939,0.05488520488142967,0.08608109503984451,0.05312708765268326,,,,,,,
4,89,,,,,,,,0.0823650062084198,0.0823650062084198,3.351572275161743,0.05166696384549141,0.06029175594449043,0.0823650062084198,0.05166696757078171
4,89,0.08820512890815735,0.08824574202299118,3.4200968742370605,0.0557682029902935,0.052945706993341446,0.08824574202299118,0.05575694516301155,,,,,,,
5,107,,,,,,,,0.08339029550552368,0.08339029550552368,3.300813674926758,0.054066453129053116,0.055015042424201965,0.08339029550552368,0.054066456854343414
5,107,0.08968660980463028,0.08972542732954025,3.367720127105713,0.05842389166355133,0.05794253200292587,0.08972542732954025,0.05841278284788132,,,,,,,
6,125,,,,,,,,0.08407381922006607,0.08407382667064667,3.2540924549102783,0.05520802363753319,0.053637050092220306,0.08407382667064667,0.05520802363753319
6,125,0.08991453051567078,0.0899529904127121,3.3196029663085938,0.058943912386894226,0.059029851108789444,0.0899529904127121,0.058932457119226456,,,,,,,
7,143,,,,,,,,0.08407381922006607,0.08407381922006607,3.2102015018463135,0.055375099182128906,0.051540862768888474,0.08407381922006607,0.055375102907419205
7,143,0.08888889104127884,0.08892511576414108,3.27502703666687,0.05951347574591637,0.07684265822172165,0.08892511576414108,0.05950271338224411,,,,,,,
8,161,,,,,,,,0.08509910851716995,0.08509910851716995,3.1691107749938965,0.05737202242016792,0.09804022312164307,0.08509910851716995,0.05737202614545822
8,161,0.0885470062494278,0.08858278393745422,3.233504056930542,0.05944199487566948,0.06907164305448532,0.08858278393745422,0.059430815279483795,,,,,,,
9,179,,,,,,,,0.08646616339683533,0.08646615594625473,3.1319150924682617,0.05939234420657158,0.07156790047883987,0.08646615594625473,0.05939234793186188
9,179,0.08866097033023834,0.08869555592536926,3.1944684982299805,0.06022120639681816,0.07522288709878922,0.08869555592536926,0.06021030992269516,,,,,,,
10,197,,,,,,,,0.08646616339683533,0.08646616339683533,3.0973901748657227,0.06102338060736656,0.07449504733085632,0.08646616339683533,0.06102337688207626
10,197,0.08866097033023834,0.08869412541389465,3.158822536468506,0.061779286712408066,0.16700111329555511,0.08869412541389465,0.06176893785595894,,,,,,,
11,215,,,,,,,,0.08851674944162369,0.08851674199104309,3.065443992614746,0.06466849148273468,0.10457515716552734,0.08851674199104309,0.06466849893331528
11,215,0.0880911648273468,0.08812251687049866,3.125554084777832,0.06309130042791367,0.12310586124658585,0.08812251687049866,0.06308126449584961,,,,,,,
12,233,,,,,,,,0.09056732803583145,0.09056732058525085,3.0351645946502686,0.06837926059961319,0.09297602623701096,0.09056732058525085,0.068379245698452
12,233,0.08877492696046829,0.08880433440208435,3.0944995880126953,0.06585071980953217,0.09689867496490479,0.08880433440208435,0.0658416897058487,,,,,,,
13,251,,,,,,,,0.09056732803583145,0.09056733548641205,3.007066011428833,0.07061009854078293,0.09799612313508987,0.09056733548641205,0.07061009109020233
13,251,0.09025640785694122,0.0902843177318573,3.064985513687134,0.069532610476017,0.10517694801092148,0.0902843177318573,0.06952478736639023,,,,,,,
14,269,,,,,,,,0.09159261733293533,0.09159261733293533,2.980738401412964,0.07341819256544113,0.09550175815820694,0.09159261733293533,0.07341818511486053
14,269,0.09196580946445465,0.09199340641498566,3.038022041320801,0.07252338528633118,0.09626419097185135,0.09199340641498566,0.07251511514186859,,,,,,,
15,287,,,,,,,,0.09022556245326996,0.09022556245326996,2.9564685821533203,0.07292771339416504,0.09165526181459427,0.09022556245326996,0.07292771339416504
15,287,0.09242165088653564,0.09244780987501144,3.0124080181121826,0.07474729418754578,0.10040025413036346,0.09244780987501144,0.0747392326593399,,,,,,,
16,305,,,,,,,,0.08988379687070847,0.08988379687070847,2.934457778930664,0.0747109204530716,0.0934130847454071,0.08988379687070847,0.074710913002491
16,305,0.09424501657485962,0.09427040070295334,2.9885387420654297,0.07770823687314987,0.09998942166566849,0.09427040070295334,0.07770024985074997,,,,,,,
17,323,,,,,,,,0.08885850757360458,0.08885850757360458,2.913337230682373,0.07455886900424957,0.09189614653587341,0.08885850757360458,0.07455886155366898
17,323,0.09675213694572449,0.09677610546350479,2.966531753540039,0.08122699707746506,0.1012214943766594,0.09677610546350479,0.08121903985738754,,,,,,,
18,341,,,,,,,,0.08714969456195831,0.08714969456195831,2.8940069675445557,0.07366377115249634,0.08855748176574707,0.08714969456195831,0.07366377115249634
18,341,0.09652421623468399,0.09654697775840759,2.945662021636963,0.08165225386619568,0.10114454478025436,0.09654697775840759,0.08164426684379578,,,,,,,
19,359,,,,,,,,0.08646616339683533,0.08646616339683533,2.8756320476531982,0.07396996766328812,0.08836255967617035,0.08646616339683533,0.07396996766328812
19,359,0.09470085799694061,0.09472151100635529,2.9263789653778076,0.080380380153656,0.09808114171028137,0.09472151100635529,0.08037276566028595,,,,,,,
20,377,,,,,,,,0.08612440526485443,0.08612440526485443,2.8588993549346924,0.07411909848451614,0.08560574799776077,0.08612440526485443,0.07411909848451614
20,377,0.09401709586381912,0.09403470158576965,2.908290147781372,0.08049451559782028,0.09571519494056702,0.09403470158576965,0.08048791438341141,,,,,,,
21,395,,,,,,,,0.08544087409973145,0.08544087409973145,2.843143939971924,0.07418239861726761,0.08384229987859726,0.08544087409973145,0.07418239116668701
21,395,0.09447293728590012,0.09448910504579544,2.8912947177886963,0.08115636557340622,0.09563605487346649,0.09448910504579544,0.08115003257989883,,,,,,,
22,413,,,,,,,,0.08612440526485443,0.08612441271543503,2.827990770339966,0.07600395381450653,0.08555557578802109,0.08612441271543503,0.07600394636392593
22,413,0.09356125444173813,0.09357530623674393,2.874953269958496,0.08088905364274979,0.09474372118711472,0.09357530623674393,0.08088317513465881,,,,,,,
23,431,,,,,,,,0.0878332182765007,0.0878332108259201,2.8137335777282715,0.07795370370149612,0.08798521012067795,0.0878332108259201,0.07795370370149612
23,431,0.09299145638942719,0.09300326555967331,2.859642505645752,0.08056122809648514,0.09420602023601532,0.09300326555967331,0.08055584877729416,,,,,,,
24,449,,,,,,,,0.08885850757360458,0.08885850757360458,2.800271511077881,0.07917898893356323,0.08916708827018738,0.08885850757360458,0.07917899638414383
24,449,0.09367521107196808,0.09368650615215302,2.8450467586517334,0.08154530823230743,0.0941377580165863,0.09368650615215302,0.08153943717479706,,,,,,,
25,467,,,,,,,,0.08749145269393921,0.08749145269393921,2.787126302719116,0.07844102382659912,0.08834859728813171,0.08749145269393921,0.07844102382659912
25,467,0.09413105249404907,0.09414047747850418,2.8310747146606445,0.08216869086027145,0.09484445303678513,0.09414047747850418,0.08216337859630585,,,,,,,
26,485,,,,,,,,0.08851674944162369,0.08851674199104309,2.7748520374298096,0.08047482371330261,0.09208884835243225,0.08851674199104309,0.08047482371330261
26,485,0.09504273533821106,0.09505070000886917,2.8174901008605957,0.08318448811769485,0.0965864434838295,0.09505070000886917,0.08317966014146805,,,,,,,
27,503,,,,,,,,0.0878332182765007,0.0878332182765007,2.7628257274627686,0.07971905916929245,0.09060407429933548,0.0878332182765007,0.07971905916929245
27,503,0.096068374812603,0.09607570618391037,2.804692506790161,0.08410581201314926,0.09808004647493362,0.09607570618391037,0.08410052210092545,,,,,,,
28,521,,,,,,,,0.08749145269393921,0.08749145269393921,2.751725196838379,0.0795135647058487,0.09331821650266647,0.08749145269393921,0.0795135647058487
28,521,0.09720797836780548,0.09721363335847855,2.792268991470337,0.08545894175767899,0.09999869018793106,0.09721363335847855,0.08545413613319397,,,,,,,
29,539,,,,,,,,0.08920027315616608,0.08920026570558548,2.7411277294158936,0.08141903579235077,0.09675788134336472,0.08920026570558548,0.08141903579235077
29,539,0.09811966121196747,0.09812343120574951,2.7806589603424072,0.08623091131448746,0.10012196749448776,0.09812343120574951,0.08622688055038452,,,,,,,
30,557,,,,,,,,0.08988379687070847,0.08988380432128906,2.730525255203247,0.08233824372291565,0.09831038117408752,0.08988380432128906,0.08233825117349625
30,557,0.09857549518346786,0.09857840836048126,2.7694151401519775,0.0867605060338974,0.10007525235414505,0.09857840836048126,0.08675636351108551,,,,,,,
