epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,183,,,,,,,,,,,,,,,0.9819973111152649,0.5746532678604126,0.04258489981293678,0.6222049593925476,0.9003967046737671,0.5746532678604126,0.9758608937263489
0,183,,,,,,,,0.9801502823829651,0.5189128518104553,0.06441790610551834,0.5298099517822266,0.6310065984725952,0.5189128518104553,0.9727747440338135,,,,,,,
1,367,,,,,,,,,,,,,,,0.984375,0.6370666027069092,0.03812992200255394,0.704901397228241,0.9267746210098267,0.6370666027069092,0.9803755283355713
1,367,,,,,,,,0.98363196849823,0.6048489212989807,0.041282106190919876,0.6585873961448669,0.8462041020393372,0.6048489212989807,0.9792684316635132,,,,,,,
2,551,,,,,,,,,,,,,,,0.9867526888847351,0.7606796026229858,0.03559752181172371,0.8054533004760742,0.870089590549469,0.7606796026229858,0.985604465007782
2,551,,,,,,,,0.98581862449646,0.6745189428329468,0.037009481340646744,0.7366855144500732,0.8744281530380249,0.6745189428329468,0.9832412004470825,,,,,,,
3,735,,,,,,,,,,,,,,,0.9864979386329651,0.6850699186325073,0.03471865877509117,0.7606704235076904,0.9522982835769653,0.6850699186325073,0.9836748242378235
3,735,,,,,,,,0.98707115650177,0.7113858461380005,0.03431486710906029,0.7723284959793091,0.8866075277328491,0.7113858461380005,0.9851793646812439,,,,,,,
4,919,,,,,,,,,,,,,,,0.986667811870575,0.7728762626647949,0.03289360925555229,0.8101454973220825,0.8599836826324463,0.7728762626647949,0.985750675201416
4,919,,,,,,,,0.987920343875885,0.7279821038246155,0.032361503690481186,0.7900263071060181,0.9019536972045898,0.7279821038246155,0.9862542748451233,,,,,,,
5,1103,,,,,,,,,,,,,,,0.9873471260070801,0.7344631552696228,0.03254685923457146,0.7981189489364624,0.913063645362854,0.7344631552696228,0.985604465007782
5,1103,,,,,,,,0.98879075050354,0.7579659223556519,0.030721351504325867,0.8138208389282227,0.9025880098342896,0.7579659223556519,0.9875646233558655,,,,,,,
6,1287,,,,,,,,,,,,,,,0.987941563129425,0.7490464448928833,0.03191935271024704,0.8110718727111816,0.9173779487609863,0.7490464448928833,0.9864203333854675
6,1287,,,,,,,,0.9891728758811951,0.7659637928009033,0.02980383113026619,0.821388840675354,0.9078752994537354,0.7659637928009033,0.988033652305603,,,,,,,
7,1471,,,,,,,,,,,,,,,0.98802649974823,0.7919296026229858,0.030947625637054443,0.8302851915359497,0.8809760808944702,0.7919296026229858,0.9872345328330994
7,1471,,,,,,,,0.9893002510070801,0.7716023325920105,0.028805116191506386,0.8251516819000244,0.906659722328186,0.7716023325920105,0.9882357120513916,,,,,,,
8,1655,,,,,,,,,,,,,,,0.9881963133811951,0.80425626039505,0.030714599415659904,0.836485743522644,0.8768144845962524,0.80425626039505,0.9875677227973938
8,1655,,,,,,,,0.9895762801170349,0.7806607484817505,0.0280951838940382,0.8318095803260803,0.907148003578186,0.7806607484817505,0.9886183738708496,,,,,,,
9,1839,,,,,,,,,,,,,,,0.98802649974823,0.7715296745300293,0.030657390132546425,0.8220165967941284,0.8971474170684814,0.7715296745300293,0.9869025945663452
9,1839,,,,,,,,0.9894701242446899,0.7817214131355286,0.027341511100530624,0.8311053514480591,0.902754545211792,0.7817214131355286,0.9885396361351013,,,,,,,
10,2023,,,,,,,,,,,,,,,0.9887058138847351,0.8065562844276428,0.03012765571475029,0.8421124219894409,0.8875644207000732,0.8065562844276428,0.9880468845367432
10,2023,,,,,,,,0.9898310303688049,0.7913805246353149,0.026586944237351418,0.8387019634246826,0.905453085899353,0.7913805246353149,0.9889990091323853,,,,,,,
11,2207,,,,,,,,,,,,,,,0.988620936870575,0.7881530523300171,0.030101237818598747,0.8344832062721252,0.8997178077697754,0.7881530523300171,0.9876986145973206
11,2207,,,,,,,,0.990128219127655,0.7998924255371094,0.02612580731511116,0.8450324535369873,0.9070858955383301,0.7998924255371094,0.9893800616264343,,,,,,,
12,2391,,,,,,,,,,,,,,,0.98853600025177,0.7758697271347046,0.0301226619631052,0.8287551999092102,0.9084373712539673,0.7758697271347046,0.9874262809753418
12,2391,,,,,,,,0.9904254674911499,0.8022733330726624,0.025477005168795586,0.849114179611206,0.9141170978546143,0.8022733330726624,0.9896783232688904,,,,,,,
13,2575,,,,,,,,,,,,,,,0.988620936870575,0.8003929853439331,0.02972295507788658,0.8390841484069824,0.8899241089820862,0.8003929853439331,0.9878832101821899
13,2575,,,,,,,,0.9905528426170349,0.8045676946640015,0.025097355246543884,0.851314127445221,0.9159764051437378,0.8045676946640015,0.9898228049278259,,,,,,,
14,2759,,,,,,,,,,,,,,,0.98853600025177,0.7840297222137451,0.029797084629535675,0.832046627998352,0.9008884429931641,0.7840297222137451,0.9875585436820984
14,2759,,,,,,,,0.990616500377655,0.810173749923706,0.02472604438662529,0.8539221286773682,0.9128392934799194,0.810173749923706,0.9899504780769348,,,,,,,
15,2943,,,,,,,,,,,,,,,0.9883661866188049,0.7553831338882446,0.03127777576446533,0.8181922435760498,0.925041139125824,0.7553831338882446,0.9869173169136047
15,2943,,,,,,,,0.9908924698829651,0.8181174993515015,0.024220261722803116,0.8595651984214783,0.9141089916229248,0.8181174993515015,0.9902957081794739,,,,,,,
16,3127,,,,,,,,,,,,,,,0.988620936870575,0.7983529567718506,0.029814887791872025,0.8383356332778931,0.891464352607727,0.7983529567718506,0.9878532886505127
16,3127,,,,,,,,0.9907650947570801,0.8174952268600464,0.024077050387859344,0.8579608201980591,0.9108924269676208,0.8174952268600464,0.9901732206344604,,,,,,,
17,3311,,,,,,,,,,,,,,,0.98853600025177,0.8166695833206177,0.02981233410537243,0.8440181016921997,0.8768389225006104,0.8166695833206177,0.9880387783050537
17,3311,,,,,,,,0.99072265625,0.819145679473877,0.024084165692329407,0.8580248355865479,0.9082750082015991,0.819145679473877,0.9901544451713562,,,,,,,
18,3495,,,,,,,,,,,,,,,0.988620936870575,0.8044729232788086,0.029569188132882118,0.8405605554580688,0.8869446516036987,0.8044729232788086,0.9879425168037415
18,3495,,,,,,,,0.9911472201347351,0.8243783116340637,0.0233805850148201,0.8643521666526794,0.9161661863327026,0.8243783116340637,0.9905987977981567,,,,,,,
19,3679,,,,,,,,,,,,,,,0.9883661866188049,0.7982229590415955,0.02976321056485176,0.8358616232872009,0.8850480318069458,0.7982229590415955,0.9876272678375244
19,3679,,,,,,,,0.9911684989929199,0.8271759748458862,0.023047568276524544,0.8654391169548035,0.9143766164779663,0.8271759748458862,0.9906493425369263,,,,,,,
20,3863,,,,,,,,,,,,,,,0.9881963133811951,0.8144562244415283,0.029700959101319313,0.8401076793670654,0.8705822825431824,0.8144562244415283,0.9877128601074219
20,3863,,,,,,,,0.9911472201347351,0.8266077637672424,0.022927483543753624,0.8650312423706055,0.914246678352356,0.8266077637672424,0.9906237721443176,,,,,,,
21,4047,,,,,,,,,,,,,,,0.98853600025177,0.7717897891998291,0.03020530380308628,0.8270597457885742,0.9125068783760071,0.7717897891998291,0.9873582124710083
21,4047,,,,,,,,0.991571843624115,0.8351845741271973,0.022451963275671005,0.8723036050796509,0.919150710105896,0.8351845741271973,0.9911028742790222,,,,,,,
22,4231,,,,,,,,,,,,,,,0.988875687122345,0.7801231145858765,0.030125638470053673,0.8338291049003601,0.9147346019744873,0.7801231145858765,0.9877988696098328
22,4231,,,,,,,,0.991805374622345,0.8358609676361084,0.022298268973827362,0.8751430511474609,0.925376296043396,0.8358609676361084,0.9913236498832703,,,,,,,
23,4415,,,,,,,,,,,,,,,0.9887058138847351,0.8004363179206848,0.029790183529257774,0.8399144411087036,0.8920775651931763,0.8004363179206848,0.9879588484764099
23,4415,,,,,,,,0.9914232492446899,0.8339941501617432,0.022251667454838753,0.870293915271759,0.9159090518951416,0.8339941501617432,0.9909549951553345,,,,,,,
24,4599,,,,,,,,,,,,,,,0.9873471260070801,0.7283431887626648,0.03297733888030052,0.7948894500732422,0.9207757711410522,0.7283431887626648,0.9854743480682373
24,4599,,,,,,,,0.99167799949646,0.837468147277832,0.021864473819732666,0.874146580696106,0.9202351570129395,0.837468147277832,0.9912235736846924,,,,,,,
25,4783,,,,,,,,,,,,,,,0.9881963133811951,0.8144562244415283,0.029852958396077156,0.8401076793670654,0.8705822825431824,0.8144562244415283,0.9877128601074219
25,4783,,,,,,,,0.99146568775177,0.835130512714386,0.021994920447468758,0.8710959553718567,0.9161598682403564,0.835130512714386,0.9910055994987488,,,,,,,
26,4967,,,,,,,,,,,,,,,0.9884510636329651,0.7574664354324341,0.031652309000492096,0.819981575012207,0.9255692958831787,0.7574664354324341,0.9870314598083496
26,4967,,,,,,,,0.9917629361152649,0.8436424136161804,0.021677911281585693,0.8768064379692078,0.9174171686172485,0.8436424136161804,0.9913637042045593,,,,,,,
27,5151,,,,,,,,,,,,,,,0.9883661866188049,0.7819030284881592,0.030209530144929886,0.8295584917068481,0.8978868126869202,0.7819030284881592,0.9873742461204529
27,5151,,,,,,,,0.99193274974823,0.845958411693573,0.021383941173553467,0.8793465495109558,0.9202303886413574,0.845958411693573,0.9915418028831482,,,,,,,
28,5335,,,,,,,,,,,,,,,0.988620936870575,0.7616331577301025,0.03180554136633873,0.8235327005386353,0.9266057014465332,0.7616331577301025,0.9872584342956543
28,5335,,,,,,,,0.991826593875885,0.8431174755096436,0.021365666761994362,0.8773828744888306,0.9196407198905945,0.8431174755096436,0.9914167523384094,,,,,,,
29,5519,,,,,,,,,,,,,,,0.9883661866188049,0.7982229590415955,0.030134577304124832,0.8358616232872009,0.8850480318069458,0.7982229590415955,0.9876272678375244
29,5519,,,,,,,,0.99193274974823,0.8454010486602783,0.021114755421876907,0.8791983127593994,0.9207006096839905,0.8454010486602783,0.9915362596511841,,,,,,,
30,5703,,,,,,,,,,,,,,,0.987941563129425,0.8143261671066284,0.030003702268004417,0.8377344012260437,0.8651291131973267,0.8143261671066284,0.9874908924102783
30,5703,,,,,,,,0.9921450614929199,0.8455092310905457,0.020986728370189667,0.8816503286361694,0.9266675710678101,0.8455092310905457,0.9917322397232056,,,,,,,
31,5887,,,,,,,,,,,,,,,0.9881963133811951,0.80425626039505,0.03031063638627529,0.836485743522644,0.8768144845962524,0.80425626039505,0.9875677227973938
31,5887,,,,,,,,0.9921875,0.8488750457763672,0.020891821011900902,0.883013129234314,0.9249319434165955,0.8488750457763672,0.9918035864830017,,,,,,,
32,6071,,,,,,,,,,,,,,,0.98879075050354,0.7821197509765625,0.030802110210061073,0.833782434463501,0.9101560115814209,0.7821197509765625,0.9877548217773438
32,6071,,,,,,,,0.9917841553688049,0.8469973802566528,0.02045808732509613,0.8779474496841431,0.915265679359436,0.8469973802566528,0.9914162158966064,,,,,,,
33,6255,,,,,,,,,,,,,,,0.9881963133811951,0.8022162914276123,0.030280590057373047,0.8357411623001099,0.8781419992446899,0.8022162914276123,0.9875379204750061
33,6255,,,,,,,,0.992038905620575,0.8487993478775024,0.02066393941640854,0.8812981247901917,0.9208126068115234,0.8487993478775024,0.9916664361953735,,,,,,,
34,6256,0.989741861820221,0.8179115653038025,0.02747994475066662,0.8490602374076843,0.8873447179794312,0.8179115653038025,0.9892369508743286,,,,,,,,,,,,,,
