epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,2,,,,,,,,,,,,,,,0.7411764860153198,0.5,0.5130940079689026,0.4256756901741028,0.3705882430076599,0.5,0.6310015916824341
0,2,,,,,,,,0.6283186078071594,0.43399778008461,0.5858598351478577,0.4328996241092682,0.431871235370636,0.43399778008461,0.6253725290298462,,,,,,,
1,5,,,,,,,,,,,,,,,0.8058823347091675,0.625,0.32875359058380127,0.6421052813529968,0.8962264060974121,0.625,0.7588854432106018
1,5,,,,,,,,0.7905604839324951,0.503496527671814,0.39566683769226074,0.44836360216140747,0.8951255679130554,0.503496527671814,0.6995643377304077,,,,,,,
2,8,,,,,,,,,,,,,,,1.0,1.0,0.21946313977241516,1.0,1.0,1.0,1.0
2,8,,,,,,,,0.8702064752578735,0.692307710647583,0.24782857298851013,0.7397812604904175,0.9293739795684814,0.692307710647583,0.8462952375411987,,,,,,,
3,11,,,,,,,,,,,,,,,1.0,1.0,0.18430198729038239,1.0,1.0,1.0,1.0
3,11,,,,,,,,1.0,1.0,0.19617876410484314,1.0,1.0,1.0,1.0,,,,,,,
4,14,,,,,,,,,,,,,,,1.0,1.0,0.14302200078964233,1.0,1.0,1.0,1.0
4,14,,,,,,,,1.0,1.0,0.16094252467155457,1.0,1.0,1.0,1.0,,,,,,,
5,17,,,,,,,,,,,,,,,1.0,1.0,0.12506069242954254,1.0,1.0,1.0,1.0
5,17,,,,,,,,1.0,1.0,0.12094288319349289,1.0,1.0,1.0,1.0,,,,,,,
6,20,,,,,,,,,,,,,,,1.0,1.0,0.11799877136945724,1.0,1.0,1.0,1.0
6,20,,,,,,,,1.0,1.0,0.10442961007356644,1.0,1.0,1.0,1.0,,,,,,,
7,23,,,,,,,,,,,,,,,1.0,1.0,0.10021715611219406,1.0,1.0,1.0,1.0
7,23,,,,,,,,1.0,1.0,0.09349603950977325,1.0,1.0,1.0,1.0,,,,,,,
8,26,,,,,,,,,,,,,,,1.0,1.0,0.08308175951242447,1.0,1.0,1.0,1.0
8,26,,,,,,,,1.0,1.0,0.07874994724988937,1.0,1.0,1.0,1.0,,,,,,,
9,29,,,,,,,,,,,,,,,1.0,1.0,0.0741114467382431,1.0,1.0,1.0,1.0
9,29,,,,,,,,1.0,1.0,0.06809166818857193,1.0,1.0,1.0,1.0,,,,,,,
10,32,,,,,,,,,,,,,,,1.0,1.0,0.06838076561689377,1.0,1.0,1.0,1.0
10,32,,,,,,,,1.0,1.0,0.06335481256246567,1.0,1.0,1.0,1.0,,,,,,,
11,35,,,,,,,,,,,,,,,1.0,1.0,0.062347423285245895,1.0,1.0,1.0,1.0
11,35,,,,,,,,1.0,1.0,0.058264121413230896,1.0,1.0,1.0,1.0,,,,,,,
12,38,,,,,,,,,,,,,,,1.0,1.0,0.058005962520837784,1.0,1.0,1.0,1.0
12,38,,,,,,,,1.0,1.0,0.05245881527662277,1.0,1.0,1.0,1.0,,,,,,,
13,41,,,,,,,,,,,,,,,1.0,1.0,0.055440183728933334,1.0,1.0,1.0,1.0
13,41,,,,,,,,1.0,1.0,0.048144057393074036,1.0,1.0,1.0,1.0,,,,,,,
14,44,,,,,,,,,,,,,,,1.0,1.0,0.052598174661397934,1.0,1.0,1.0,1.0
14,44,,,,,,,,1.0,1.0,0.045114561915397644,1.0,1.0,1.0,1.0,,,,,,,
15,47,,,,,,,,,,,,,,,1.0,1.0,0.04922815039753914,1.0,1.0,1.0,1.0
15,47,,,,,,,,1.0,1.0,0.042379871010780334,1.0,1.0,1.0,1.0,,,,,,,
16,50,,,,,,,,,,,,,,,1.0,1.0,0.04559364169836044,1.0,1.0,1.0,1.0
16,50,,,,,,,,1.0,1.0,0.03973483294248581,1.0,1.0,1.0,1.0,,,,,,,
17,53,,,,,,,,,,,,,,,1.0,1.0,0.042910147458314896,1.0,1.0,1.0,1.0
17,53,,,,,,,,1.0,1.0,0.037322014570236206,1.0,1.0,1.0,1.0,,,,,,,
18,56,,,,,,,,,,,,,,,1.0,1.0,0.040794212371110916,1.0,1.0,1.0,1.0
18,56,,,,,,,,1.0,1.0,0.035498153418302536,1.0,1.0,1.0,1.0,,,,,,,
19,59,,,,,,,,,,,,,,,1.0,1.0,0.03898749500513077,1.0,1.0,1.0,1.0
19,59,,,,,,,,1.0,1.0,0.03378298878669739,1.0,1.0,1.0,1.0,,,,,,,
20,62,,,,,,,,,,,,,,,1.0,1.0,0.03740287572145462,1.0,1.0,1.0,1.0
20,62,,,,,,,,1.0,1.0,0.03214623034000397,1.0,1.0,1.0,1.0,,,,,,,
21,65,,,,,,,,,,,,,,,1.0,1.0,0.03593452647328377,1.0,1.0,1.0,1.0
21,65,,,,,,,,1.0,1.0,0.030621789395809174,1.0,1.0,1.0,1.0,,,,,,,
22,68,,,,,,,,,,,,,,,1.0,1.0,0.0346234031021595,1.0,1.0,1.0,1.0
22,68,,,,,,,,1.0,1.0,0.029279891401529312,1.0,1.0,1.0,1.0,,,,,,,
23,71,,,,,,,,,,,,,,,1.0,1.0,0.03331634774804115,1.0,1.0,1.0,1.0
23,71,,,,,,,,1.0,1.0,0.02808372862637043,1.0,1.0,1.0,1.0,,,,,,,
24,74,,,,,,,,,,,,,,,1.0,1.0,0.03208012506365776,1.0,1.0,1.0,1.0
24,74,,,,,,,,1.0,1.0,0.02693457528948784,1.0,1.0,1.0,1.0,,,,,,,
25,77,,,,,,,,,,,,,,,1.0,1.0,0.0308370478451252,1.0,1.0,1.0,1.0
25,77,,,,,,,,1.0,1.0,0.025880685076117516,1.0,1.0,1.0,1.0,,,,,,,
26,80,,,,,,,,,,,,,,,1.0,1.0,0.029681993648409843,1.0,1.0,1.0,1.0
26,80,,,,,,,,1.0,1.0,0.02487272396683693,1.0,1.0,1.0,1.0,,,,,,,
27,83,,,,,,,,,,,,,,,1.0,1.0,0.028532959520816803,1.0,1.0,1.0,1.0
27,83,,,,,,,,1.0,1.0,0.02394794672727585,1.0,1.0,1.0,1.0,,,,,,,
28,86,,,,,,,,,,,,,,,1.0,1.0,0.027521943673491478,1.0,1.0,1.0,1.0
28,86,,,,,,,,1.0,1.0,0.02306130714714527,1.0,1.0,1.0,1.0,,,,,,,
29,89,,,,,,,,,,,,,,,1.0,1.0,0.026556719094514847,1.0,1.0,1.0,1.0
29,89,,,,,,,,1.0,1.0,0.022247707471251488,1.0,1.0,1.0,1.0,,,,,,,
30,92,,,,,,,,,,,,,,,1.0,1.0,0.025669757276773453,1.0,1.0,1.0,1.0
30,92,,,,,,,,1.0,1.0,0.021472588181495667,1.0,1.0,1.0,1.0,,,,,,,
31,95,,,,,,,,,,,,,,,1.0,1.0,0.024848073720932007,1.0,1.0,1.0,1.0
31,95,,,,,,,,1.0,1.0,0.020758317783474922,1.0,1.0,1.0,1.0,,,,,,,
32,98,,,,,,,,,,,,,,,1.0,1.0,0.02408202737569809,1.0,1.0,1.0,1.0
32,98,,,,,,,,1.0,1.0,0.020061219111084938,1.0,1.0,1.0,1.0,,,,,,,
33,101,,,,,,,,,,,,,,,1.0,1.0,0.02333526313304901,1.0,1.0,1.0,1.0
33,101,,,,,,,,1.0,1.0,0.019401704892516136,1.0,1.0,1.0,1.0,,,,,,,
34,104,,,,,,,,,,,,,,,1.0,1.0,0.022626128047704697,1.0,1.0,1.0,1.0
34,104,,,,,,,,1.0,1.0,0.01878489926457405,1.0,1.0,1.0,1.0,,,,,,,
35,107,,,,,,,,,,,,,,,1.0,1.0,0.021958552300930023,1.0,1.0,1.0,1.0
35,107,,,,,,,,1.0,1.0,0.01820525899529457,1.0,1.0,1.0,1.0,,,,,,,
36,110,,,,,,,,,,,,,,,1.0,1.0,0.02130097709596157,1.0,1.0,1.0,1.0
36,110,,,,,,,,1.0,1.0,0.017646867781877518,1.0,1.0,1.0,1.0,,,,,,,
37,113,,,,,,,,,,,,,,,1.0,1.0,0.020706966519355774,1.0,1.0,1.0,1.0
37,113,,,,,,,,1.0,1.0,0.017101773992180824,1.0,1.0,1.0,1.0,,,,,,,
38,116,,,,,,,,,,,,,,,1.0,1.0,0.02008511684834957,1.0,1.0,1.0,1.0
38,116,,,,,,,,1.0,1.0,0.016599837690591812,1.0,1.0,1.0,1.0,,,,,,,
39,119,,,,,,,,,,,,,,,1.0,1.0,0.01948362961411476,1.0,1.0,1.0,1.0
39,119,,,,,,,,1.0,1.0,0.016122274100780487,1.0,1.0,1.0,1.0,,,,,,,
40,122,,,,,,,,,,,,,,,1.0,1.0,0.01893622800707817,1.0,1.0,1.0,1.0
40,122,,,,,,,,1.0,1.0,0.015668408945202827,1.0,1.0,1.0,1.0,,,,,,,
41,125,,,,,,,,,,,,,,,1.0,1.0,0.018434936180710793,1.0,1.0,1.0,1.0
41,125,,,,,,,,1.0,1.0,0.015226151794195175,1.0,1.0,1.0,1.0,,,,,,,
42,128,,,,,,,,,,,,,,,1.0,1.0,0.017970172688364983,1.0,1.0,1.0,1.0
42,128,,,,,,,,1.0,1.0,0.014803295955061913,1.0,1.0,1.0,1.0,,,,,,,
43,131,,,,,,,,,,,,,,,1.0,1.0,0.01750038005411625,1.0,1.0,1.0,1.0
43,131,,,,,,,,1.0,1.0,0.014411289244890213,1.0,1.0,1.0,1.0,,,,,,,
44,134,,,,,,,,,,,,,,,1.0,1.0,0.017117826268076897,1.0,1.0,1.0,1.0
44,134,,,,,,,,1.0,1.0,0.014024103991687298,1.0,1.0,1.0,1.0,,,,,,,
45,137,,,,,,,,,,,,,,,1.0,1.0,0.01669665426015854,1.0,1.0,1.0,1.0
45,137,,,,,,,,1.0,1.0,0.013655256479978561,1.0,1.0,1.0,1.0,,,,,,,
46,140,,,,,,,,,,,,,,,1.0,1.0,0.0162782222032547,1.0,1.0,1.0,1.0
46,140,,,,,,,,1.0,1.0,0.01330391876399517,1.0,1.0,1.0,1.0,,,,,,,
47,143,,,,,,,,,,,,,,,1.0,1.0,0.015843281522393227,1.0,1.0,1.0,1.0
47,143,,,,,,,,1.0,1.0,0.012973983772099018,1.0,1.0,1.0,1.0,,,,,,,
48,146,,,,,,,,,,,,,,,1.0,1.0,0.015450519509613514,1.0,1.0,1.0,1.0
48,146,,,,,,,,1.0,1.0,0.012646653689444065,1.0,1.0,1.0,1.0,,,,,,,
49,149,,,,,,,,,,,,,,,1.0,1.0,0.015058179385960102,1.0,1.0,1.0,1.0
49,149,,,,,,,,1.0,1.0,0.01233743131160736,1.0,1.0,1.0,1.0,,,,,,,
50,152,,,,,,,,,,,,,,,1.0,1.0,0.01470268052071333,1.0,1.0,1.0,1.0
50,152,,,,,,,,1.0,1.0,0.012032234109938145,1.0,1.0,1.0,1.0,,,,,,,
51,155,,,,,,,,,,,,,,,1.0,1.0,0.01436593383550644,1.0,1.0,1.0,1.0
51,155,,,,,,,,1.0,1.0,0.011751092039048672,1.0,1.0,1.0,1.0,,,,,,,
52,158,,,,,,,,,,,,,,,1.0,1.0,0.014028843492269516,1.0,1.0,1.0,1.0
52,158,,,,,,,,1.0,1.0,0.01147698424756527,1.0,1.0,1.0,1.0,,,,,,,
53,161,,,,,,,,,,,,,,,1.0,1.0,0.013709968887269497,1.0,1.0,1.0,1.0
53,161,,,,,,,,1.0,1.0,0.011215814389288425,1.0,1.0,1.0,1.0,,,,,,,
54,164,,,,,,,,,,,,,,,1.0,1.0,0.01342685054987669,1.0,1.0,1.0,1.0
54,164,,,,,,,,1.0,1.0,0.010960946790874004,1.0,1.0,1.0,1.0,,,,,,,
55,167,,,,,,,,,,,,,,,1.0,1.0,0.013131573796272278,1.0,1.0,1.0,1.0
55,167,,,,,,,,1.0,1.0,0.010711893439292908,1.0,1.0,1.0,1.0,,,,,,,
56,170,,,,,,,,,,,,,,,1.0,1.0,0.012872300110757351,1.0,1.0,1.0,1.0
56,170,,,,,,,,1.0,1.0,0.010487443767488003,1.0,1.0,1.0,1.0,,,,,,,
57,173,,,,,,,,,,,,,,,1.0,1.0,0.012590782716870308,1.0,1.0,1.0,1.0
57,173,,,,,,,,1.0,1.0,0.010251606814563274,1.0,1.0,1.0,1.0,,,,,,,
58,176,,,,,,,,,,,,,,,1.0,1.0,0.012332943268120289,1.0,1.0,1.0,1.0
58,176,,,,,,,,1.0,1.0,0.010031532496213913,1.0,1.0,1.0,1.0,,,,,,,
59,179,,,,,,,,,,,,,,,1.0,1.0,0.012094068340957165,1.0,1.0,1.0,1.0
59,179,,,,,,,,1.0,1.0,0.009817066602408886,1.0,1.0,1.0,1.0,,,,,,,
60,180,1.0,1.0,0.01030308473855257,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
