epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,2,,,,,,,,,,,,,,,0.4930555522441864,0.4892857074737549,0.6928964853286743,0.4874945282936096,0.4895651936531067,0.4892857074737549,0.4963921904563904
0,2,,,,,,,,0.4861111044883728,0.48507601022720337,0.6955171227455139,0.4850619435310364,0.48509472608566284,0.48507601022720337,0.48627251386642456,,,,,,,
1,5,,,,,,,,,,,,,,,0.4583333432674408,0.46666663885116577,0.6941993236541748,0.4579150676727295,0.4671874940395355,0.46666663885116577,0.4604247212409973
1,5,,,,,,,,0.4826388955116272,0.4779675602912903,0.6948692798614502,0.475755900144577,0.4773160219192505,0.4779675602912903,0.4788845479488373,,,,,,,
2,8,,,,,,,,,,,,,,,0.4444444477558136,0.4690476059913635,0.6951987743377686,0.44175228476524353,0.4668085277080536,0.4690476059913635,0.4352911114692688
2,8,,,,,,,,0.4982638955116272,0.4900990128517151,0.6943435668945312,0.4810180068016052,0.4890572428703308,0.4900990128517151,0.4859454035758972,,,,,,,
3,11,,,,,,,,,,,,,,,0.4513888955116272,0.4821428656578064,0.6960188746452332,0.44537079334259033,0.47979798913002014,0.4821428656578064,0.4357418119907379
3,11,,,,,,,,0.5034722089767456,0.49269211292266846,0.6939407587051392,0.47506213188171387,0.491211473941803,0.49269211292266846,0.4814225733280182,,,,,,,
4,14,,,,,,,,,,,,,,,0.4513888955116272,0.48452383279800415,0.696850597858429,0.4436348080635071,0.48204007744789124,0.48452383279800415,0.43268778920173645
4,14,,,,,,,,0.5121527910232544,0.5000362992286682,0.6936036348342896,0.4771670699119568,0.5000461339950562,0.5000362992286682,0.48421114683151245,,,,,,,
5,17,,,,,,,,,,,,,,,0.4444444477558136,0.48571428656578064,0.6977001428604126,0.4285714030265808,0.48148149251937866,0.48571428656578064,0.4126983880996704
5,17,,,,,,,,0.5069444179534912,0.49200305342674255,0.693313717842102,0.4535834789276123,0.4881279468536377,0.49200305342674255,0.4624769687652588,,,,,,,
6,20,,,,,,,,,,,,,,,0.4444444477558136,0.5,0.6987681984901428,0.40740740299224854,0.5,0.5,0.3827160596847534
6,20,,,,,,,,0.5173611044883728,0.5009973645210266,0.6929628849029541,0.4541586935520172,0.5016440153121948,0.5009973645210266,0.4638325273990631,,,,,,,
7,23,,,,,,,,,,,,,,,0.4513888955116272,0.5130952596664429,0.6997126936912537,0.40299132466316223,0.5277894735336304,0.5130952596664429,0.37466102838516235
7,23,,,,,,,,0.5138888955116272,0.496246337890625,0.6926504969596863,0.4393693208694458,0.4930875897407532,0.496246337890625,0.45001497864723206,,,,,,,
8,26,,,,,,,,,,,,,,,0.4375,0.5035713911056519,0.7004789113998413,0.37662339210510254,0.5093023180961609,0.5035713911056519,0.34415584802627563
8,26,,,,,,,,0.515625,0.49698981642723083,0.6924126148223877,0.4320108890533447,0.4938530921936035,0.49698981642723083,0.44336122274398804,,,,,,,
9,29,,,,,,,,,,,,,,,0.4375,0.5035713911056519,0.7011728882789612,0.37662339210510254,0.5093023180961609,0.5035713911056519,0.34415584802627563
9,29,,,,,,,,0.5225694179534912,0.5032278299331665,0.692203938961029,0.43293896317481995,0.5071874856948853,0.5032278299331665,0.44468095898628235,,,,,,,
10,32,,,,,,,,,,,,,,,0.4236111044883728,0.49166664481163025,0.7017743587493896,0.3548874855041504,0.4753376543521881,0.49166664481163025,0.31979456543922424
10,32,,,,,,,,0.5208333134651184,0.5008522868156433,0.6920502185821533,0.4241669178009033,0.5020672678947449,0.5008522868156433,0.43645501136779785,,,,,,,
11,35,,,,,,,,,,,,,,,0.4236111044883728,0.49642857909202576,0.7023049592971802,0.34094294905662537,0.4851852059364319,0.49642857909202576,0.3020402789115906
11,35,,,,,,,,0.5225694179534912,0.5021398067474365,0.6918611526489258,0.4212535619735718,0.5055541396141052,0.5021398067474365,0.4338655173778534,,,,,,,
12,38,,,,,,,,,,,,,,,0.4236111044883728,0.49642857909202576,0.7027962803840637,0.34094294905662537,0.4851852059364319,0.49642857909202576,0.3020402789115906
12,38,,,,,,,,0.53125,0.5100279450416565,0.6917045712471008,0.42245131731033325,0.5299253463745117,0.5100279450416565,0.4355071783065796,,,,,,,
13,41,,,,,,,,,,,,,,,0.4305555522441864,0.5047618746757507,0.7032777070999146,0.34516414999961853,0.5220588445663452,0.5047618746757507,0.3057527244091034
13,41,,,,,,,,0.5295138955116272,0.5080150961875916,0.6915018558502197,0.4170454442501068,0.5252091288566589,0.5080150961875916,0.4303816258907318,,,,,,,
14,44,,,,,,,,,,,,,,,0.4236111044883728,0.4988095164299011,0.7038480639457703,0.33329614996910095,0.4937434792518616,0.4988095164299011,0.2923988103866577
14,44,,,,,,,,0.5277777910232544,0.5061836242675781,0.6913358569145203,0.41378435492515564,0.5198079347610474,0.5061836242675781,0.42724815011024475,,,,,,,
15,47,,,,,,,,,,,,,,,0.4236111044883728,0.5011904835700989,0.7042859196662903,0.32516512274742126,0.5086331367492676,0.5011904835700989,0.2822068929672241
15,47,,,,,,,,0.5277777910232544,0.5060022473335266,0.6911598443984985,0.4115384817123413,0.5199694633483887,0.5060022473335266,0.4251602292060852,,,,,,,
16,48,0.5111111402511597,0.5105568766593933,0.6916125416755676,0.5095975399017334,0.5106621980667114,0.5105568766593933,0.5099002122879028,,,,,,,,,,,,,,
