epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,122,,,,,,,,,,,,,,,1.0,1.0,0.006295397877693176,1.0,1.0,1.0,1.0
0,122,,,,,,,,0.9787315726280212,0.9784033298492432,0.05535883828997612,0.9784740209579468,0.9785456657409668,0.9784033298492432,0.9787299633026123,,,,,,,
1,245,,,,,,,,,,,,,,,1.0,1.0,0.0029891019221395254,1.0,1.0,1.0,1.0
1,245,,,,,,,,0.999936044216156,0.9999282360076904,0.004183589480817318,0.9999352693557739,0.9999423027038574,0.9999282360076904,0.9999359846115112,,,,,,,
2,368,,,,,,,,,,,,,,,1.0,1.0,0.00207505957223475,1.0,1.0,1.0,1.0
2,368,,,,,,,,0.9999679923057556,0.9999641180038452,0.002241134410724044,0.999967634677887,0.9999711513519287,0.9999641180038452,0.9999680519104004,,,,,,,
3,491,,,,,,,,,,,,,,,1.0,1.0,0.001360713504254818,1.0,1.0,1.0,1.0
3,491,,,,,,,,1.0,1.0,0.0014509116299450397,1.0,1.0,1.0,1.0,,,,,,,
4,614,,,,,,,,,,,,,,,1.0,1.0,0.0010451141279190779,1.0,1.0,1.0,1.0
4,614,,,,,,,,1.0,1.0,0.0011068286839872599,1.0,1.0,1.0,1.0,,,,,,,
5,737,,,,,,,,,,,,,,,1.0,1.0,0.0008222988108173013,1.0,1.0,1.0,1.0
5,737,,,,,,,,1.0,1.0,0.0007830780814401805,1.0,1.0,1.0,1.0,,,,,,,
6,860,,,,,,,,,,,,,,,1.0,1.0,0.0006907245260663331,1.0,1.0,1.0,1.0
6,860,,,,,,,,1.0,1.0,0.0006307201692834496,1.0,1.0,1.0,1.0,,,,,,,
7,983,,,,,,,,,,,,,,,1.0,1.0,0.0005983784794807434,1.0,1.0,1.0,1.0
7,983,,,,,,,,1.0,1.0,0.0005256878794170916,1.0,1.0,1.0,1.0,,,,,,,
8,1106,,,,,,,,,,,,,,,1.0,1.0,0.0005341757787391543,1.0,1.0,1.0,1.0
8,1106,,,,,,,,1.0,1.0,0.0004487343248911202,1.0,1.0,1.0,1.0,,,,,,,
9,1229,,,,,,,,,,,,,,,1.0,1.0,0.00045274922740645707,1.0,1.0,1.0,1.0
9,1229,,,,,,,,1.0,1.0,0.0003889897488988936,1.0,1.0,1.0,1.0,,,,,,,
10,1352,,,,,,,,,,,,,,,1.0,1.0,0.0004065477114636451,1.0,1.0,1.0,1.0
10,1352,,,,,,,,1.0,1.0,0.0003376402019057423,1.0,1.0,1.0,1.0,,,,,,,
11,1475,,,,,,,,,,,,,,,1.0,1.0,0.00038086637505330145,1.0,1.0,1.0,1.0
11,1475,,,,,,,,1.0,1.0,0.0002998923882842064,1.0,1.0,1.0,1.0,,,,,,,
12,1598,,,,,,,,,,,,,,,1.0,1.0,0.00034358518314547837,1.0,1.0,1.0,1.0
12,1598,,,,,,,,1.0,1.0,0.000268557108938694,1.0,1.0,1.0,1.0,,,,,,,
13,1721,,,,,,,,,,,,,,,1.0,1.0,0.0003144669462926686,1.0,1.0,1.0,1.0
13,1721,,,,,,,,1.0,1.0,0.00024059017596300691,1.0,1.0,1.0,1.0,,,,,,,
14,1844,,,,,,,,,,,,,,,1.0,1.0,0.00028663070406764746,1.0,1.0,1.0,1.0
14,1844,,,,,,,,1.0,1.0,0.00021823235147166997,1.0,1.0,1.0,1.0,,,,,,,
15,1967,,,,,,,,,,,,,,,1.0,1.0,0.0002774471358861774,1.0,1.0,1.0,1.0
15,1967,,,,,,,,1.0,1.0,0.0001982435496756807,1.0,1.0,1.0,1.0,,,,,,,
16,2090,,,,,,,,,,,,,,,1.0,1.0,0.0002504191652406007,1.0,1.0,1.0,1.0
16,2090,,,,,,,,1.0,1.0,0.0001816850999603048,1.0,1.0,1.0,1.0,,,,,,,
17,2213,,,,,,,,,,,,,,,1.0,1.0,0.00023524639254901558,1.0,1.0,1.0,1.0
17,2213,,,,,,,,1.0,1.0,0.0001673616498010233,1.0,1.0,1.0,1.0,,,,,,,
18,2336,,,,,,,,,,,,,,,1.0,1.0,0.00021327269496396184,1.0,1.0,1.0,1.0
18,2336,,,,,,,,1.0,1.0,0.00015438026457559317,1.0,1.0,1.0,1.0,,,,,,,
19,2459,,,,,,,,,,,,,,,1.0,1.0,0.00020405568648129702,1.0,1.0,1.0,1.0
19,2459,,,,,,,,1.0,1.0,0.00014331931015476584,1.0,1.0,1.0,1.0,,,,,,,
20,2582,,,,,,,,,,,,,,,1.0,1.0,0.00019784500182140619,1.0,1.0,1.0,1.0
20,2582,,,,,,,,1.0,1.0,0.0001326540659647435,1.0,1.0,1.0,1.0,,,,,,,
21,2705,,,,,,,,,,,,,,,1.0,1.0,0.000181035342393443,1.0,1.0,1.0,1.0
21,2705,,,,,,,,1.0,1.0,0.00012317366781644523,1.0,1.0,1.0,1.0,,,,,,,
22,2828,,,,,,,,,,,,,,,1.0,1.0,0.0001790309906937182,1.0,1.0,1.0,1.0
