epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,117,,,,,,,,,,,,,,,0.9878504872322083,0.9878081679344177,0.0432482585310936,0.9877792596817017,0.9877881407737732,0.9878081679344177,0.9878470301628113
0,117,,,,,,,,0.950794517993927,0.9508355855941772,0.1840943694114685,0.9508426785469055,0.9509433507919312,0.9508355855941772,0.9508050084114075,,,,,,,
1,235,,,,,,,,,,,,,,,0.988117516040802,0.9880821704864502,0.03756824508309364,0.9880169034004211,0.9880952835083008,0.9880821704864502,0.9881007075309753
1,235,,,,,,,,0.999165415763855,0.9991669058799744,0.009036180563271046,0.9991668462753296,0.9991670250892639,0.9991669058799744,0.9991655349731445,,,,,,,
2,353,,,,,,,,,,,,,,,0.9886515140533447,0.9886224269866943,0.03648959472775459,0.9885656237602234,0.9886350035667419,0.9886224269866943,0.988639771938324
2,353,,,,,,,,1.0,1.0,0.003796839155256748,1.0,1.0,1.0,1.0,,,,,,,
3,471,,,,,,,,,,,,,,,0.9886515140533447,0.9886263012886047,0.03622708469629288,0.9885644316673279,0.9886496067047119,0.9886263012886047,0.9886347055435181
3,471,,,,,,,,0.9998664855957031,0.9998663067817688,0.0027364843990653753,0.9998664259910583,0.9998668432235718,0.9998663067817688,0.9998665452003479,,,,,,,
4,589,,,,,,,,,,,,,,,0.9893190860748291,0.9892995953559875,0.035307399928569794,0.9892410635948181,0.989324152469635,0.9892995953559875,0.9893053770065308
4,589,,,,,,,,1.0,1.0,0.0017146627651527524,1.0,1.0,1.0,1.0,,,,,,,
5,707,,,,,,,,,,,,,,,0.9895861148834229,0.9895650744438171,0.03467411547899246,0.9895095825195312,0.9895867705345154,0.9895650744438171,0.9895747900009155
5,707,,,,,,,,1.0,1.0,0.001308119622990489,1.0,1.0,1.0,1.0,,,,,,,
6,825,,,,,,,,,,,,,,,0.9893190860748291,0.9892997741699219,0.03463975712656975,0.9892442226409912,0.9893212914466858,0.9892997741699219,0.9893076419830322
6,825,,,,,,,,1.0,1.0,0.001050297636538744,1.0,1.0,1.0,1.0,,,,,,,
7,943,,,,,,,,,,,,,,,0.9891855716705322,0.9891656637191772,0.03491493687033653,0.9891080260276794,0.989192545413971,0.9891656637191772,0.989173412322998
7,943,,,,,,,,1.0,1.0,0.000864045403432101,1.0,1.0,1.0,1.0,,,,,,,
8,1061,,,,,,,,,,,,,,,0.9895861148834229,0.9895627498626709,0.0341603048145771,0.9895124435424805,0.9895767569541931,0.9895627498626709,0.9895749092102051
8,1061,,,,,,,,1.0,1.0,0.0007260065758600831,1.0,1.0,1.0,1.0,,,,,,,
9,1179,,,,,,,,,,,,,,,0.9893190860748291,0.9892997741699219,0.03440617769956589,0.9892442226409912,0.9893212914466858,0.9892997741699219,0.9893076419830322
9,1179,,,,,,,,1.0,1.0,0.0006199951749294996,1.0,1.0,1.0,1.0,,,,,,,
10,1297,,,,,,,,,,,,,,,0.9893190860748291,0.9892985820770264,0.03416810929775238,0.9892469048500061,0.9893077611923218,0.9892985820770264,0.98930823802948
10,1297,,,,,,,,1.0,1.0,0.0005345827084966004,1.0,1.0,1.0,1.0,,,,,,,
11,1415,,,,,,,,,,,,,,,0.9891855716705322,0.9891645312309265,0.0346047580242157,0.9891107678413391,0.989178478717804,0.9891645312309265,0.9891741275787354
11,1415,,,,,,,,1.0,1.0,0.0004671742208302021,1.0,1.0,1.0,1.0,,,,,,,
12,1533,,,,,,,,,,,,,,,0.9895861148834229,0.9895651340484619,0.03441173583269119,0.9895128011703491,0.9895805716514587,0.9895651340484619,0.9895751476287842
12,1533,,,,,,,,1.0,1.0,0.00041113895713351667,1.0,1.0,1.0,1.0,,,,,,,
13,1651,,,,,,,,,,,,,,,0.989452600479126,0.9894323945045471,0.03454077988862991,0.9893797039985657,0.9894426465034485,0.9894323945045471,0.989441990852356
13,1651,,,,,,,,1.0,1.0,0.000364139472367242,1.0,1.0,1.0,1.0,,,,,,,
14,1769,,,,,,,,,,,,,,,0.989452600479126,0.9894323945045471,0.034894026815891266,0.9893797039985657,0.9894426465034485,0.9894323945045471,0.989441990852356
14,1769,,,,,,,,1.0,1.0,0.00032544907298870385,1.0,1.0,1.0,1.0,,,,,,,
15,1887,,,,,,,,,,,,,,,0.9897196292877197,0.9896951913833618,0.0348145067691803,0.9896447658538818,0.9897041320800781,0.9896951913833618,0.9897087812423706
15,1887,,,,,,,,1.0,1.0,0.00029231514781713486,1.0,1.0,1.0,1.0,,,,,,,
16,2005,,,,,,,,,,,,,,,0.9895861148834229,0.9895638823509216,0.03500386327505112,0.9895122647285461,0.9895732402801514,0.9895638823509216,0.9895752668380737
16,2005,,,,,,,,1.0,1.0,0.00026231358060613275,1.0,1.0,1.0,1.0,,,,,,,
17,2123,,,,,,,,,,,,,,,0.9895861148834229,0.9895638823509216,0.03504898399114609,0.9895122647285461,0.9895732402801514,0.9895638823509216,0.9895752668380737
17,2123,,,,,,,,1.0,1.0,0.00023722986225038767,1.0,1.0,1.0,1.0,,,,,,,
18,2241,,,,,,,,,,,,,,,0.9895861148834229,0.9895638823509216,0.03505517169833183,0.9895122647285461,0.9895732402801514,0.9895638823509216,0.9895752668380737
18,2241,,,,,,,,1.0,1.0,0.00021530356025323272,1.0,1.0,1.0,1.0,,,,,,,
19,2359,,,,,,,,,,,,,,,0.9895861148834229,0.9895638823509216,0.03511761128902435,0.9895122647285461,0.9895732402801514,0.9895638823509216,0.9895752668380737
19,2359,,,,,,,,1.0,1.0,0.00019669959146995097,1.0,1.0,1.0,1.0,,,,,,,
20,2477,,,,,,,,,,,,,,,0.9897196292877197,0.9896979928016663,0.03515617921948433,0.9896484017372131,0.9897028207778931,0.9896979928016663,0.9897093772888184
20,2477,,,,,,,,1.0,1.0,0.00017948364256881177,1.0,1.0,1.0,1.0,,,,,,,
21,2595,,,,,,,,,,,,,,,0.9897196292877197,0.9896979928016663,0.035381920635700226,0.9896484017372131,0.9897028207778931,0.9896979928016663,0.9897093772888184
21,2595,,,,,,,,1.0,1.0,0.00016461790073662996,1.0,1.0,1.0,1.0,,,,,,,
22,2713,,,,,,,,,,,,,,,0.9897196292877197,0.9896979928016663,0.03538503870368004,0.9896484017372131,0.9897028207778931,0.9896979928016663,0.9897093772888184
22,2713,,,,,,,,1.0,1.0,0.0001512537564849481,1.0,1.0,1.0,1.0,,,,,,,
23,2831,,,,,,,,,,,,,,,0.9897196292877197,0.9896979928016663,0.03534121438860893,0.9896484017372131,0.9897028207778931,0.9896979928016663,0.9897093772888184
23,2831,,,,,,,,1.0,1.0,0.00013922079233452678,1.0,1.0,1.0,1.0,,,,,,,
