epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,1,,,,,,,,,,,,,,,0.6515151858329773,0.6805555820465088,0.5930476784706116,0.6267518997192383,0.7830188274383545,0.6805555820465088,0.6180118918418884
0,1,,,,,,,,0.6183205842971802,0.6089596748352051,0.6868870258331299,0.6092119216918945,0.6121322512626648,0.6089596748352051,0.6155880689620972,,,,,,,
1,3,,,,,,,,,,,,,,,0.696969747543335,0.7222222089767456,0.5774171948432922,0.682692289352417,0.800000011920929,0.7222222089767456,0.6765733957290649
1,3,,,,,,,,0.6908397078514099,0.6554965972900391,0.5803149938583374,0.6316839456558228,0.7970720529556274,0.6554965972900391,0.6474588513374329,,,,,,,
2,5,,,,,,,,,,,,,,,0.7878788113594055,0.8027777671813965,0.5078844428062439,0.786111056804657,0.8244047164916992,0.8027777671813965,0.7843433618545532
2,5,,,,,,,,0.6832060813903809,0.6502504944801331,0.5691045522689819,0.6304402947425842,0.7565418481826782,0.6502504944801331,0.645363986492157,,,,,,,
3,7,,,,,,,,,,,,,,,0.8030303120613098,0.8111110925674438,0.4223982095718384,0.8029850721359253,0.8131407499313354,0.8111110925674438,0.8027136921882629
3,7,,,,,,,,0.7404580116271973,0.7193044424057007,0.522746205329895,0.7192562222480774,0.7696600556373596,0.7193044424057007,0.727501392364502,,,,,,,
4,9,,,,,,,,,,,,,,,0.8030303120613098,0.8055555820465088,0.36886975169181824,0.8026224970817566,0.8030303120613098,0.8055555820465088,0.8034380674362183
4,9,,,,,,,,0.7824427485466003,0.7778662443161011,0.46987810730934143,0.7789356708526611,0.7805952429771423,0.7778662443161011,0.7819113731384277,,,,,,,
5,11,,,,,,,,,,,,,,,0.8333333730697632,0.8388888835906982,0.3366369307041168,0.8332949876785278,0.8373271822929382,0.8388888835906982,0.8335245847702026
5,11,,,,,,,,0.7824427485466003,0.7869436740875244,0.4365933835506439,0.782058596611023,0.7838152647018433,0.7869436740875244,0.783036470413208,,,,,,,
6,13,,,,,,,,,,,,,,,0.8636363744735718,0.8722221851348877,0.32432976365089417,0.8636050820350647,0.8746504783630371,0.8722221851348877,0.8634172081947327
6,13,,,,,,,,0.805343508720398,0.8068081140518188,0.3985513150691986,0.804314374923706,0.8037464618682861,0.8068081140518188,0.8058309555053711,,,,,,,
