epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,8,,,,,,,,0.11974340677261353,0.05436387285590172,2.845735788345337,0.04654727876186371,0.1105630174279213,0.05436387285590172,0.09657247364521027
0,8,0.08483840525150299,0.047578658908605576,2.875995635986328,0.04116499051451683,0.044460833072662354,0.047578658908605576,0.07393072545528412,,,,,,,
1,17,,,,,,,,0.13328582048416138,0.05497519671916962,2.7993152141571045,0.04312377795577049,0.09504901617765427,0.05497519671916962,0.1000528559088707
1,17,0.13117870688438416,0.0573589988052845,2.826723337173462,0.04592317342758179,0.06069835647940636,0.0573589988052845,0.10093960165977478,,,,,,,
2,26,,,,,,,,0.15253029763698578,0.060857824981212616,2.7557544708251953,0.04612506553530693,0.09771248698234558,0.060857824981212616,0.11005055904388428
2,26,0.1556558907032013,0.06395014375448227,2.7813820838928223,0.04914667084813118,0.07822976261377335,0.06395014375448227,0.11519981175661087,,,,,,,
3,35,,,,,,,,0.16108338534832,0.06268574297428131,2.7152950763702393,0.045309729874134064,0.04257352277636528,0.06268574297428131,0.11123860627412796
3,35,0.1749049425125122,0.06986327469348907,2.7386152744293213,0.05272730812430382,0.07624229788780212,0.06986327469348907,0.12667271494865417,,,,,,,
4,44,,,,,,,,0.1689237356185913,0.06406991928815842,2.6775712966918945,0.043743863701820374,0.041641686111688614,0.06406991928815842,0.11095575243234634
4,44,0.18726235628128052,0.07299157977104187,2.6991331577301025,0.0523187480866909,0.04805159196257591,0.07299157977104187,0.12941895425319672,,,,,,,
5,53,,,,,,,,0.17890235781669617,0.06753963977098465,2.6427853107452393,0.044263485819101334,0.04047034680843353,0.06753963977098465,0.11331117898225784
5,53,0.20057034492492676,0.07748331129550934,2.661864757537842,0.053682032972574234,0.04991919547319412,0.07748331129550934,0.1343477964401245,,,,,,,
6,62,,,,,,,,0.18460442125797272,0.0688798576593399,2.6104745864868164,0.04335761070251465,0.03888510912656784,0.0688798576593399,0.11288836598396301
6,62,0.2110266089439392,0.08116009831428528,2.627751588821411,0.05504412204027176,0.0508604422211647,0.08116009831428528,0.13844719529151917,,,,,,,
7,71,,,,,,,,0.18888096511363983,0.070536769926548,2.580474615097046,0.044238410890102386,0.039539456367492676,0.070536769926548,0.11501866579055786
7,71,0.21601711213588715,0.08255495131015778,2.595950126647949,0.05555473268032074,0.053920403122901917,0.08255495131015778,0.14044605195522308,,,,,,,
8,80,,,,,,,,0.19743406772613525,0.07361391186714172,2.552711009979248,0.045378174632787704,0.04063485190272331,0.07361391186714172,0.11783792823553085
8,80,0.22243346273899078,0.0846821516752243,2.5663797855377197,0.0567195862531662,0.05467201769351959,0.0846821516752243,0.14354798197746277,,,,,,,
9,89,,,,,,,,0.2066999226808548,0.07664039731025696,2.5268378257751465,0.046785421669483185,0.04079187661409378,0.07664039731025696,0.12251544743776321
9,89,0.2250475287437439,0.08558758348226547,2.5385801792144775,0.057609591633081436,0.08501872420310974,0.08558758348226547,0.14498238265514374,,,,,,,
10,98,,,,,,,,0.2102637141942978,0.07779374718666077,2.5026869773864746,0.04726690053939819,0.04106738790869713,0.07779374718666077,0.12403927743434906
10,98,0.22980037331581116,0.08733545243740082,2.5130603313446045,0.058873243629932404,0.08635301142930984,0.08733545243740082,0.14824067056179047,,,,,,,
11,107,,,,,,,,0.2145402729511261,0.07948779314756393,2.480368137359619,0.049936916679143906,0.04684982821345329,0.07948779314756393,0.13059940934181213
11,107,0.23217681050300598,0.08805342018604279,2.4891231060028076,0.05954478308558464,0.0718955248594284,0.08805342018604279,0.15050886571407318,,,,,,,
