epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.5,0.5,0.6928462386131287,0.49419352412223816,0.5,0.5,0.49419352412223816
0,0,0.494047611951828,0.49532246589660645,0.693999707698822,0.4888133406639099,0.4950980544090271,0.49532246589660645,0.48819756507873535,,,,,,,
1,1,,,,,,,,0.5178571939468384,0.5178571343421936,0.6928726434707642,0.5139825940132141,0.5184453129768372,0.5178571343421936,0.5139825940132141
1,1,0.4821428656578064,0.48327428102493286,0.6939364671707153,0.4779813289642334,0.4826470613479614,0.48327428102493286,0.4774264693260193,,,,,,,
2,2,,,,,,,,0.535714328289032,0.5357142686843872,0.6928991675376892,0.5303226113319397,0.5374331474304199,0.5357142686843872,0.5303226113319397
2,2,0.5,0.5009213089942932,0.6938731074333191,0.49743586778640747,0.5009437799453735,0.5009213089942932,0.4970085024833679,,,,,,,
3,3,,,,,,,,0.535714328289032,0.5357142686843872,0.6929259300231934,0.5303226113319397,0.5374331474304199,0.5357142686843872,0.5303226113319397
3,3,0.5059524178504944,0.5068036913871765,0.693809986114502,0.5038251876831055,0.5069444179534912,0.5068036913871765,0.5034384727478027,,,,,,,
4,4,,,,,,,,0.535714328289032,0.5357142686843872,0.6929525136947632,0.5303226113319397,0.5374331474304199,0.5357142686843872,0.5303226113319397
4,4,0.5059524178504944,0.5068036913871765,0.6937470436096191,0.5038251876831055,0.5069444179534912,0.5068036913871765,0.5034384727478027,,,,,,,
5,5,,,,,,,,0.5178571939468384,0.5178571343421936,0.6929792761802673,0.5139825940132141,0.5184453129768372,0.5178571343421936,0.5139825940132141
5,5,0.5059524178504944,0.5066619515419006,0.6936840415000916,0.5045304298400879,0.5067567825317383,0.5066619515419006,0.5042144060134888,,,,,,,
6,6,,,,,,,,0.5178571939468384,0.5178571343421936,0.6930063366889954,0.5139825940132141,0.5184453129768372,0.5178571343421936,0.5139825940132141
6,6,0.5,0.5006378293037415,0.6936211585998535,0.4988636374473572,0.5006451606750488,0.5006378293037415,0.49857956171035767,,,,,,,
7,7,,,,,,,,0.5178571939468384,0.5178571343421936,0.6930333375930786,0.5139825940132141,0.5184453129768372,0.5178571343421936,0.5139825940132141
7,7,0.494047611951828,0.49461376667022705,0.6935585737228394,0.4931676983833313,0.4945652186870575,0.49461376667022705,0.4929162859916687,,,,,,,
8,8,,,,,,,,0.535714328289032,0.5357142686843872,0.6930605173110962,0.5333333015441895,0.5364583730697632,0.5357142686843872,0.5333333015441895
8,8,0.5,0.5006378293037415,0.6934961080551147,0.4988636374473572,0.5006451606750488,0.5006378293037415,0.49857956171035767,,,,,,,
9,9,,,,,,,,0.5178571939468384,0.5178571343421936,0.6930878758430481,0.5164694786071777,0.5180644989013672,0.5178571343421936,0.5164694786071777
9,9,0.5178571343421936,0.5185683965682983,0.6934336423873901,0.516469419002533,0.5188326835632324,0.5185683965682983,0.5161610841751099,,,,,,,
10,10,,,,,,,,0.5,0.5,0.6931151151657104,0.49936139583587646,0.5,0.5,0.49936139583587646
10,10,0.511904776096344,0.5125442743301392,0.6933714747428894,0.5107954144477844,0.512688159942627,0.5125442743301392,0.5105181336402893,,,,,,,
11,11,,,,,,,,0.4821428656578064,0.4821428656578064,0.6931427121162415,0.481977641582489,0.4821200370788574,0.4821428656578064,0.481977641582489
11,11,0.511904776096344,0.5125442743301392,0.6933093070983887,0.5107954144477844,0.512688159942627,0.5125442743301392,0.5105181336402893,,,,,,,
12,12,,,,,,,,0.5,0.5,0.6931703686714172,0.5,0.5,0.5,0.5
12,12,0.511904776096344,0.5125442743301392,0.6932474970817566,0.5107954144477844,0.512688159942627,0.5125442743301392,0.5105181336402893,,,,,,,
13,13,,,,,,,,0.5,0.5,0.693198025226593,0.5,0.5,0.5,0.5
13,13,0.5178571343421936,0.5185683965682983,0.6931856274604797,0.516469419002533,0.5188326835632324,0.5185683965682983,0.5161610841751099,,,,,,,
14,14,,,,,,,,0.5,0.5,0.6932257413864136,0.5,0.5,0.5,0.5
14,14,0.5178571343421936,0.5184266567230225,0.6931239366531372,0.5170186161994934,0.5185927152633667,0.5184266567230225,0.5167790651321411,,,,,,,
15,15,,,,,,,,0.5,0.5,0.6932535171508789,0.5,0.5,0.5,0.5
15,15,0.5059524178504944,0.5065202116966248,0.693062424659729,0.5050931572914124,0.5065789222717285,0.5065202116966248,0.5048477053642273,,,,,,,
