epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,69,,,,,,,,0.9986429214477539,0.9985643625259399,0.0265467781573534,0.9986141324043274,0.9986640214920044,0.9985643625259399,0.9986429214477539
0,69,0.9852696061134338,0.9850707650184631,0.031139086931943893,0.9849621057510376,0.9848545789718628,0.9850707650184631,0.9852713346481323,,,,,,,
1,139,,,,,,,,0.9992366433143616,0.9991083741188049,0.022145146504044533,0.9992203712463379,0.9993335008621216,0.9991083741188049,0.9992365837097168
1,139,0.9996607303619385,0.9996618628501892,0.0010383434128016233,0.9996535778045654,0.9996452331542969,0.9996618628501892,0.9996607303619385,,,,,,,
2,209,,,,,,,,0.9991518259048462,0.9990591406822205,0.020748207345604897,0.999133825302124,0.999208927154541,0.9990591406822205,0.9991518259048462
2,209,0.9999717473983765,0.9999669790267944,7.208478200482205e-05,0.9999711513519287,0.999975323677063,0.9999669790267944,0.9999717473983765,,,,,,,
3,279,,,,,,,,0.9991518259048462,0.9990342259407043,0.021612895652651787,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
3,279,1.0,1.0,7.396925411740085e-06,1.0,1.0,1.0,1.0,,,,,,,
4,349,,,,,,,,0.9991518259048462,0.9990342259407043,0.021414805203676224,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
4,349,1.0,1.0,8.208301665035833e-07,1.0,1.0,1.0,1.0,,,,,,,
5,419,,,,,,,,0.9991518259048462,0.9990342259407043,0.021206894889473915,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
5,419,1.0,1.0,7.239800083880255e-07,1.0,1.0,1.0,1.0,,,,,,,
6,489,,,,,,,,0.9991518259048462,0.9990342259407043,0.021020490676164627,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
6,489,1.0,1.0,6.630957614106592e-07,1.0,1.0,1.0,1.0,,,,,,,
7,559,,,,,,,,0.9991518259048462,0.9990342259407043,0.02084912359714508,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
7,559,1.0,1.0,6.217205736902542e-07,1.0,1.0,1.0,1.0,,,,,,,
8,629,,,,,,,,0.9991518259048462,0.9990342259407043,0.020678285509347916,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
8,629,1.0,1.0,5.89275998663652e-07,1.0,1.0,1.0,1.0,,,,,,,
9,699,,,,,,,,0.9991518259048462,0.9990342259407043,0.02052360028028488,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
9,699,1.0,1.0,5.621568561764434e-07,1.0,1.0,1.0,1.0,,,,,,,
10,769,,,,,,,,0.9991518259048462,0.9990342259407043,0.020368754863739014,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
10,769,1.0,1.0,5.361948751669843e-07,1.0,1.0,1.0,1.0,,,,,,,
11,839,,,,,,,,0.9991518259048462,0.9990342259407043,0.020215243101119995,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
11,839,1.0,1.0,5.308147592586465e-07,1.0,1.0,1.0,1.0,,,,,,,
12,909,,,,,,,,0.9991518259048462,0.9990342259407043,0.02008536085486412,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
12,909,1.0,1.0,5.12999747570575e-07,1.0,1.0,1.0,1.0,,,,,,,
13,979,,,,,,,,0.9991518259048462,0.9990342259407043,0.019924120977520943,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
13,979,1.0,1.0,4.862733931076946e-07,1.0,1.0,1.0,1.0,,,,,,,
14,1049,,,,,,,,0.9991518259048462,0.9990342259407043,0.019776754081249237,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
14,1049,1.0,1.0,4.7235556621672004e-07,1.0,1.0,1.0,1.0,,,,,,,
15,1119,,,,,,,,0.9991518259048462,0.9990342259407043,0.019630197435617447,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
15,1119,1.0,1.0,4.6045164481256506e-07,1.0,1.0,1.0,1.0,,,,,,,
16,1189,,,,,,,,0.9991518259048462,0.9990342259407043,0.0194832906126976,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
16,1189,1.0,1.0,4.5194809672466363e-07,1.0,1.0,1.0,1.0,,,,,,,
17,1259,,,,,,,,0.9991518259048462,0.9990342259407043,0.019331494346261024,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
17,1259,1.0,1.0,4.454714712665009e-07,1.0,1.0,1.0,1.0,,,,,,,
18,1329,,,,,,,,0.9991518259048462,0.9990342259407043,0.01918608509004116,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
18,1329,1.0,1.0,4.2921897147607524e-07,1.0,1.0,1.0,1.0,,,,,,,
19,1399,,,,,,,,0.9991518259048462,0.9990342259407043,0.019067734479904175,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
19,1399,1.0,1.0,4.180302255463175e-07,1.0,1.0,1.0,1.0,,,,,,,
20,1469,,,,,,,,0.9991518259048462,0.9990342259407043,0.018914781510829926,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
20,1469,1.0,1.0,4.152004748902982e-07,1.0,1.0,1.0,1.0,,,,,,,
21,1539,,,,,,,,0.9991518259048462,0.9990342259407043,0.01877307891845703,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
21,1539,1.0,1.0,4.099911166122183e-07,1.0,1.0,1.0,1.0,,,,,,,
22,1609,,,,,,,,0.9991518259048462,0.9990342259407043,0.018629686906933784,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
22,1609,1.0,1.0,3.962807397783763e-07,1.0,1.0,1.0,1.0,,,,,,,
23,1679,,,,,,,,0.9991518259048462,0.9990342259407043,0.018485771492123604,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
23,1679,1.0,1.0,3.926353713268327e-07,1.0,1.0,1.0,1.0,,,,,,,
24,1749,,,,,,,,0.9991518259048462,0.9990342259407043,0.01833919994533062,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
24,1749,1.0,1.0,3.8501838162119384e-07,1.0,1.0,1.0,1.0,,,,,,,
25,1819,,,,,,,,0.9991518259048462,0.9990342259407043,0.018196772783994675,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
25,1819,1.0,1.0,3.804912864779908e-07,1.0,1.0,1.0,1.0,,,,,,,
26,1889,,,,,,,,0.9991518259048462,0.9990342259407043,0.01805456355214119,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
26,1889,1.0,1.0,3.7109862205397803e-07,1.0,1.0,1.0,1.0,,,,,,,
27,1959,,,,,,,,0.9991518259048462,0.9990342259407043,0.017922431230545044,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
27,1959,1.0,1.0,3.690317385007802e-07,1.0,1.0,1.0,1.0,,,,,,,
28,2029,,,,,,,,0.9991518259048462,0.9990342259407043,0.0178055539727211,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
28,2029,1.0,1.0,3.607207759159792e-07,1.0,1.0,1.0,1.0,,,,,,,
29,2099,,,,,,,,0.9991518259048462,0.9990342259407043,0.017733218148350716,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
29,2099,1.0,1.0,3.507951760184369e-07,1.0,1.0,1.0,1.0,,,,,,,
30,2169,,,,,,,,0.9991518259048462,0.9990342259407043,0.017546312883496284,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
30,2169,1.0,1.0,3.44737202340184e-07,1.0,1.0,1.0,1.0,,,,,,,
31,2239,,,,,,,,0.9991518259048462,0.9990342259407043,0.017400218173861504,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
31,2239,1.0,1.0,3.437890256918763e-07,1.0,1.0,1.0,1.0,,,,,,,
32,2309,,,,,,,,0.9992366433143616,0.999133288860321,0.017243633046746254,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
32,2309,1.0,1.0,3.3236412377846136e-07,1.0,1.0,1.0,1.0,,,,,,,
33,2379,,,,,,,,0.9992366433143616,0.999133288860321,0.01709871180355549,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
33,2379,1.0,1.0,3.3100891982940084e-07,1.0,1.0,1.0,1.0,,,,,,,
34,2449,,,,,,,,0.9992366433143616,0.999133288860321,0.016961093991994858,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
34,2449,1.0,1.0,3.2633948876537033e-07,1.0,1.0,1.0,1.0,,,,,,,
35,2519,,,,,,,,0.9992366433143616,0.999133288860321,0.016835501417517662,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
35,2519,1.0,1.0,3.2007437766878866e-07,1.0,1.0,1.0,1.0,,,,,,,
36,2589,,,,,,,,0.9992366433143616,0.999133288860321,0.016693472862243652,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
36,2589,1.0,1.0,3.170871423208155e-07,1.0,1.0,1.0,1.0,,,,,,,
37,2659,,,,,,,,0.9992366433143616,0.999133288860321,0.016549356281757355,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
37,2659,1.0,1.0,3.119501457149454e-07,1.0,1.0,1.0,1.0,,,,,,,
38,2729,,,,,,,,0.9992366433143616,0.999133288860321,0.01641187258064747,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
38,2729,1.0,1.0,3.064099587390956e-07,1.0,1.0,1.0,1.0,,,,,,,
39,2799,,,,,,,,0.9992366433143616,0.999133288860321,0.016278881579637527,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
39,2799,1.0,1.0,3.068157639063429e-07,1.0,1.0,1.0,1.0,,,,,,,
40,2869,,,,,,,,0.9992366433143616,0.999133288860321,0.016126645728945732,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
40,2869,1.0,1.0,3.0157428909660666e-07,1.0,1.0,1.0,1.0,,,,,,,
41,2939,,,,,,,,0.9992366433143616,0.999133288860321,0.01600053906440735,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
41,2939,1.0,1.0,2.9857133654331847e-07,1.0,1.0,1.0,1.0,,,,,,,
42,3009,,,,,,,,0.9992366433143616,0.999133288860321,0.015879526734352112,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
42,3009,1.0,1.0,2.9554396974162955e-07,1.0,1.0,1.0,1.0,,,,,,,
43,3079,,,,,,,,0.9992366433143616,0.999133288860321,0.01572236977517605,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
43,3079,1.0,1.0,2.9241545007607783e-07,1.0,1.0,1.0,1.0,,,,,,,
44,3149,,,,,,,,0.9992366433143616,0.999133288860321,0.015600431710481644,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
44,3149,1.0,1.0,2.896268256336043e-07,1.0,1.0,1.0,1.0,,,,,,,
45,3219,,,,,,,,0.9992366433143616,0.999133288860321,0.015477504581212997,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
45,3219,1.0,1.0,2.9257148526085075e-07,1.0,1.0,1.0,1.0,,,,,,,
46,3289,,,,,,,,0.9992366433143616,0.999133288860321,0.015331998467445374,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
46,3289,1.0,1.0,2.82716314359277e-07,1.0,1.0,1.0,1.0,,,,,,,
47,3359,,,,,,,,0.9992366433143616,0.999133288860321,0.015207055024802685,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
47,3359,1.0,1.0,2.798362856992753e-07,1.0,1.0,1.0,1.0,,,,,,,
48,3429,,,,,,,,0.9992366433143616,0.999133288860321,0.015058040618896484,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
48,3429,1.0,1.0,2.7713201689039124e-07,1.0,1.0,1.0,1.0,,,,,,,
49,3499,,,,,,,,0.9992366433143616,0.999133288860321,0.014935726299881935,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
49,3499,1.0,1.0,2.730827759478416e-07,1.0,1.0,1.0,1.0,,,,,,,
50,3569,,,,,,,,0.9992366433143616,0.999133288860321,0.014809747226536274,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
50,3569,1.0,1.0,2.698794219213596e-07,1.0,1.0,1.0,1.0,,,,,,,
51,3639,,,,,,,,0.9992366433143616,0.999133288860321,0.014757983386516571,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
51,3639,1.0,1.0,2.797285674205341e-07,1.0,1.0,1.0,1.0,,,,,,,
52,3709,,,,,,,,0.9992366433143616,0.999133288860321,0.014557033777236938,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
52,3709,1.0,1.0,2.6419547793921083e-07,1.0,1.0,1.0,1.0,,,,,,,
53,3779,,,,,,,,0.9992366433143616,0.999133288860321,0.014395887032151222,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
53,3779,1.0,1.0,2.5592325414436345e-07,1.0,1.0,1.0,1.0,,,,,,,
54,3849,,,,,,,,0.9992366433143616,0.999133288860321,0.014258471317589283,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
54,3849,1.0,1.0,2.526600155761116e-07,1.0,1.0,1.0,1.0,,,,,,,
55,3919,,,,,,,,0.9992366433143616,0.999133288860321,0.01416984386742115,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
55,3919,1.0,1.0,2.514809125386819e-07,1.0,1.0,1.0,1.0,,,,,,,
56,3989,,,,,,,,0.9992366433143616,0.999133288860321,0.014019959606230259,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
56,3989,1.0,1.0,2.4706778845029476e-07,1.0,1.0,1.0,1.0,,,,,,,
57,4059,,,,,,,,0.9992366433143616,0.999133288860321,0.013893520459532738,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
57,4059,1.0,1.0,2.46378135670966e-07,1.0,1.0,1.0,1.0,,,,,,,
58,4129,,,,,,,,0.9992366433143616,0.999133288860321,0.013797239400446415,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
58,4129,1.0,1.0,2.4551843580411514e-07,1.0,1.0,1.0,1.0,,,,,,,
59,4199,,,,,,,,0.9992366433143616,0.999133288860321,0.013657174073159695,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
59,4199,1.0,1.0,2.425374816539261e-07,1.0,1.0,1.0,1.0,,,,,,,
