epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.4000000059604645,0.625,0.7127615809440613,0.4000000059604645,0.625,0.625,0.3999999761581421
0,0,0.1666666716337204,0.1875,0.7279141545295715,0.1666666716337204,0.1875,0.1875,0.1666666716337204,,,,,,,
1,1,,,,,,,,0.4000000059604645,0.625,0.7112434506416321,0.4000000059604645,0.625,0.625,0.3999999761581421
1,1,0.1666666716337204,0.1875,0.7258810997009277,0.1666666716337204,0.1875,0.1875,0.1666666716337204,,,,,,,
2,2,,,,,,,,0.4000000059604645,0.625,0.709735631942749,0.4000000059604645,0.625,0.625,0.3999999761581421
2,2,0.1666666716337204,0.1875,0.7238562107086182,0.1666666716337204,0.1875,0.1875,0.1666666716337204,,,,,,,
3,3,,,,,,,,0.6000000238418579,0.75,0.7082411050796509,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
3,3,0.1666666716337204,0.1875,0.7218394875526428,0.1666666716337204,0.1875,0.1875,0.1666666716337204,,,,,,,
4,4,,,,,,,,0.6000000238418579,0.75,0.7067635655403137,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
4,4,0.25,0.25,0.7198310494422913,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
5,5,,,,,,,,0.6000000238418579,0.75,0.7053069472312927,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
5,5,0.25,0.25,0.7178309559822083,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
6,6,,,,,,,,0.6000000238418579,0.75,0.7038739919662476,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
6,6,0.25,0.25,0.7158392071723938,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
7,7,,,,,,,,0.6000000238418579,0.75,0.7024646997451782,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
7,7,0.25,0.25,0.7138559222221375,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
8,8,,,,,,,,0.6000000238418579,0.75,0.7010781764984131,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
8,8,0.25,0.25,0.7118807435035706,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
9,9,,,,,,,,0.6000000238418579,0.75,0.6997133493423462,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
9,9,0.25,0.25,0.7099142670631409,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
10,10,,,,,,,,0.6000000238418579,0.75,0.6983697414398193,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
10,10,0.25,0.25,0.7079560160636902,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
11,11,,,,,,,,0.6000000238418579,0.75,0.697047233581543,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
11,11,0.25,0.25,0.7060060501098633,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
12,12,,,,,,,,0.6000000238418579,0.75,0.6957460641860962,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
12,12,0.25,0.25,0.7040645480155945,0.24475525319576263,0.27142858505249023,0.25,0.2657342553138733,,,,,,,
13,13,,,,,,,,0.6000000238418579,0.75,0.6944664716720581,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
13,13,0.3333333432674408,0.3125,0.7021312713623047,0.3142857253551483,0.3333333432674408,0.3125,0.3523809611797333,,,,,,,
14,14,,,,,,,,0.6000000238418579,0.75,0.6932085752487183,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
14,14,0.3333333432674408,0.3125,0.700206458568573,0.3142857253551483,0.3333333432674408,0.3125,0.3523809611797333,,,,,,,
15,15,,,,,,,,0.6000000238418579,0.75,0.6919723749160767,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
15,15,0.3333333432674408,0.3125,0.6982898116111755,0.3142857253551483,0.3333333432674408,0.3125,0.3523809611797333,,,,,,,
16,16,,,,,,,,0.6000000238418579,0.75,0.6907581090927124,0.5833333730697632,0.6666666865348816,0.75,0.6333333849906921
16,16,0.5,0.5,0.6963813900947571,0.48571425676345825,0.5,0.5,0.514285683631897,,,,,,,
17,17,,,,,,,,0.800000011920929,0.875,0.6895651817321777,0.761904776096344,0.75,0.875,0.8190476298332214
17,17,0.5833333730697632,0.5625,0.6944811344146729,0.5555555820465088,0.5571428537368774,0.5625,0.5925925970077515,,,,,,,
18,18,,,,,,,,0.800000011920929,0.875,0.6883934736251831,0.761904776096344,0.75,0.875,0.8190476298332214
18,18,0.6666666865348816,0.625,0.6925891041755676,0.625,0.625,0.625,0.6666666865348816,,,,,,,
19,19,,,,,,,,0.800000011920929,0.875,0.6872422099113464,0.761904776096344,0.75,0.875,0.8190476298332214
19,19,0.6666666865348816,0.625,0.6907051205635071,0.625,0.625,0.625,0.6666666865348816,,,,,,,
20,20,,,,,,,,0.6000000238418579,0.375,0.6861110329627991,0.375,0.375,0.375,0.6000000238418579
20,20,0.6666666865348816,0.625,0.6888291835784912,0.625,0.625,0.625,0.6666666865348816,,,,,,,
21,21,,,,,,,,0.6000000238418579,0.375,0.6849988698959351,0.375,0.375,0.375,0.6000000238418579
21,21,0.6666666865348816,0.625,0.6869612336158752,0.625,0.625,0.625,0.6666666865348816,,,,,,,
22,22,,,,,,,,0.6000000238418579,0.375,0.6839050650596619,0.375,0.375,0.375,0.6000000238418579
22,22,0.6666666865348816,0.625,0.6851014494895935,0.625,0.625,0.625,0.6666666865348816,,,,,,,
23,23,,,,,,,,0.6000000238418579,0.375,0.6828287839889526,0.375,0.375,0.375,0.6000000238418579
23,23,0.6666666865348816,0.625,0.6832494735717773,0.625,0.625,0.625,0.6666666865348816,,,,,,,
24,24,,,,,,,,0.6000000238418579,0.375,0.6817690134048462,0.375,0.375,0.375,0.6000000238418579
24,24,0.6666666865348816,0.625,0.6814053654670715,0.625,0.625,0.625,0.6666666865348816,,,,,,,
25,25,,,,,,,,0.6000000238418579,0.375,0.6807247996330261,0.375,0.375,0.375,0.6000000238418579
25,25,0.6666666865348816,0.625,0.6795694231987,0.625,0.625,0.625,0.6666666865348816,,,,,,,
26,26,,,,,,,,0.6000000238418579,0.375,0.6796953082084656,0.375,0.375,0.375,0.6000000238418579
26,26,0.6666666865348816,0.625,0.6777411103248596,0.625,0.625,0.625,0.6666666865348816,,,,,,,
27,27,,,,,,,,0.6000000238418579,0.375,0.6786794662475586,0.375,0.375,0.375,0.6000000238418579
27,27,0.6666666865348816,0.625,0.6759207844734192,0.625,0.625,0.625,0.6666666865348816,,,,,,,
28,28,,,,,,,,0.6000000238418579,0.375,0.6776765584945679,0.375,0.375,0.375,0.6000000238418579
28,28,0.75,0.6875,0.6741083264350891,0.6974790096282959,0.7222222089767456,0.6875,0.7394958138465881,,,,,,,
29,29,,,,,,,,0.6000000238418579,0.375,0.6766855120658875,0.375,0.375,0.375,0.6000000238418579
29,29,0.8333333134651184,0.75,0.6723036766052246,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
30,30,,,,,,,,0.6000000238418579,0.375,0.6757055521011353,0.375,0.375,0.375,0.6000000238418579
30,30,0.8333333134651184,0.75,0.6705067753791809,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
31,31,,,,,,,,0.6000000238418579,0.375,0.6747358441352844,0.375,0.375,0.375,0.6000000238418579
31,31,0.8333333134651184,0.75,0.6687178015708923,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
32,32,,,,,,,,0.6000000238418579,0.375,0.6737754940986633,0.375,0.375,0.375,0.6000000238418579
32,32,0.8333333134651184,0.75,0.6669363975524902,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
33,33,,,,,,,,0.6000000238418579,0.375,0.6728239059448242,0.375,0.375,0.375,0.6000000238418579
33,33,0.8333333134651184,0.75,0.6651628017425537,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
34,34,,,,,,,,0.6000000238418579,0.375,0.6718803644180298,0.375,0.375,0.375,0.6000000238418579
34,34,0.8333333134651184,0.75,0.6633970141410828,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
35,35,,,,,,,,0.6000000238418579,0.375,0.670944333076477,0.375,0.375,0.375,0.6000000238418579
35,35,0.8333333134651184,0.75,0.6616387367248535,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
36,36,,,,,,,,0.6000000238418579,0.375,0.6700150966644287,0.375,0.375,0.375,0.6000000238418579
36,36,0.8333333134651184,0.75,0.6598882675170898,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
37,37,,,,,,,,0.6000000238418579,0.375,0.6690922975540161,0.375,0.375,0.375,0.6000000238418579
37,37,0.8333333134651184,0.75,0.6581454873085022,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
38,38,,,,,,,,0.6000000238418579,0.375,0.6681755781173706,0.375,0.375,0.375,0.6000000238418579
38,38,0.8333333134651184,0.75,0.6564102172851562,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
39,39,,,,,,,,0.6000000238418579,0.375,0.6672645211219788,0.375,0.375,0.375,0.6000000238418579
39,39,0.8333333134651184,0.75,0.6546825766563416,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
40,40,,,,,,,,0.6000000238418579,0.375,0.6663588285446167,0.375,0.375,0.375,0.6000000238418579
40,40,0.8333333134651184,0.75,0.6529625058174133,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
41,41,,,,,,,,0.6000000238418579,0.375,0.6654583811759949,0.375,0.375,0.375,0.6000000238418579
41,41,0.8333333134651184,0.75,0.6512500643730164,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
42,42,,,,,,,,0.6000000238418579,0.375,0.6645629405975342,0.375,0.375,0.375,0.6000000238418579
42,42,0.8333333134651184,0.75,0.6495451927185059,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
