epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,71,,,,,,,,0.7924590110778809,0.5,0.5562982559204102,0.4421072006225586,0.39622950553894043,0.5,0.7007036209106445
0,71,0.7819250226020813,0.5021612644195557,0.6205745935440063,0.46018558740615845,0.5177613496780396,0.5021612644195557,0.703944742679596,,,,,,,
1,143,,,,,,,,0.7924590110778809,0.5,0.47654736042022705,0.4421072006225586,0.39622950553894043,0.5,0.7007036209106445
1,143,0.7924533486366272,0.5,0.5145179629325867,0.4421054422855377,0.3962266743183136,0.5,0.7006958723068237,,,,,,,
2,215,,,,,,,,0.8188198804855347,0.5687321424484253,0.42431238293647766,0.570726752281189,0.8623406291007996,0.5687321424484253,0.7616105675697327
2,215,0.8019750714302063,0.5269538760185242,0.4503670930862427,0.4974869191646576,0.8202965259552002,0.5269538760185242,0.7262813448905945,,,,,,,
3,287,,,,,,,,0.8448542952537537,0.6394352316856384,0.3861032724380493,0.6727369427680969,0.8655970096588135,0.6394352316856384,0.811558187007904
3,287,0.8249632716178894,0.5874139666557312,0.40600287914276123,0.6003074645996094,0.8514111042022705,0.5874139666557312,0.7755777835845947,,,,,,,
4,359,,,,,,,,0.8446910977363586,0.6425250172615051,0.3560723662376404,0.6761032342910767,0.8553698658943176,0.6425250172615051,0.812785267829895
4,359,0.8477338552474976,0.6491879224777222,0.372201532125473,0.6846213340759277,0.8612715005874634,0.6491879224777222,0.8172832727432251,,,,,,,
5,431,,,,,,,,0.8638700842857361,0.6914876103401184,0.33149635791778564,0.7336808443069458,0.8723454475402832,0.6914876103401184,0.8425948619842529
5,431,0.8553784489631653,0.6711358428001404,0.34498515725135803,0.710396409034729,0.8622623682022095,0.6711358428001404,0.8302484750747681,,,,,,,
6,503,,,,,,,,0.8903942108154297,0.7556787729263306,0.3108597993850708,0.7999817132949829,0.8978261947631836,0.7556787729263306,0.8786399364471436
6,503,0.8807334303855896,0.7339116334915161,0.32233619689941406,0.7779885530471802,0.8863208293914795,0.7339116334915161,0.8663278818130493,,,,,,,
7,575,,,,,,,,0.9028809070587158,0.7931627035140991,0.2932199239730835,0.8312526941299438,0.8982159495353699,0.7931627035140991,0.8955592513084412
