epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,1.0,1.0,0.6874069571495056,1.0,1.0,1.0,1.0
0,0,0.6666666865348816,0.6666666865348816,0.6884786486625671,0.625,0.800000011920929,0.6666666865348816,0.625,,,,,,,
1,1,,,,,,,,1.0,1.0,0.6871407628059387,1.0,1.0,1.0,1.0
1,1,0.6666666865348816,0.6666666865348816,0.6882460117340088,0.625,0.800000011920929,0.6666666865348816,0.625,,,,,,,
2,2,,,,,,,,1.0,1.0,0.6868746876716614,1.0,1.0,1.0,1.0
2,2,0.6666666865348816,0.6666666865348816,0.68801349401474,0.625,0.800000011920929,0.6666666865348816,0.625,,,,,,,
3,3,,,,,,,,1.0,1.0,0.6866087913513184,1.0,1.0,1.0,1.0
3,3,0.6666666865348816,0.6666666865348816,0.6877810955047607,0.625,0.800000011920929,0.6666666865348816,0.625,,,,,,,
4,4,,,,,,,,1.0,1.0,0.6863430142402649,1.0,1.0,1.0,1.0
4,4,0.6666666865348816,0.6666666865348816,0.6875486373901367,0.625,0.800000011920929,0.6666666865348816,0.625,,,,,,,
5,5,,,,,,,,1.0,1.0,0.6860775351524353,1.0,1.0,1.0,1.0
5,5,0.8333333134651184,0.8333333730697632,0.6873164772987366,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
6,6,,,,,,,,1.0,1.0,0.6858121752738953,1.0,1.0,1.0,1.0
6,6,0.8333333134651184,0.8333333730697632,0.6870841979980469,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
7,7,,,,,,,,1.0,1.0,0.6855469346046448,1.0,1.0,1.0,1.0
7,7,0.8333333134651184,0.8333333730697632,0.686851978302002,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
8,8,,,,,,,,1.0,1.0,0.6852819323539734,1.0,1.0,1.0,1.0
8,8,0.8333333134651184,0.8333333730697632,0.6866199374198914,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
9,9,,,,,,,,1.0,1.0,0.6850171089172363,1.0,1.0,1.0,1.0
9,9,0.8333333134651184,0.8333333730697632,0.6863879561424255,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
10,10,,,,,,,,1.0,1.0,0.6847524642944336,1.0,1.0,1.0,1.0
10,10,0.8333333134651184,0.8333333730697632,0.6861560344696045,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
11,11,,,,,,,,1.0,1.0,0.6844881176948547,1.0,1.0,1.0,1.0
11,11,0.8333333134651184,0.8333333730697632,0.6859241127967834,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
12,12,,,,,,,,1.0,1.0,0.6842239499092102,1.0,1.0,1.0,1.0
12,12,0.8333333134651184,0.8333333730697632,0.6856923699378967,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
13,13,,,,,,,,1.0,1.0,0.6839600205421448,1.0,1.0,1.0,1.0
13,13,0.8333333134651184,0.8333333730697632,0.68546062707901,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
14,14,,,,,,,,1.0,1.0,0.6836962699890137,1.0,1.0,1.0,1.0
14,14,0.8333333134651184,0.8333333730697632,0.6852290034294128,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
15,15,,,,,,,,1.0,1.0,0.6834327578544617,1.0,1.0,1.0,1.0
15,15,0.8333333134651184,0.8333333730697632,0.6849973797798157,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
16,16,,,,,,,,1.0,1.0,0.6831695437431335,1.0,1.0,1.0,1.0
16,16,0.8333333134651184,0.8333333730697632,0.6847659945487976,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
17,17,,,,,,,,1.0,1.0,0.682906448841095,1.0,1.0,1.0,1.0
17,17,0.8333333134651184,0.8333333730697632,0.6845345497131348,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
18,18,,,,,,,,1.0,1.0,0.682643711566925,1.0,1.0,1.0,1.0
18,18,0.8333333134651184,0.8333333730697632,0.6843032836914062,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
19,19,,,,,,,,1.0,1.0,0.6823811531066895,1.0,1.0,1.0,1.0
19,19,0.8333333134651184,0.8333333730697632,0.6840720176696777,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
20,20,,,,,,,,1.0,1.0,0.6821188926696777,1.0,1.0,1.0,1.0
20,20,0.8333333134651184,0.8333333730697632,0.6838409304618835,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
21,21,,,,,,,,1.0,1.0,0.6818568706512451,1.0,1.0,1.0,1.0
21,21,0.8333333134651184,0.8333333730697632,0.6836097836494446,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
22,22,,,,,,,,1.0,1.0,0.6815950870513916,1.0,1.0,1.0,1.0
22,22,0.8333333134651184,0.8333333730697632,0.6833788752555847,0.8285714387893677,0.875,0.8333333730697632,0.8285714387893677,,,,,,,
