epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,9,,,,,,,,,,,,,,,0.9906250238418579,0.9302325248718262,0.050428878515958786,0.9600000381469727,0.9950249195098877,0.9302325248718262,0.9902969002723694
0,9,,,,,,,,0.938671886920929,0.5327380895614624,0.22036638855934143,0.5455650687217712,0.9692035913467407,0.5327380895614624,0.9127509593963623,,,,,,,
1,19,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.012407686561346054,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
1,19,,,,,,,,0.9964843988418579,0.9815157651901245,0.022602908313274384,0.9855464696884155,0.9896564483642578,0.9815157651901245,0.9964696168899536,,,,,,,
2,29,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.009105713106691837,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
2,29,,,,,,,,0.9996093511581421,0.9970238208770752,0.00034768303157761693,0.9984029531478882,0.9997910261154175,0.9970238208770752,0.9996088743209839,,,,,,,
3,39,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.016856160014867783,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
3,39,,,,,,,,1.0,1.0,1.2174159564892761e-05,1.0,1.0,1.0,1.0,,,,,,,
4,49,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.029205430299043655,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
4,49,,,,,,,,1.0,1.0,3.555739738203556e-07,1.0,1.0,1.0,1.0,,,,,,,
5,59,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.03316844254732132,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
5,59,,,,,,,,1.0,1.0,1.1827759216487266e-08,1.0,1.0,1.0,1.0,,,,,,,
6,69,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.034416258335113525,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
6,69,,,,,,,,1.0,1.0,7.916239330718611e-10,1.0,1.0,1.0,1.0,,,,,,,
7,79,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.03475756198167801,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
7,79,,,,,,,,1.0,1.0,1.8626448994307765e-10,1.0,1.0,1.0,1.0,,,,,,,
8,89,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.03476127237081528,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
8,89,,,,,,,,1.0,1.0,9.313225191043273e-11,1.0,1.0,1.0,1.0,,,,,,,
9,99,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.03465002402663231,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
9,99,,,,,,,,1.0,1.0,9.313225191043273e-11,1.0,1.0,1.0,1.0,,,,,,,
10,109,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.034499865025281906,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
10,109,,,,,,,,1.0,1.0,9.313225191043273e-11,1.0,1.0,1.0,1.0,,,,,,,
11,119,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.03433265537023544,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
11,119,,,,,,,,1.0,1.0,9.313225191043273e-11,1.0,1.0,1.0,1.0,,,,,,,
12,129,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.0341605469584465,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
12,129,,,,,,,,1.0,1.0,9.313225191043273e-11,1.0,1.0,1.0,1.0,,,,,,,
13,139,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.03398768976330757,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
13,139,,,,,,,,1.0,1.0,9.313225191043273e-11,1.0,1.0,1.0,1.0,,,,,,,
14,149,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.033813752233982086,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
14,149,,,,,,,,1.0,1.0,1.396983778656491e-10,1.0,1.0,1.0,1.0,,,,,,,
15,159,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.03363875672221184,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
15,159,,,,,,,,1.0,1.0,1.8626448994307765e-10,1.0,1.0,1.0,1.0,,,,,,,
16,169,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.033464375883340836,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
16,169,,,,,,,,1.0,1.0,1.8626448994307765e-10,1.0,1.0,1.0,1.0,,,,,,,
17,179,,,,,,,,,,,,,,,0.9984375238418579,0.9883720874786377,0.0332900770008564,0.9936991930007935,0.9991638660430908,0.9883720874786377,0.998429000377655
17,179,,,,,,,,1.0,1.0,1.8626448994307765e-10,1.0,1.0,1.0,1.0,,,,,,,
18,180,0.9987499713897705,0.9905660152435303,0.0072835832834243774,0.9949036836624146,0.9993315935134888,0.9905660152435303,0.9987444281578064,,,,,,,,,,,,,,
