epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.8125,0.5,0.6851009726524353,0.4482758641242981,0.40625,0.5,0.7284482717514038
0,0,,,,,,,,0.60317462682724,0.4642857313156128,0.6886168122291565,0.4400995373725891,0.4844789505004883,0.4642857313156128,0.6751194596290588,,,,,,,
1,1,,,,,,,,,,,,,,,0.8125,0.5,0.6818532347679138,0.4482758641242981,0.40625,0.5,0.7284482717514038
1,1,,,,,,,,0.7698413133621216,0.5267857313156128,0.6831059455871582,0.5188940167427063,0.5190476179122925,0.5267857313156128,0.7891448736190796,,,,,,,
2,2,,,,,,,,,,,,,,,0.8125,0.5,0.6786260604858398,0.4482758641242981,0.40625,0.5,0.7284482717514038
2,2,,,,,,,,0.8253968954086304,0.5580357313156128,0.6800940632820129,0.5580357313156128,0.5580357313156128,0.5580357313156128,0.8253968358039856,,,,,,,
3,3,,,,,,,,,,,,,,,0.8125,0.5,0.6754007339477539,0.4482758641242981,0.40625,0.5,0.7284482717514038
3,3,,,,,,,,0.8333333730697632,0.46875,0.6753892302513123,0.4545454680919647,0.44117647409439087,0.46875,0.8080808520317078,,,,,,,
4,4,,,,,,,,,,,,,,,0.8125,0.5,0.6721922755241394,0.4482758641242981,0.40625,0.5,0.7284482717514038
4,4,,,,,,,,0.8809524178504944,0.4955357015132904,0.6716663837432861,0.46835440397262573,0.4440000057220459,0.4955357015132904,0.8326300382614136,,,,,,,
5,5,,,,,,,,,,,,,,,0.8125,0.5,0.6690293550491333,0.4482758641242981,0.40625,0.5,0.7284482717514038
5,5,,,,,,,,0.8730159401893616,0.4910714328289032,0.6671999096870422,0.4661017060279846,0.44354838132858276,0.4910714328289032,0.8286252617835999,,,,,,,
6,6,,,,,,,,,,,,,,,0.8125,0.5,0.6658679842948914,0.4482758641242981,0.40625,0.5,0.7284482717514038
6,6,,,,,,,,0.888888955116272,0.5,0.6638525724411011,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
7,7,,,,,,,,,,,,,,,0.8125,0.5,0.6627185940742493,0.4482758641242981,0.40625,0.5,0.7284482717514038
7,7,,,,,,,,0.888888955116272,0.5,0.6592082381248474,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
8,8,,,,,,,,,,,,,,,0.8125,0.5,0.6595486998558044,0.4482758641242981,0.40625,0.5,0.7284482717514038
8,8,,,,,,,,0.888888955116272,0.5,0.6560287475585938,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
9,9,,,,,,,,,,,,,,,0.8125,0.5,0.6563334465026855,0.4482758641242981,0.40625,0.5,0.7284482717514038
9,9,,,,,,,,0.888888955116272,0.5,0.6492239236831665,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
10,10,,,,,,,,,,,,,,,0.8125,0.5,0.6530666947364807,0.4482758641242981,0.40625,0.5,0.7284482717514038
10,10,,,,,,,,0.888888955116272,0.5,0.6477349400520325,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
11,11,,,,,,,,,,,,,,,0.8125,0.5,0.6497638821601868,0.4482758641242981,0.40625,0.5,0.7284482717514038
11,11,,,,,,,,0.888888955116272,0.5,0.642648458480835,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
12,12,,,,,,,,,,,,,,,0.8125,0.5,0.6463747024536133,0.4482758641242981,0.40625,0.5,0.7284482717514038
12,12,,,,,,,,0.888888955116272,0.5,0.635387122631073,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
13,13,,,,,,,,,,,,,,,0.8125,0.5,0.6429151296615601,0.4482758641242981,0.40625,0.5,0.7284482717514038
13,13,,,,,,,,0.888888955116272,0.5,0.6318812370300293,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
14,14,,,,,,,,,,,,,,,0.8125,0.5,0.6393717527389526,0.4482758641242981,0.40625,0.5,0.7284482717514038
14,14,,,,,,,,0.888888955116272,0.5,0.6260103583335876,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
15,15,,,,,,,,,,,,,,,0.8125,0.5,0.6357313990592957,0.4482758641242981,0.40625,0.5,0.7284482717514038
15,15,,,,,,,,0.888888955116272,0.5,0.6221562623977661,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
16,16,,,,,,,,,,,,,,,0.8125,0.5,0.6320100426673889,0.4482758641242981,0.40625,0.5,0.7284482717514038
16,16,,,,,,,,0.888888955116272,0.5,0.6218971610069275,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
17,17,,,,,,,,,,,,,,,0.8125,0.5,0.628166913986206,0.4482758641242981,0.40625,0.5,0.7284482717514038
17,17,,,,,,,,0.888888955116272,0.5,0.613825798034668,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
18,18,,,,,,,,,,,,,,,0.8125,0.5,0.6242148876190186,0.4482758641242981,0.40625,0.5,0.7284482717514038
18,18,,,,,,,,0.888888955116272,0.5,0.6098860502243042,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
19,19,,,,,,,,,,,,,,,0.8125,0.5,0.6201367378234863,0.4482758641242981,0.40625,0.5,0.7284482717514038
19,19,,,,,,,,0.888888955116272,0.5,0.6065278053283691,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
20,20,,,,,,,,,,,,,,,0.8125,0.5,0.6158884167671204,0.4482758641242981,0.40625,0.5,0.7284482717514038
20,20,,,,,,,,0.888888955116272,0.5,0.5982940793037415,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
21,21,,,,,,,,,,,,,,,0.8125,0.5,0.611499011516571,0.4482758641242981,0.40625,0.5,0.7284482717514038
21,21,,,,,,,,0.888888955116272,0.5,0.5933322310447693,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
22,22,,,,,,,,,,,,,,,0.8125,0.5,0.6069430112838745,0.4482758641242981,0.40625,0.5,0.7284482717514038
22,22,,,,,,,,0.888888955116272,0.5,0.5844781398773193,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
23,23,,,,,,,,,,,,,,,0.8125,0.5,0.6021877527236938,0.4482758641242981,0.40625,0.5,0.7284482717514038
23,23,,,,,,,,0.888888955116272,0.5,0.5763493776321411,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
24,24,,,,,,,,,,,,,,,0.8125,0.5,0.5972141623497009,0.4482758641242981,0.40625,0.5,0.7284482717514038
24,24,,,,,,,,0.888888955116272,0.5,0.5745458006858826,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
25,25,,,,,,,,,,,,,,,0.8125,0.5,0.5920103788375854,0.4482758641242981,0.40625,0.5,0.7284482717514038
25,25,,,,,,,,0.888888955116272,0.5,0.5655904412269592,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
26,26,,,,,,,,,,,,,,,0.8125,0.5,0.5865945219993591,0.4482758641242981,0.40625,0.5,0.7284482717514038
26,26,,,,,,,,0.888888955116272,0.5,0.5619872212409973,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
27,27,,,,,,,,,,,,,,,0.8125,0.5,0.5809429883956909,0.4482758641242981,0.40625,0.5,0.7284482717514038
27,27,,,,,,,,0.888888955116272,0.5,0.5495318174362183,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
28,28,,,,,,,,,,,,,,,0.8125,0.5,0.5751090049743652,0.4482758641242981,0.40625,0.5,0.7284482717514038
28,28,,,,,,,,0.888888955116272,0.5,0.5434361696243286,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
29,29,,,,,,,,,,,,,,,0.8125,0.5,0.5690725445747375,0.4482758641242981,0.40625,0.5,0.7284482717514038
29,29,,,,,,,,0.888888955116272,0.5,0.5303515195846558,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
