epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,56,,,,,,,,,,,,,,,0.2519487738609314,0.10455946624279022,2.0319483280181885,0.06580892950296402,0.06878746300935745,0.10455946624279022,0.16828545928001404
0,56,,,,,,,,0.17418546974658966,0.06877585500478745,2.390934705734253,0.042933281511068344,0.06752889603376389,0.06877585500478745,0.1075139194726944,,,,,,,
1,113,,,,,,,,,,,,,,,0.39198216795921326,0.21378827095031738,1.6868096590042114,0.16870969533920288,0.14674600958824158,0.21378827095031738,0.3320721387863159
1,113,,,,,,,,0.30103036761283875,0.14825311303138733,1.8925600051879883,0.13054609298706055,0.1536705493927002,0.14825311303138733,0.2610552906990051,,,,,,,
2,170,,,,,,,,,,,,,,,0.4306792914867401,0.25724002718925476,1.5168311595916748,0.21448512375354767,0.1975468397140503,0.25724002718925476,0.38106870651245117
2,170,,,,,,,,0.35957950353622437,0.19546206295490265,1.690144419670105,0.17530423402786255,0.18009759485721588,0.19546206295490265,0.31941571831703186,,,,,,,
3,227,,,,,,,,,,,,,,,0.46046769618988037,0.28155601024627686,1.4051090478897095,0.23031380772590637,0.2315419465303421,0.28155601024627686,0.41011422872543335
3,227,,,,,,,,0.40789473056793213,0.24409276247024536,1.5583680868148804,0.2237139791250229,0.28509506583213806,0.24409276247024536,0.3704962730407715,,,,,,,
4,284,,,,,,,,,,,,,,,0.47522270679473877,0.31080278754234314,1.35066819190979,0.28022319078445435,0.3024142384529114,0.31080278754234314,0.4391525983810425
4,284,,,,,,,,0.4319131076335907,0.26732492446899414,1.4663848876953125,0.24559251964092255,0.2736753225326538,0.26732492446899414,0.3979915976524353,,,,,,,
5,341,,,,,,,,,,,,,,,0.5270044803619385,0.35608017444610596,1.2377371788024902,0.335781455039978,0.361083447933197,0.35608017444610596,0.4993552565574646
5,341,,,,,,,,0.45927318930625916,0.29315245151519775,1.3952873945236206,0.2760041654109955,0.30351775884628296,0.29315245151519775,0.43042904138565063,,,,,,,
6,398,,,,,,,,,,,,,,,0.5281180143356323,0.39176613092422485,1.2425482273101807,0.35310089588165283,0.36297643184661865,0.39176613092422485,0.5058881640434265
6,398,,,,,,,,0.4745892584323883,0.30456483364105225,1.337754249572754,0.29170116782188416,0.3292645812034607,0.30456483364105225,0.45287686586380005,,,,,,,
7,455,,,,,,,,,,,,,,,0.5601336359977722,0.37064701318740845,1.1170272827148438,0.35231414437294006,0.4400590658187866,0.37064701318740845,0.5409188866615295
7,455,,,,,,,,0.4917154014110565,0.3312317728996277,1.2796587944030762,0.3239821493625641,0.33879366517066956,0.3312317728996277,0.47912517189979553,,,,,,,
8,512,,,,,,,,,,,,,,,0.5868597030639648,0.43020522594451904,1.0663783550262451,0.4029342830181122,0.41515734791755676,0.43020522594451904,0.5721381902694702
8,512,,,,,,,,0.5190058350563049,0.34766119718551636,1.211066722869873,0.34172576665878296,0.35519376397132874,0.34766119718551636,0.5108087062835693,,,,,,,
9,569,,,,,,,,,,,,,,,0.6094098091125488,0.42782291769981384,1.0055975914001465,0.40852606296539307,0.408901184797287,0.42782291769981384,0.6012569069862366
9,569,,,,,,,,0.5436508059501648,0.35849136114120483,1.1563689708709717,0.3544372618198395,0.36279577016830444,0.35849136114120483,0.5360724925994873,,,,,,,
10,626,,,,,,,,,,,,,,,0.6447661519050598,0.4549056589603424,0.9470136165618896,0.4404923915863037,0.48247039318084717,0.4549056589603424,0.635901153087616
10,626,,,,,,,,0.5609161853790283,0.36997050046920776,1.1102272272109985,0.3693847358226776,0.39378461241722107,0.36997050046920776,0.5535886287689209,,,,,,,
11,683,,,,,,,,,,,,,,,0.6503340601921082,0.4642861783504486,0.8988425731658936,0.4549199342727661,0.5054353475570679,0.4642861783504486,0.6423461437225342
11,683,,,,,,,,0.5763018727302551,0.3883354961872101,1.0609865188598633,0.3854498863220215,0.3967479467391968,0.3883354961872101,0.5695649981498718,,,,,,,
12,740,,,,,,,,,,,,,,,0.6620267033576965,0.47703129053115845,0.8597190976142883,0.4743537902832031,0.48784372210502625,0.47703129053115845,0.6524180173873901
12,740,,,,,,,,0.5932191610336304,0.40460893511772156,1.0097688436508179,0.4034165143966675,0.4125027060508728,0.40460893511772156,0.5863968133926392,,,,,,,
13,797,,,,,,,,,,,,,,,0.6809576749801636,0.5110124945640564,0.8256955742835999,0.4907171428203583,0.48533710837364197,0.5110124945640564,0.6758278608322144
13,797,,,,,,,,0.6112503409385681,0.4261564612388611,0.9805025458335876,0.4262440502643585,0.4351355731487274,0.4261564612388611,0.6054854989051819,,,,,,,
14,854,,,,,,,,,,,,,,,0.6689866185188293,0.5044119358062744,0.8339322209358215,0.4972039759159088,0.4979144334793091,0.5044119358062744,0.6599062085151672
14,854,,,,,,,,0.6174464225769043,0.43052148818969727,0.9536811709403992,0.4307400584220886,0.4569490849971771,0.43052148818969727,0.6116787195205688,,,,,,,
15,911,,,,,,,,,,,,,,,0.7004454135894775,0.5380363464355469,0.7797964215278625,0.5319086909294128,0.5499207377433777,0.5380363464355469,0.6965776681900024
15,911,,,,,,,,0.6212754249572754,0.4382970631122589,0.9329314827919006,0.4379865825176239,0.48946550488471985,0.4382970631122589,0.6161062121391296,,,,,,,
16,968,,,,,,,,,,,,,,,0.704899787902832,0.5410702228546143,0.7835835814476013,0.5364559292793274,0.5384156107902527,0.5410702228546143,0.7021300196647644
16,968,,,,,,,,0.638331949710846,0.447761595249176,0.8957512974739075,0.4495338797569275,0.46513503789901733,0.447761595249176,0.6324009299278259,,,,,,,
17,1025,,,,,,,,,,,,,,,0.6948775053024292,0.523304283618927,0.7648355960845947,0.5033051371574402,0.5074474811553955,0.523304283618927,0.6872959733009338
17,1025,,,,,,,,0.6413951516151428,0.4620349705219269,0.890739381313324,0.4603460133075714,0.4609212875366211,0.4620349705219269,0.6371684670448303,,,,,,,
18,1082,,,,,,,,,,,,,,,0.7093541026115417,0.5578926801681519,0.7498833537101746,0.5528390407562256,0.5675585865974426,0.5578926801681519,0.7050075531005859
18,1082,,,,,,,,0.6463380455970764,0.4708938002586365,0.8687549829483032,0.472287118434906,0.49258846044540405,0.4708938002586365,0.641845166683197,,,,,,,
19,1139,,,,,,,,,,,,,,,0.7060133814811707,0.5458349585533142,0.7422598004341125,0.5304200649261475,0.527694582939148,0.5458349585533142,0.7004643678665161
19,1139,,,,,,,,0.6545530557632446,0.48045894503593445,0.8618435263633728,0.47773823142051697,0.504195511341095,0.48045894503593445,0.6500296592712402,,,,,,,
20,1196,,,,,,,,,,,,,,,0.7188196182250977,0.5547372102737427,0.716133713722229,0.5479308366775513,0.5500316619873047,0.5547372102737427,0.7152353525161743
20,1196,,,,,,,,0.6594959497451782,0.4759240746498108,0.8474520444869995,0.474922239780426,0.49188560247421265,0.4759240746498108,0.65460604429245,,,,,,,
21,1253,,,,,,,,,,,,,,,0.7135300636291504,0.5788809061050415,0.7220149636268616,0.5524119138717651,0.5369199514389038,0.5788809061050415,0.7104986906051636
21,1253,,,,,,,,0.6688248515129089,0.5003938674926758,0.8182480335235596,0.5001278519630432,0.5084699392318726,0.5003938674926758,0.665108323097229,,,,,,,
22,1310,,,,,,,,,,,,,,,0.7218819856643677,0.5956631898880005,0.7136653065681458,0.5798495411872864,0.5904173254966736,0.5956631898880005,0.7182082533836365
22,1310,,,,,,,,0.6787802577018738,0.5175936222076416,0.8137733340263367,0.5160157680511475,0.5320742130279541,0.5175936222076416,0.6754488348960876,,,,,,,
23,1367,,,,,,,,,,,,,,,0.7324610352516174,0.5961682200431824,0.6933183073997498,0.5918774008750916,0.5937008857727051,0.5961682200431824,0.7311350703239441
23,1367,,,,,,,,0.6830270290374756,0.5212532877922058,0.7895833253860474,0.5206992030143738,0.5339968204498291,0.5212532877922058,0.679712176322937,,,,,,,
24,1424,,,,,,,,,,,,,,,0.7291202545166016,0.5872093439102173,0.6936209201812744,0.5693910717964172,0.5571115016937256,0.5872093439102173,0.7265844345092773
24,1424,,,,,,,,0.6940267086029053,0.5313906073570251,0.7773768305778503,0.5317534804344177,0.5388706922531128,0.5313906073570251,0.6909906268119812,,,,,,,
25,1481,,,,,,,,,,,,,,,0.7366369962692261,0.6064030528068542,0.6794880032539368,0.5784181356430054,0.6165348887443542,0.6064030528068542,0.7339044809341431
25,1481,,,,,,,,0.6939570903778076,0.5176880359649658,0.7665083408355713,0.5182269215583801,0.5323169231414795,0.5176880359649658,0.6903219819068909,,,,,,,
26,1538,,,,,,,,,,,,,,,0.7424833178520203,0.6122604608535767,0.6617489457130432,0.5989844799041748,0.5998191833496094,0.6122604608535767,0.7408154606819153
26,1538,,,,,,,,0.696254551410675,0.53327876329422,0.7590998411178589,0.5289294719696045,0.5412144660949707,0.53327876329422,0.6924671530723572,,,,,,,
27,1595,,,,,,,,,,,,,,,0.7424833178520203,0.6033293604850769,0.663883626461029,0.5924221873283386,0.6318202018737793,0.6033293604850769,0.7403655648231506
27,1595,,,,,,,,0.6980646252632141,0.5354263186454773,0.7602015733718872,0.5327541828155518,0.5366947650909424,0.5354263186454773,0.6953160166740417,,,,,,,
28,1652,,,,,,,,,,,,,,,0.74693763256073,0.6009304523468018,0.6521324515342712,0.5966528654098511,0.6381564140319824,0.6009304523468018,0.7450327277183533
28,1652,,,,,,,,0.7024505734443665,0.5427698493003845,0.7442360520362854,0.540490448474884,0.5422689318656921,0.5427698493003845,0.6996713876724243,,,,,,,
29,1709,,,,,,,,,,,,,,,0.7447104454040527,0.6178228855133057,0.6489092111587524,0.6085963249206543,0.6248595118522644,0.6178228855133057,0.7412192821502686
29,1709,,,,,,,,0.7046087384223938,0.5378347635269165,0.7256772518157959,0.5417681932449341,0.5893474817276001,0.5378347635269165,0.7016599178314209,,,,,,,
30,1766,,,,,,,,,,,,,,,0.7519487738609314,0.626599907875061,0.6388247609138489,0.6111874580383301,0.6432225704193115,0.626599907875061,0.7493977546691895
30,1766,,,,,,,,0.7131718397140503,0.5540660619735718,0.7238050699234009,0.5557175874710083,0.5669528245925903,0.5540660619735718,0.7108211517333984,,,,,,,
31,1823,,,,,,,,,,,,,,,0.7538975477218628,0.6296857595443726,0.6409630179405212,0.613298237323761,0.620715856552124,0.6296857595443726,0.7520526051521301
31,1823,,,,,,,,0.7208298444747925,0.5636367201805115,0.7007347345352173,0.5638332366943359,0.5732914209365845,0.5636367201805115,0.7185724973678589,,,,,,,
32,1880,,,,,,,,,,,,,,,0.7591871023178101,0.6181576251983643,0.6283146739006042,0.607456624507904,0.6015175580978394,0.6181576251983643,0.7571069002151489
32,1880,,,,,,,,0.7179058790206909,0.5596140623092651,0.7082812786102295,0.5606284737586975,0.5811485648155212,0.5596140623092651,0.7154791951179504,,,,,,,
33,1937,,,,,,,,,,,,,,,0.7577950954437256,0.6216917037963867,0.6187753081321716,0.6054954528808594,0.6012619137763977,0.6216917037963867,0.756032407283783
33,1937,,,,,,,,0.7183932065963745,0.5539940595626831,0.6983564496040344,0.5516685843467712,0.5571703314781189,0.5539940595626831,0.7156873941421509,,,,,,,
34,1994,,,,,,,,,,,,,,,0.765868604183197,0.6297003626823425,0.615057110786438,0.6200406551361084,0.6247763633728027,0.6297003626823425,0.7631596922874451
34,1994,,,,,,,,0.7198551893234253,0.5672190189361572,0.6997315883636475,0.5680406093597412,0.6263793706893921,0.5672190189361572,0.7174790501594543,,,,,,,
35,2051,,,,,,,,,,,,,,,0.7586302757263184,0.6163761615753174,0.6085179448127747,0.6066168546676636,0.6067955493927002,0.6163761615753174,0.7572115063667297
35,2051,,,,,,,,0.7280005812644958,0.5706644058227539,0.6849687099456787,0.573739767074585,0.598135232925415,0.5706644058227539,0.7258001565933228,,,,,,,
36,2108,,,,,,,,,,,,,,,0.7678173780441284,0.6328202486038208,0.6067357659339905,0.6157225370407104,0.6095783114433289,0.6328202486038208,0.7648937702178955
36,2108,,,,,,,,0.7320384383201599,0.5704859495162964,0.6800408363342285,0.5702913999557495,0.5782737135887146,0.5704859495162964,0.7291352152824402,,,,,,,
37,2165,,,,,,,,,,,,,,,0.7653117775917053,0.6230828762054443,0.6037426590919495,0.6131758689880371,0.6166760921478271,0.6230828762054443,0.7627714276313782
37,2165,,,,,,,,0.7373990416526794,0.585496187210083,0.6684967875480652,0.5860465168952942,0.6088589429855347,0.585496187210083,0.7350680828094482,,,,,,,
38,2222,,,,,,,,,,,,,,,0.7686525583267212,0.6387470960617065,0.5951408743858337,0.6202853322029114,0.652114748954773,0.6387470960617065,0.765459418296814
38,2222,,,,,,,,0.7399749159812927,0.5882738828659058,0.6609030365943909,0.5940222144126892,0.6223323345184326,0.5882738828659058,0.737942099571228,,,,,,,
39,2279,,,,,,,,,,,,,,,0.7692093253135681,0.6346772313117981,0.6056852340698242,0.6168081760406494,0.6109234690666199,0.6346772313117981,0.7670307159423828
39,2279,,,,,,,,0.7416457533836365,0.5910066366195679,0.650121808052063,0.5924490094184875,0.606245756149292,0.5910066366195679,0.7400740385055542,,,,,,,
40,2336,,,,,,,,,,,,,,,0.779231607913971,0.6291980147361755,0.5777385234832764,0.6219406127929688,0.6635358929634094,0.6291980147361755,0.7763845920562744
40,2336,,,,,,,,0.7442913055419922,0.5884619951248169,0.645084798336029,0.5900324583053589,0.5980567336082458,0.5884619951248169,0.7425560355186462,,,,,,,
41,2393,,,,,,,,,,,,,,,0.7758908867835999,0.6408540606498718,0.5782279968261719,0.6273964643478394,0.6619598865509033,0.6408540606498718,0.7737103700637817
41,2393,,,,,,,,0.747772216796875,0.586946427822113,0.6327211260795593,0.5865622758865356,0.5917513966560364,0.586946427822113,0.7457568645477295,,,,,,,
42,2450,,,,,,,,,,,,,,,0.7672605514526367,0.635402262210846,0.5793542265892029,0.6288272142410278,0.6323917508125305,0.635402262210846,0.7659566402435303
42,2450,,,,,,,,0.7496519088745117,0.5965598821640015,0.641445517539978,0.5970172882080078,0.6338971257209778,0.5965598821640015,0.7474128007888794,,,,,,,
