epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,6,,,,,,,,,,,,,,,0.6463414430618286,0.6328169107437134,2.1513173580169678,0.576960563659668,0.5517423152923584,0.6328169107437134,0.5961868762969971
0,6,,,,,,,,0.28021979331970215,0.27605319023132324,2.2654736042022705,0.2513924837112427,0.4653629660606384,0.27605319023132324,0.25764307379722595,,,,,,,
1,13,,,,,,,,,,,,,,,0.6853658556938171,0.6787716150283813,1.5882985591888428,0.6772447824478149,0.7070320844650269,0.6787716150283813,0.6814473271369934
1,13,,,,,,,,0.5982906222343445,0.5874524116516113,1.9873894453048706,0.5597647428512573,0.6109187006950378,0.5874524116516113,0.5668424963951111,,,,,,,
2,20,,,,,,,,,,,,,,,0.70243901014328,0.6938151717185974,1.0109392404556274,0.6931816339492798,0.711323618888855,0.6938151717185974,0.6993319988250732
2,20,,,,,,,,0.6709401607513428,0.6667048335075378,1.3523445129394531,0.6617628335952759,0.6722556352615356,0.6667048335075378,0.6635019183158875,,,,,,,
3,27,,,,,,,,,,,,,,,0.7268292903900146,0.7223939299583435,0.9061263203620911,0.7211052179336548,0.7258273363113403,0.7223939299583435,0.7264807820320129
3,27,,,,,,,,0.6978021860122681,0.6957382559776306,0.9924376010894775,0.6935573816299438,0.6947077512741089,0.6957382559776306,0.6954594254493713,,,,,,,
4,34,,,,,,,,,,,,,,,0.7365853786468506,0.7343380451202393,0.8771241903305054,0.7293878793716431,0.7596046924591064,0.7343380451202393,0.7335944175720215
4,34,,,,,,,,0.7106227278709412,0.7095385789871216,0.9430368542671204,0.7078119516372681,0.7117775678634644,0.7095385789871216,0.7097415328025818,,,,,,,
5,41,,,,,,,,,,,,,,,0.7536585330963135,0.7492811679840088,0.7725682854652405,0.7478920221328735,0.7605027556419373,0.7492811679840088,0.7518447041511536
5,41,,,,,,,,0.732600748538971,0.7301670908927917,0.8779268264770508,0.7287153601646423,0.7289785146713257,0.7301670908927917,0.7310242056846619,,,,,,,
6,48,,,,,,,,,,,,,,,0.7390244007110596,0.7358971238136292,0.8081988096237183,0.7257164716720581,0.7407025098800659,0.7358971238136292,0.730560839176178
6,48,,,,,,,,0.7393162250518799,0.7382447719573975,0.8500097393989563,0.736624538898468,0.7385967969894409,0.7382447719573975,0.7383093237876892,,,,,,,
7,55,,,,,,,,,,,,,,,0.7707316875457764,0.7688546180725098,0.7785980701446533,0.7670325040817261,0.7789195775985718,0.7688546180725098,0.768842875957489
7,55,,,,,,,,0.7460317611694336,0.7433879375457764,0.8253082036972046,0.7395890951156616,0.7425093054771423,0.7433879375457764,0.7419033050537109,,,,,,,
8,62,,,,,,,,,,,,,,,0.7512195110321045,0.7489563226699829,0.8000611066818237,0.7464035749435425,0.7586086988449097,0.7489563226699829,0.7490262985229492
8,62,,,,,,,,0.7533577680587769,0.7520909309387207,0.8032407164573669,0.7513141632080078,0.7527761459350586,0.7520909309387207,0.7531815767288208,,,,,,,
9,69,,,,,,,,,,,,,,,0.7658536434173584,0.7659021019935608,0.7911065816879272,0.7624444961547852,0.7744450569152832,0.7659021019935608,0.7643775939941406
9,69,,,,,,,,0.7454212307929993,0.7433372139930725,0.8012886047363281,0.7408682703971863,0.7407914400100708,0.7433372139930725,0.7429225444793701,,,,,,,
10,76,,,,,,,,,,,,,,,0.7463414669036865,0.7438281774520874,0.7865041494369507,0.7409379482269287,0.7528051733970642,0.7438281774520874,0.7438272833824158
10,76,,,,,,,,0.7435897588729858,0.7403278946876526,0.7958366274833679,0.7390759587287903,0.7399104237556458,0.7403278946876526,0.7417396903038025,,,,,,,
11,83,,,,,,,,,,,,,,,0.7682926654815674,0.768432080745697,0.7700575590133667,0.7654503583908081,0.7732879519462585,0.768432080745697,0.7671716213226318
11,83,,,,,,,,0.7496947646141052,0.7476070523262024,0.781714677810669,0.7459523677825928,0.7463802695274353,0.7476070523262024,0.7477886080741882,,,,,,,
12,90,,,,,,,,,,,,,,,0.7512195110321045,0.7495824098587036,0.7784298062324524,0.7453579902648926,0.7574602365493774,0.7495824098587036,0.7483736276626587
