epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,2,,,,,,,,,,,,,,,0.7235293984413147,0.5,0.6543816328048706,0.4197952449321747,0.36176469922065735,0.5,0.6074684262275696
0,2,,,,,,,,0.7935103178024292,0.5,0.5840703248977661,0.4424342215061188,0.3967551589012146,0.5,0.7021522521972656,,,,,,,
1,5,,,,,,,,,,,,,,,0.7235293984413147,0.5,0.5076342821121216,0.4197952449321747,0.36176469922065735,0.5,0.6074684262275696
1,5,,,,,,,,0.7935103178024292,0.5,0.49003496766090393,0.4424342215061188,0.3967551589012146,0.5,0.7021522521972656,,,,,,,
2,8,,,,,,,,,,,,,,,0.7235293984413147,0.5,0.385809987783432,0.4197952449321747,0.36176469922065735,0.5,0.6074684262275696
2,8,,,,,,,,0.7935103178024292,0.5,0.4257248044013977,0.4424342215061188,0.3967551589012146,0.5,0.7021522521972656,,,,,,,
3,11,,,,,,,,,,,,,,,0.7235293984413147,0.5,0.23721636831760406,0.4197952449321747,0.36176469922065735,0.5,0.6074684262275696
3,11,,,,,,,,0.7935103178024292,0.5,0.2784378230571747,0.4424342215061188,0.3967551589012146,0.5,0.7021522521972656,,,,,,,
4,14,,,,,,,,,,,,,,,1.0,1.0,0.1506490856409073,1.0,1.0,1.0,1.0
4,14,,,,,,,,0.8657817244529724,0.675000011920929,0.16557462513446808,0.7202703952789307,0.9276629686355591,0.675000011920929,0.838702917098999,,,,,,,
5,17,,,,,,,,,,,,,,,1.0,1.0,0.03303789719939232,1.0,1.0,1.0,1.0
5,17,,,,,,,,1.0,1.0,0.090151347219944,1.0,1.0,1.0,1.0,,,,,,,
6,20,,,,,,,,,,,,,,,1.0,1.0,0.00012570075341500342,1.0,1.0,1.0,1.0
6,20,,,,,,,,1.0,1.0,0.013280835002660751,1.0,1.0,1.0,1.0,,,,,,,
7,23,,,,,,,,,,,,,,,1.0,1.0,0.0009029180509969592,1.0,1.0,1.0,1.0
7,23,,,,,,,,1.0,1.0,8.433094626525417e-05,1.0,1.0,1.0,1.0,,,,,,,
8,26,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8,26,,,,,,,,1.0,1.0,0.0008759762276895344,1.0,1.0,1.0,1.0,,,,,,,
9,29,,,,,,,,,,,,,,,1.0,1.0,6.919337010913296e-06,1.0,1.0,1.0,1.0
9,29,,,,,,,,1.0,1.0,3.6923215596118553e-09,1.0,1.0,1.0,1.0,,,,,,,
10,32,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
10,32,,,,,,,,1.0,1.0,0.0008656670106574893,1.0,1.0,1.0,1.0,,,,,,,
11,35,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
11,35,,,,,,,,0.998525083065033,0.9990706443786621,0.0015947208739817142,0.9977555274963379,0.9964538812637329,0.9990706443786621,0.998526930809021,,,,,,,
12,38,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
12,38,,,,,,,,0.99262535572052,0.9821428656578064,0.026487113907933235,0.9885964393615723,0.9953959584236145,0.9821428656578064,0.9925754070281982,,,,,,,
13,41,,,,,,,,,,,,,,,0.9235293865203857,0.8617020845413208,0.5209680795669556,0.8946565985679626,0.9522058963775635,0.8617020845413208,0.9193120002746582
13,41,,,,,,,,0.8893805146217346,0.9302973747253418,1.0758426189422607,0.8569036722183228,0.825581431388855,0.9302973747253418,0.8969215750694275,,,,,,,
14,44,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
14,44,,,,,,,,0.8761062026023865,0.699999988079071,2.5226995944976807,0.7495074272155762,0.9324759244918823,0.699999988079071,0.8540433645248413,,,,,,,
15,47,,,,,,,,,,,,,,,0.8882352709770203,0.922764241695404,0.4759436249732971,0.8740789890289307,0.8560606241226196,0.922764241695404,0.8929541110992432
15,47,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
16,50,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
16,50,,,,,,,,0.8628318309783936,0.9135687351226807,0.8569234013557434,0.8280309438705444,0.8004292249679565,0.9135687351226807,0.8734433054924011,,,,,,,
17,53,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
17,53,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
18,56,,,,,,,,,,,,,,,1.0,1.0,0.0013178184162825346,1.0,1.0,1.0,1.0
18,56,,,,,,,,1.0,1.0,2.2681392763956865e-08,1.0,1.0,1.0,1.0,,,,,,,
19,59,,,,,,,,,,,,,,,0.9058823585510254,0.8297872543334961,0.514743983745575,0.8669015169143677,0.9424460530281067,0.8297872543334961,0.899103045463562
19,59,,,,,,,,0.9882006049156189,0.9714285731315613,0.053985461592674255,0.9816040992736816,0.9926739931106567,0.9714285731315613,0.9880706071853638,,,,,,,
20,62,,,,,,,,,,,,,,,1.0,1.0,1.3813668374496046e-05,1.0,1.0,1.0,1.0
20,62,,,,,,,,0.9719763994216919,0.9321428537368774,0.18298272788524628,0.9549257159233093,0.9829443693161011,0.9321428537368774,0.9711994528770447,,,,,,,
21,65,,,,,,,,,,,,,,,1.0,1.0,1.3365391851039021e-06,1.0,1.0,1.0,1.0
21,65,,,,,,,,1.0,1.0,3.7384452298283577e-06,1.0,1.0,1.0,1.0,,,,,,,
22,68,,,,,,,,,,,,,,,1.0,1.0,1.1717514780684724e-06,1.0,1.0,1.0,1.0
22,68,,,,,,,,1.0,1.0,1.0116908697455074e-06,1.0,1.0,1.0,1.0,,,,,,,
23,71,,,,,,,,,,,,,,,1.0,1.0,1.1976967471127864e-06,1.0,1.0,1.0,1.0
23,71,,,,,,,,1.0,1.0,9.680869652584079e-07,1.0,1.0,1.0,1.0,,,,,,,
24,72,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
