epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,115,,,,,,,,,,,,,,,0.9055765271186829,0.39581114053726196,0.25944066047668457,0.37768787145614624,0.36457642912864685,0.39581114053726196,0.908958911895752
0,115,,,,,,,,0.9336947798728943,0.37642431259155273,0.3290293514728546,0.38629838824272156,0.39782336354255676,0.37642431259155273,0.9340000748634338,,,,,,,
1,231,,,,,,,,,,,,,,,0.9962284564971924,0.5624579787254333,0.016881322488188744,0.5447616577148438,0.5311509966850281,0.5624579787254333,0.9956257939338684
1,231,,,,,,,,0.9917497038841248,0.4862998127937317,0.052425213158130646,0.508571982383728,0.5799797177314758,0.4862998127937317,0.9909263849258423,,,,,,,
2,347,,,,,,,,,,,,,,,0.9943426847457886,0.5626174807548523,0.12569251656532288,0.5341236591339111,0.5147174596786499,0.5626174807548523,0.9937805533409119
2,347,,,,,,,,0.9966325163841248,0.5405932664871216,0.020009534433484077,0.54179847240448,0.5430354475975037,0.5405932664871216,0.996037483215332,,,,,,,
3,463,,,,,,,,,,,,,,,0.9842402935028076,0.4669194519519806,0.09212626516819,0.4829687476158142,0.5076686143875122,0.4669194519519806,0.9830265641212463
3,463,,,,,,,,0.9871699810028076,0.5127047300338745,0.061283454298973083,0.5230614542961121,0.5357635617256165,0.5127047300338745,0.9864867925643921,,,,,,,
4,579,,,,,,,,,,,,,,,0.9970366358757019,0.5555874109268188,0.011000535450875759,0.5592092275619507,0.5630071759223938,0.5555874109268188,0.9963588714599609
4,579,,,,,,,,0.9933661222457886,0.5278090834617615,0.03739273548126221,0.5365369915962219,0.5469028353691101,0.5278090834617615,0.9927121996879578,,,,,,,
5,695,,,,,,,,,,,,,,,0.9964978694915771,0.5127793550491333,0.011255220510065556,0.5341798663139343,0.5698674917221069,0.5127793550491333,0.995624303817749
5,695,,,,,,,,0.996699869632721,0.5280523896217346,0.012249387800693512,0.5362186431884766,0.5457507371902466,0.5280523896217346,0.9960595369338989,,,,,,,
6,811,,,,,,,,,,,,,,,0.9964978694915771,0.5550779104232788,0.015072111040353775,0.5554066300392151,0.5557392835617065,0.5550779104232788,0.9957576394081116
6,811,,,,,,,,0.9833984375,0.5191369652748108,0.06992664188146591,0.5283931493759155,0.5405319929122925,0.5191369652748108,0.9829423427581787,,,,,,,
7,927,,,,,,,,,,,,,,,0.9973060488700867,0.5975881218910217,0.011169514618813992,0.6099992394447327,0.6275535225868225,0.5975881218910217,0.9969609379768372
7,927,,,,,,,,0.9969692826271057,0.5515066385269165,0.009300203993916512,0.5572541356086731,0.5954208374023438,0.5515066385269165,0.9964370727539062,,,,,,,
8,1043,,,,,,,,,,,,,,,0.9956896305084229,0.4767296612262726,0.013402788899838924,0.501279354095459,0.5705469250679016,0.4767296612262726,0.9945310354232788
