epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,1,,,,,,,,,,,,,,,0.6212121248245239,0.5,0.7368317246437073,0.38317757844924927,0.31060606241226196,0.5,0.4760690927505493
0,1,,,,,,,,0.5152671933174133,0.5056552886962891,0.6935195326805115,0.40449219942092896,0.5191662311553955,0.5056552886962891,0.41037407517433167,,,,,,,
1,3,,,,,,,,,,,,,,,0.7878788113594055,0.7824389934539795,0.6144437789916992,0.7778846025466919,0.7749288082122803,0.7824389934539795,0.7893065214157104
1,3,,,,,,,,0.5,0.48898088932037354,0.9028778672218323,0.33999961614608765,0.35291826725006104,0.48898088932037354,0.34744149446487427,,,,,,,
2,5,,,,,,,,,,,,,,,0.7424242496490479,0.7614634037017822,0.5627112984657288,0.7394938468933105,0.7463235259056091,0.7614634037017822,0.7461918592453003
2,5,,,,,,,,0.7748091816902161,0.7733792066574097,0.6034197211265564,0.7733529806137085,0.7784937620162964,0.7733792066574097,0.7737690210342407,,,,,,,
3,7,,,,,,,,,,,,,,,0.6666666865348816,0.6926829218864441,0.5824978947639465,0.6654378175735474,0.6840633749961853,0.6926829218864441,0.6703532934188843
3,7,,,,,,,,0.7824427485466003,0.7825909852981567,0.5072857141494751,0.7824141979217529,0.7824427485466003,0.7825909852981567,0.7824712991714478,,,,,,,
4,9,,,,,,,,,,,,,,,0.7878788113594055,0.7512195110321045,0.5529831647872925,0.761363685131073,0.7883539199829102,0.7512195110321045,0.7806474566459656
4,9,,,,,,,,0.8206107020378113,0.821478545665741,0.4322030246257782,0.8205453157424927,0.8225127458572388,0.821478545665741,0.820466935634613,,,,,,,
5,11,,,,,,,,,,,,,,,0.7424242496490479,0.706829309463501,0.6081070899963379,0.713409960269928,0.730434775352478,0.706829309463501,0.7355160713195801
5,11,,,,,,,,0.8129770755767822,0.8110424280166626,0.44346076250076294,0.8109695911407471,0.8216761946678162,0.8110424280166626,0.8114156723022461,,,,,,,
6,13,,,,,,,,,,,,,,,0.7424242496490479,0.6990243792533875,0.5888254046440125,0.7068199515342712,0.7361111044883728,0.6990243792533875,0.7315881252288818
6,13,,,,,,,,0.8511450290679932,0.8492304086685181,0.4555486738681793,0.8495472073554993,0.861169695854187,0.8492304086685181,0.8499022722244263,,,,,,,
7,15,,,,,,,,,,,,,,,0.7878788113594055,0.7902438640594482,0.5449866652488708,0.7806267738342285,0.7772600650787354,0.7902438640594482,0.7902961373329163
7,15,,,,,,,,0.805343508720398,0.8027052283287048,0.4538084864616394,0.8018066883087158,0.8217450380325317,0.8027052283287048,0.8024129867553711,,,,,,,
8,17,,,,,,,,,,,,,,,0.7575757503509521,0.7502439022064209,0.43555527925491333,0.7461538314819336,0.7435897588729858,0.7502439022064209,0.7592074871063232
8,17,,,,,,,,0.8320610523223877,0.8319729566574097,0.36642220616340637,0.8319729566574097,0.8319729566574097,0.8319729566574097,0.8320610523223877,,,,,,,
9,19,,,,,,,,,,,,,,,0.7727273106575012,0.7702438831329346,0.3960844874382019,0.7635538578033447,0.760338306427002,0.7702438831329346,0.7748441696166992
9,19,,,,,,,,0.8664122223854065,0.8664295673370361,0.31780940294265747,0.866363525390625,0.8663227558135986,0.8664295673370361,0.8664219379425049,,,,,,,
10,21,,,,,,,,,,,,,,,0.7575757503509521,0.7892683148384094,0.39364948868751526,0.7566820383071899,0.7763280868530273,0.7892683148384094,0.7602570056915283
10,21,,,,,,,,0.8702290058135986,0.8694612979888916,0.3609180748462677,0.8698574304580688,0.8718896508216858,0.8694612979888916,0.8700166940689087,,,,,,,
11,23,,,,,,,,,,,,,,,0.7272727489471436,0.7726829051971436,0.5362679362297058,0.7272726893424988,0.7726829051971436,0.7726829051971436,0.7272726893424988
11,23,,,,,,,,0.8740457892417908,0.8751165866851807,0.3216739594936371,0.8739558458328247,0.877117395401001,0.8751165866851807,0.8738787174224854,,,,,,,
12,25,,,,,,,,,,,,,,,0.7878788113594055,0.8136585354804993,0.4504892826080322,0.7861111164093018,0.7963134050369263,0.8136585354804993,0.790824830532074
12,25,,,,,,,,0.8549618124961853,0.8573344349861145,0.35507285594940186,0.8539319634437561,0.8706458806991577,0.8573344349861145,0.8536510467529297,,,,,,,
13,27,,,,,,,,,,,,,,,0.9090909361839294,0.9034146070480347,0.30415967106819153,0.9034146070480347,0.9034146070480347,0.9034146070480347,0.9090908765792847
