epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,69,,,,,,,,0.9815097451210022,0.9786272644996643,0.05181493982672691,0.9810188412666321,0.984020471572876,0.9786272644996643,0.9814579486846924
0,69,0.8351663947105408,0.8297449350357056,1.8091121912002563,0.8310006260871887,0.8325667381286621,0.8297449350357056,0.8348153233528137,,,,,,,
1,139,,,,,,,,0.991094172000885,0.9900462627410889,0.027129488065838814,0.9908900260925293,0.9918062686920166,0.9900462627410889,0.9910861849784851
1,139,0.9661285281181335,0.9649736881256104,0.27008089423179626,0.9653828144073486,0.9658105373382568,0.9649736881256104,0.9661133289337158,,,,,,,
2,209,,,,,,,,0.9849024415016174,0.9823657274246216,0.04309951141476631,0.984511137008667,0.9871405959129333,0.9823657274246216,0.9848653078079224
2,209,0.9749215245246887,0.9744793772697449,0.28955206274986267,0.9743967056274414,0.9743146896362305,0.9744793772697449,0.9749237298965454,,,,,,,
3,279,,,,,,,,0.9940627813339233,0.9931648969650269,0.016948208212852478,0.9939278364181519,0.9947494268417358,0.9931648969650269,0.9940581321716309
3,279,0.9869660139083862,0.9859479665756226,0.05472681298851967,0.986670732498169,0.9874475002288818,0.9859479665756226,0.9869558811187744,,,,,,,
4,349,,,,,,,,0.9929601550102234,0.9917773008346558,0.015280870720744133,0.9927960634231567,0.9939203262329102,0.9917773008346558,0.9929524064064026
4,349,0.9907829165458679,0.9903559684753418,0.038461484014987946,0.9905839562416077,0.9908173084259033,0.9903559684753418,0.9907807111740112,,,,,,,
5,419,,,,,,,,0.995759129524231,0.9950465559959412,0.011291165836155415,0.9956640005111694,0.9963197708129883,0.9950465559959412,0.9957563877105713
5,419,0.9929034113883972,0.9923841953277588,0.028330039232969284,0.9927481412887573,0.9931256175041199,0.9923841953277588,0.9929006695747375,,,,,,,
6,489,,,,,,,,0.9950805902481079,0.9942539930343628,0.011880896054208279,0.9949692487716675,0.9957358837127686,0.9942539930343628,0.9950768947601318
6,489,0.9916593432426453,0.9912965297698975,0.05060921236872673,0.9914801120758057,0.9916671514511108,0.9912965297698975,0.9916577935218811,,,,,,,
7,559,,,,,,,,0.9973706603050232,0.996928870677948,0.007067273370921612,0.9973130226135254,0.9977118372917175,0.996928870677948,0.9973695874214172
7,559,0.9950804114341736,0.9946279525756836,0.017674895003437996,0.9949730634689331,0.9953301548957825,0.9946279525756836,0.9950786828994751,,,,,,,
8,629,,,,,,,,0.9978795647621155,0.9975731372833252,0.006444989703595638,0.9978336095809937,0.9981008768081665,0.9975731372833252,0.9978790283203125
8,629,0.9957024455070496,0.9954125285148621,0.016146471723914146,0.9956099987030029,0.9958113431930542,0.9954125285148621,0.9957016706466675,,,,,,,
9,699,,,,,,,,0.9986429214477539,0.9984647035598755,0.004064094740897417,0.9986138343811035,0.9987651109695435,0.9984647035598755,0.9986428022384644
9,699,0.9965789318084717,0.9963448643684387,0.012847408652305603,0.996505618095398,0.9966689348220825,0.9963448643684387,0.9965784549713135,,,,,,,
10,769,,,,,,,,0.9988125562667847,0.9986628890037537,0.003473099786788225,0.9987871646881104,0.9989129304885864,0.9986628890037537,0.9988123774528503
10,769,0.9967485666275024,0.9964516758918762,0.010133877396583557,0.9966784119606018,0.9969103336334229,0.9964516758918762,0.9967477917671204,,,,,,,
11,839,,,,,,,,0.9979643821716309,0.9976472854614258,0.0050149885937571526,0.9979201555252075,0.998200535774231,0.9976472854614258,0.9979637861251831
11,839,0.997087836265564,0.9968230128288269,0.010562004521489143,0.9970251321792603,0.9972313642501831,0.9968230128288269,0.997087299823761,,,,,,,
12,909,,,,,,,,0.9988973736763,0.9987370371818542,0.0035342287737876177,0.9988737106323242,0.9990123510360718,0.9987370371818542,0.9988971948623657
12,909,0.9970595836639404,0.9968563914299011,0.010999724268913269,0.9969966411590576,0.9971388578414917,0.9968563914299011,0.9970591068267822,,,,,,,
13,979,,,,,,,,0.9991518259048462,0.9990342259407043,0.002868357812985778,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
13,979,0.9978512525558472,0.9977062344551086,0.00873299315571785,0.9978053569793701,0.9979056119918823,0.9977062344551086,0.9978509545326233,,,,,,,
14,1049,,,,,,,,0.9983884692192078,0.9981176853179932,0.005029766820371151,0.9983536005020142,0.998595118522644,0.9981176853179932,0.9983880519866943
14,1049,0.9971726536750793,0.9968723058700562,0.00946658942848444,0.9971116185188293,0.997356653213501,0.9968723058700562,0.9971720576286316,,,,,,,
15,1119,,,,,,,,0.9988125562667847,0.9986878037452698,0.004376762080937624,0.9987872242927551,0.9988876581192017,0.9986878037452698,0.9988124370574951
15,1119,0.9968051314353943,0.9965674877166748,0.01350042037665844,0.9967365264892578,0.9969084858894348,0.9965674877166748,0.9968045949935913,,,,,,,
16,1189,,,,,,,,0.9991518259048462,0.9990342259407043,0.003551461501047015,0.9991337656974792,0.9992341995239258,0.9990342259407043,0.9991517663002014
16,1189,0.9976250529289246,0.9974005818367004,0.009639369323849678,0.9975740313529968,0.9977505207061768,0.9974005818367004,0.9976246356964111,,,,,,,
17,1259,,,,,,,,0.9989821910858154,0.9988111853599548,0.00297317816875875,0.9989603757858276,0.9991117715835571,0.9988111853599548,0.9989820122718811
17,1259,0.9977098703384399,0.9975411295890808,0.007050908170640469,0.9976609945297241,0.9977822303771973,0.9975411295890808,0.9977096319198608,,,,,,,
18,1329,,,,,,,,0.9987277388572693,0.99851393699646,0.0036329803988337517,0.9987003803253174,0.9988901615142822,0.99851393699646,0.9987275004386902
18,1329,0.9981057047843933,0.9979203939437866,0.006154903210699558,0.9980651140213013,0.9982119202613831,0.9979203939437866,0.9981053471565247,,,,,,,
19,1399,,,,,,,,0.9952502250671387,0.9944521188735962,0.013759223744273186,0.995142936706543,0.9958817362785339,0.9944521188735962,0.9952468276023865
19,1399,0.9952783584594727,0.9950582981109619,0.05423343554139137,0.9951775074005127,0.9952981472015381,0.9950582981109619,0.9952778220176697,,,,,,,
20,1469,,,,,,,,0.997540295124054,0.9972516298294067,0.0060165501199662685,0.9974870681762695,0.997728168964386,0.9972516298294067,0.9975396394729614
20,1469,0.9891995787620544,0.9889882206916809,0.11818474531173706,0.9889719486236572,0.9889557957649231,0.9889882206916809,0.9891997575759888,,,,,,,
21,1539,,,,,,,,0.9987277388572693,0.9985887408256531,0.004059147089719772,0.9987005591392517,0.9988136291503906,0.9985887408256531,0.9987276196479797
21,1539,0.9955610632896423,0.9953221082687378,0.02213354781270027,0.9954661130905151,0.9956121444702148,0.9953221082687378,0.9955604076385498,,,,,,,
22,1609,,,,,,,,0.9990670084953308,0.9990348815917969,0.0034231743775308132,0.9990472793579102,0.9990597367286682,0.9990348815917969,0.999066948890686
22,1609,0.9966354966163635,0.9964109063148499,0.011420607566833496,0.9965634346008301,0.9967182278633118,0.9964109063148499,0.9966349601745605,,,,,,,
23,1679,,,,,,,,0.9979643821716309,0.9976722002029419,0.0061877151019871235,0.9979203343391418,0.9981745481491089,0.9976722002029419,0.9979639053344727
23,1679,0.9970595836639404,0.9968563914299011,0.012440821155905724,0.9969966411590576,0.9971388578414917,0.9968563914299011,0.9970591068267822,,,,,,,
24,1749,,,,,,,,0.9989821910858154,0.9988111853599548,0.0028847637586295605,0.9989603757858276,0.9991117715835571,0.9988111853599548,0.9989820122718811
24,1749,0.9977946877479553,0.9976401925086975,0.010451031848788261,0.9977476596832275,0.9978562593460083,0.9976401925086975,0.9977944493293762,,,,,,,
25,1819,,,,,,,,0.9992366433143616,0.999133288860321,0.0031533637084066868,0.9992203712463379,0.9993082284927368,0.999133288860321,0.9992365837097168
25,1819,0.9978795051574707,0.9976396560668945,0.01116859633475542,0.9978339672088623,0.9980318546295166,0.9976396560668945,0.997879147529602,,,,,,,
26,1889,,,,,,,,0.9990670084953308,0.9990597367286682,0.0028023801278322935,0.9990473389625549,0.9990348815917969,0.9990597367286682,0.9990670680999756
26,1889,0.9978512525558472,0.9976813793182373,0.007256316486746073,0.9978052973747253,0.9979308247566223,0.9976813793182373,0.9978509545326233,,,,,,,
27,1959,,,,,,,,0.9991518259048462,0.9990093111991882,0.0021290371660143137,0.9991337060928345,0.9992595911026001,0.9990093111991882,0.9991517066955566
27,1959,0.9982470273971558,0.998093843460083,0.005854385439306498,0.9982096552848816,0.9983267784118652,0.998093843460083,0.9982468485832214,,,,,,,
28,2029,,,,,,,,0.9990670084953308,0.9989102482795715,0.0021509905345737934,0.999047040939331,0.9991856813430786,0.9989102482795715,0.9990668892860413
28,2029,0.9986146092414856,0.9985231161117554,0.005363743286579847,0.9985851645469666,0.9986476302146912,0.9985231161117554,0.998614490032196,,,,,,,
29,2099,,,,,,,,0.998218834400177,0.9979195594787598,0.0045161861926317215,0.9981802701950073,0.9984476566314697,0.9979195594787598,0.9982183575630188
29,2099,0.9987559914588928,0.9986633062362671,0.00588898453861475,0.9987295866012573,0.9987962245941162,0.9986633062362671,0.998755931854248,,,,,,,
30,2169,,,,,,,,0.9994062781333923,0.9993065595626831,0.0015721003292128444,0.9993935823440552,0.9994814395904541,0.9993065595626831,0.9994062185287476
30,2169,0.998388409614563,0.9982672333717346,0.006238490808755159,0.9983540773391724,0.9984416961669922,0.9982672333717346,0.9983882904052734,,,,,,,
31,2239,,,,,,,,0.9991518259048462,0.9990093111991882,0.0021960909944027662,0.9991337060928345,0.9992595911026001,0.9990093111991882,0.9991517066955566
31,2239,0.9988408088684082,0.9987291693687439,0.0049148364923894405,0.9988161325454712,0.9989038705825806,0.9987291693687439,0.9988406896591187,,,,,,,
32,2309,,,,,,,,0.9994910955429077,0.9994056224822998,0.0010672126663848758,0.9994802474975586,0.9995554685592651,0.9994056224822998,0.9994910955429077
32,2309,0.9988408088684082,0.9987208843231201,0.0044051725417375565,0.9988161325454712,0.9989122152328491,0.9987208843231201,0.9988406896591187,,,,,,,
33,2379,,,,,,,,0.9992366433143616,0.9991083741188049,0.0017107384046539664,0.9992203712463379,0.9993335008621216,0.9991083741188049,0.9992365837097168
33,2379,0.9987559914588928,0.9986715912818909,0.0041130841709673405,0.9987295866012573,0.9987878799438477,0.9986715912818909,0.998755931854248,,,,,,,
34,2449,,,,,,,,0.9994910955429077,0.9994305372238159,0.0009804635774344206,0.9994802474975586,0.9995303153991699,0.9994305372238159,0.9994910955429077
34,2449,0.9988408088684082,0.9987125396728516,0.0034093938302248716,0.9988160729408264,0.9989206790924072,0.9987125396728516,0.9988406896591187,,,,,,,
35,2519,,,,,,,,0.9997455477714539,0.9997028112411499,0.0009329912136308849,0.9997401237487793,0.9997776746749878,0.9997028112411499,0.9997454881668091
35,2519,0.9989821314811707,0.998885989189148,0.003483459586277604,0.9989604949951172,0.9990355968475342,0.998885989189148,0.9989820718765259,,,,,,,
36,2589,,,,,,,,0.9998303651809692,0.9998018741607666,0.001110602868720889,0.9998267889022827,0.9998517036437988,0.9998018741607666,0.9998303651809692
36,2589,0.9991235136985779,0.9990760087966919,0.003636113367974758,0.9991049766540527,0.9991340637207031,0.9990760087966919,0.9991234540939331,,,,,,,
37,2659,,,,,,,,0.9995759129524231,0.9995046854019165,0.001200567465275526,0.999566912651062,0.9996294975280762,0.9995046854019165,0.9995759129524231
37,2659,0.9989256262779236,0.9988116025924683,0.004234650172293186,0.9989027380943298,0.9989947080612183,0.9988116025924683,0.998925507068634,,,,,,,
38,2729,,,,,,,,0.9994062781333923,0.9993065595626831,0.0011658822186291218,0.9993935823440552,0.9994814395904541,0.9993065595626831,0.9994062185287476
38,2729,0.9988690614700317,0.9987788200378418,0.004307504277676344,0.998845100402832,0.9989117383956909,0.9987788200378418,0.9988690614700317,,,,,,,
39,2799,,,,,,,,0.9997455477714539,0.999727725982666,0.0010828435188159347,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
39,2799,0.9990386962890625,0.9989686012268066,0.003789472859352827,0.9990183115005493,0.9990682601928711,0.9989686012268066,0.9990386366844177,,,,,,,
40,2869,,,,,,,,0.9994910955429077,0.9994056224822998,0.0012018426787108183,0.9994802474975586,0.9995554685592651,0.9994056224822998,0.9994910955429077
40,2869,0.9991800785064697,0.9991171360015869,0.002988584339618683,0.9991626739501953,0.9992084503173828,0.9991171360015869,0.9991799592971802,,,,,,,
41,2939,,,,,,,,0.9998303651809692,0.9998018741607666,0.0006705851992592216,0.9998267889022827,0.9998517036437988,0.9998018741607666,0.9998303651809692
41,2939,0.9991518259048462,0.9990924000740051,0.00320304068736732,0.9991338849067688,0.9991754293441772,0.9990924000740051,0.9991518259048462,,,,,,,
42,3009,,,,,,,,0.9991518259048462,0.9990093111991882,0.002416192786768079,0.9991337060928345,0.9992595911026001,0.9990093111991882,0.9991517066955566
42,3009,0.9993497133255005,0.9992903470993042,0.002362791681662202,0.9993358850479126,0.9993817210197449,0.9992903470993042,0.9993497133255005,,,,,,,
43,3079,,,,,,,,0.9998303651809692,0.9998018741607666,0.0007243352010846138,0.9998267889022827,0.9998517036437988,0.9998018741607666,0.9998303651809692
43,3079,0.9991518259048462,0.9990508556365967,0.0025591037701815367,0.999133825302124,0.9992172718048096,0.9990508556365967,0.9991517066955566,,,,,,,
44,3149,,,,,,,,0.9998303651809692,0.9998018741607666,0.0006809310871176422,0.9998267889022827,0.9998517036437988,0.9998018741607666,0.9998303651809692
44,3149,0.9994910955429077,0.9994471073150635,0.0021020316053181887,0.9994803667068481,0.999513566493988,0.9994471073150635,0.9994910955429077,,,,,,,
45,3219,,,,,,,,0.9999151825904846,0.9999009370803833,0.0005081877461634576,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
45,3219,0.999321460723877,0.9992905259132385,0.0022712680511176586,0.9993070960044861,0.9993237257003784,0.9992905259132385,0.999321460723877,,,,,,,
46,3289,,,,,,,,0.9999151825904846,0.9999009370803833,0.0005127000040374696,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
46,3289,0.9994910955429077,0.9994221925735474,0.001939770532771945,0.9994802474975586,0.9995386600494385,0.9994221925735474,0.9994909763336182,,,,,,,
47,3359,,,,,,,,0.9997455477714539,0.9997028112411499,0.0005317814066074789,0.9997401237487793,0.9997776746749878,0.9997028112411499,0.9997454881668091
