epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.800000011920929,0.5,0.5796235203742981,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
0,0,0.3333333432674408,0.5,0.7011922001838684,0.25,0.1666666716337204,0.5,0.1666666716337204,,,,,,,
1,1,,,,,,,,0.800000011920929,0.5,0.48689427971839905,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
1,1,0.6666666865348816,0.5,0.6281153559684753,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342,,,,,,,
2,2,,,,,,,,0.800000011920929,0.5,0.5002503991127014,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
2,2,0.6666666865348816,0.5,0.601880669593811,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342,,,,,,,
3,3,,,,,,,,0.800000011920929,0.5,0.534286618232727,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
3,3,0.6666666865348816,0.5,0.4885607659816742,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342,,,,,,,
4,4,,,,,,,,0.800000011920929,0.5,0.6320532560348511,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
4,4,0.6666666865348816,0.5,0.41600456833839417,0.4000000059604645,0.3333333432674408,0.5,0.5333333611488342,,,,,,,
5,5,,,,,,,,0.800000011920929,0.5,0.9520505666732788,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
5,5,0.8333333134651184,0.75,0.3443550169467926,0.7777777910232544,0.8999999761581421,0.75,0.8148148655891418,,,,,,,
6,6,,,,,,,,0.800000011920929,0.5,1.342316746711731,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
6,6,0.8333333134651184,0.8125,0.2921888530254364,0.8125,0.8125,0.8125,0.8333333134651184,,,,,,,
7,7,,,,,,,,0.800000011920929,0.5,2.030533790588379,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
7,7,0.9166666865348816,0.9375,0.27363261580467224,0.9111111164093018,0.8999999761581421,0.9375,0.9185185432434082,,,,,,,
8,8,,,,,,,,0.800000011920929,0.5,3.1704838275909424,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
8,8,1.0,1.0,0.19767896831035614,1.0,1.0,1.0,1.0,,,,,,,
9,9,,,,,,,,0.800000011920929,0.5,5.173272609710693,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
9,9,1.0,1.0,0.17534023523330688,1.0,1.0,1.0,1.0,,,,,,,
10,10,,,,,,,,0.800000011920929,0.5,6.582964897155762,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
10,10,1.0,1.0,0.13049595057964325,1.0,1.0,1.0,1.0,,,,,,,
11,11,,,,,,,,0.800000011920929,0.5,6.587798118591309,0.444444477558136,0.4000000059604645,0.5,0.7111111879348755
11,11,1.0,1.0,0.11406820267438889,1.0,1.0,1.0,1.0,,,,,,,
12,12,,,,,,,,0.6000000238418579,0.375,6.686867713928223,0.375,0.375,0.375,0.6000000238418579
12,12,1.0,1.0,0.026365159079432487,1.0,1.0,1.0,1.0,,,,,,,
13,13,,,,,,,,0.6000000238418579,0.375,7.594851493835449,0.375,0.375,0.375,0.6000000238418579
13,13,1.0,1.0,0.008323343470692635,1.0,1.0,1.0,1.0,,,,,,,
14,14,,,,,,,,0.6000000238418579,0.375,10.36769962310791,0.375,0.375,0.375,0.6000000238418579
14,14,1.0,1.0,0.005056564696133137,1.0,1.0,1.0,1.0,,,,,,,
15,15,,,,,,,,0.6000000238418579,0.375,13.38116455078125,0.375,0.375,0.375,0.6000000238418579
15,15,1.0,1.0,5.06314099766314e-05,1.0,1.0,1.0,1.0,,,,,,,
16,16,,,,,,,,0.6000000238418579,0.375,16.540733337402344,0.375,0.375,0.375,0.6000000238418579
16,16,1.0,1.0,4.02322757508955e-06,1.0,1.0,1.0,1.0,,,,,,,
