epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,36,,,,,,,,0.8940870761871338,0.41693273186683655,62823.07421875,0.3809928894042969,0.37991559505462646,0.41693273186683655,0.8582105040550232
0,36,0.7434342503547668,0.31453490257263184,10083.18359375,0.29134657979011536,0.28623366355895996,0.31453490257263184,0.7741417288780212,,,,,,,
1,73,,,,,,,,0.8859649300575256,0.4057471752166748,15943.0498046875,0.40395569801330566,0.4452625513076782,0.4057471752166748,0.8823042511940002
1,73,0.8493528962135315,0.39053118228912354,1945.0975341796875,0.39323708415031433,0.4435373842716217,0.39053118228912354,0.8466811776161194,,,,,,,
2,110,,,,,,,,0.8049057722091675,0.47321200370788574,1872.094482421875,0.36517515778541565,0.38555577397346497,0.47321200370788574,0.8264847993850708
2,110,0.8738831281661987,0.46124616265296936,900.9102172851562,0.4474128186702728,0.4509870111942291,0.46124616265296936,0.8742685317993164,,,,,,,
3,147,,,,,,,,0.8273229598999023,0.4497978687286377,24719.1484375,0.4242689311504364,0.49881234765052795,0.4497978687286377,0.8374586701393127
3,147,0.8448584079742432,0.40640151500701904,1790.4200439453125,0.39873263239860535,0.41235318779945374,0.40640151500701904,0.8503197431564331,,,,,,,
4,184,,,,,,,,0.8651722073554993,0.4521305561065674,12998.76171875,0.4153135120868683,0.5012206435203552,0.4521305561065674,0.8581832051277161
4,184,0.8482157588005066,0.44388842582702637,7078.4501953125,0.43154218792915344,0.42990896105766296,0.44388842582702637,0.850513756275177,,,,,,,
5,221,,,,,,,,0.8741065859794617,0.35491740703582764,16054.2548828125,0.35467252135276794,0.4391493499279022,0.35491740703582764,0.8419622778892517
5,221,0.8483781814575195,0.4297510087490082,7572.5234375,0.4087879955768585,0.40578916668891907,0.4297510087490082,0.8518498539924622,,,,,,,
6,258,,,,,,,,0.8892138004302979,0.41628846526145935,3774.963623046875,0.38598981499671936,0.4899396598339081,0.41628846526145935,0.8617648482322693
6,258,0.8385769128799438,0.4282674789428711,9546.4658203125,0.4057408571243286,0.4201735258102417,0.4282674789428711,0.8460716605186462,,,,,,,
7,295,,,,,,,,0.8216374516487122,0.3912382125854492,12665.3837890625,0.33622702956199646,0.4534338712692261,0.3912382125854492,0.8415790796279907
7,295,0.8671684861183167,0.39221468567848206,6858.97314453125,0.40298235416412354,0.43910351395606995,0.39221468567848206,0.8652846813201904,,,,,,,
8,332,,,,,,,,0.9025341272354126,0.3997667729854584,26665.75390625,0.3413659334182739,0.38079166412353516,0.3997667729854584,0.8740462064743042
8,332,0.8453457355499268,0.42228519916534424,63595.80078125,0.40850570797920227,0.4079754054546356,0.42228519916534424,0.8515598177909851,,,,,,,
9,369,,,,,,,,0.13823911547660828,0.3230192959308624,157209.328125,0.24915476143360138,0.31221964955329895,0.3230192959308624,0.11005763709545135
9,369,0.8683598041534424,0.4305460751056671,11085.87890625,0.43549737334251404,0.45605215430259705,0.4305460751056671,0.8674993515014648,,,,,,,
10,406,,,,,,,,0.890188455581665,0.394746869802475,47654.79296875,0.362324595451355,0.5572015047073364,0.394746869802475,0.8815305233001709
10,406,0.8179996609687805,0.4006367623806,43755.51171875,0.3697414696216583,0.3613629639148712,0.4006367623806,0.8252575397491455,,,,,,,
11,443,,,,,,,,0.8898635506629944,0.38340985774993896,110282.6484375,0.3386366367340088,0.35034891963005066,0.38340985774993896,0.8615542650222778
11,443,0.8326203227043152,0.40927913784980774,55187.40234375,0.3818066120147705,0.37059780955314636,0.40927913784980774,0.8408463597297668,,,,,,,
12,480,,,,,,,,0.8819038271903992,0.4162214696407318,86502.640625,0.36430907249450684,0.3613987863063812,0.4162214696407318,0.8745839595794678
12,480,0.8756701350212097,0.41849973797798157,120103.8671875,0.4107832908630371,0.4073530435562134,0.41849973797798157,0.8754802942276001,,,,,,,
13,517,,,,,,,,0.9077323079109192,0.4285493791103363,6222.0986328125,0.4036519527435303,0.43194425106048584,0.4285493791103363,0.887885570526123
13,517,0.8690637350082397,0.4214496314525604,34306.71484375,0.41094970703125,0.41231974959373474,0.4214496314525604,0.8730525970458984,,,,,,,
14,554,,,,,,,,0.9030214548110962,0.5078220367431641,8115.4794921875,0.48585793375968933,0.5578998923301697,0.5078220367431641,0.8906834721565247
14,554,0.8796231150627136,0.4798857867717743,2549.451904296875,0.47085365653038025,0.4781045913696289,0.4798857867717743,0.8816209435462952,,,,,,,
15,591,,,,,,,,0.9117933511734009,0.5442333817481995,3513.3330078125,0.5070666670799255,0.5114638209342957,0.5442333817481995,0.9054260849952698
15,591,0.9082688093185425,0.5310012698173523,162.5095977783203,0.5271073579788208,0.5265941619873047,0.5310012698173523,0.9078941345214844,,,,,,,
16,628,,,,,,,,0.9137426614761353,0.5325936675071716,4538.2236328125,0.47233128547668457,0.5275293588638306,0.5325936675071716,0.9091570377349854
16,628,0.9234309792518616,0.5852568745613098,86.425048828125,0.5827043652534485,0.5828691720962524,0.5852568745613098,0.9237971901893616,,,,,,,
17,665,,,,,,,,0.9082196354866028,0.5610294342041016,5471.123046875,0.4779789447784424,0.4915062487125397,0.5610294342041016,0.908746063709259
17,665,0.9196404218673706,0.5473587512969971,71.0076904296875,0.5424278378486633,0.5390557050704956,0.5473587512969971,0.9204163551330566,,,,,,,
