epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,17,,,,,,,,0.7534381151199341,0.7754693031311035,0.4932321608066559,0.7501375675201416,0.8076778650283813,0.7754693031311035,0.7469781637191772
0,17,0.6717982292175293,0.6569817066192627,0.5940878391265869,0.6570879220962524,0.6709424257278442,0.6569817066192627,0.6648812294006348,,,,,,,
1,35,,,,,,,,0.9040602445602417,0.9095580577850342,0.24111473560333252,0.9038188457489014,0.9046396613121033,0.9095580577850342,0.9043489694595337
1,35,0.8437602519989014,0.8499444127082825,0.3486870229244232,0.8435471653938293,0.8461776971817017,0.8499444127082825,0.844180703163147,,,,,,,
2,53,,,,,,,,0.9882121682167053,0.9879218935966492,0.039767537266016006,0.9880642890930176,0.988210141658783,0.9879218935966492,0.9882104396820068
2,53,0.9519598484039307,0.9529750347137451,0.12617482244968414,0.9515193700790405,0.9504696130752563,0.9529750347137451,0.9520263671875,,,,,,,
3,71,,,,,,,,0.9980353713035583,0.9981571435928345,0.006525739561766386,0.9980118870735168,0.997870147228241,0.9981571435928345,0.9980356693267822
3,71,0.9924664497375488,0.9923139810562134,0.021936004981398582,0.9923737049102783,0.992434024810791,0.9923139810562134,0.9924659729003906,,,,,,,
4,89,,,,,,,,0.9970530271530151,0.9969075322151184,0.011357012204825878,0.9970163106918335,0.9971270561218262,0.9969075322151184,0.9970527291297913
4,89,0.9973796010017395,0.9973719120025635,0.005837759468704462,0.9973478317260742,0.997323751449585,0.9973719120025635,0.997379720211029,,,,,,,
5,107,,,,,,,,0.9970530271530151,0.996688723564148,0.011205896735191345,0.9970149993896484,0.9973591566085815,0.996688723564148,0.9970520734786987
5,107,0.9984714388847351,0.9984285831451416,0.00397521024569869,0.9984527230262756,0.9984769821166992,0.9984285831451416,0.9984714388847351,,,,,,,
6,125,,,,,,,,0.9973804950714111,0.9970566630363464,0.004940295126289129,0.9973467588424683,0.997651219367981,0.9970566630363464,0.9973796606063843
6,125,0.9993448853492737,0.9993126392364502,0.0017671367386355996,0.9993368983268738,0.9993612170219421,0.9993126392364502,0.9993448853492737,,,,,,,
7,143,,,,,,,,0.9967256188392639,0.9965395927429199,0.011903404258191586,0.9966844320297241,0.9968329668045044,0.9965395927429199,0.9967250823974609
7,143,0.9979255199432373,0.9979366064071655,0.0057657803408801556,0.9979003667831421,0.9978643655776978,0.9979366064071655,0.9979255795478821,,,,,,,
