epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,17,,,,,,,,0.10013670474290848,0.10013670474290848,2.397763967514038,0.05097142234444618,0.04642662778496742,0.10013670474290848,0.050971418619155884
0,17,0.08877492696046829,0.08879046887159348,2.4544599056243896,0.07898903638124466,0.08964181691408157,0.08879046887159348,0.07898373901844025,,,,,,,
1,35,,,,,,,,0.07894736528396606,0.07894736528396606,2.3936057090759277,0.03601846471428871,0.04491691291332245,0.07894736528396606,0.03601846843957901
1,35,0.08660968393087387,0.08660981804132462,2.39768385887146,0.05024958774447441,0.07622017711400986,0.08660981804132462,0.050250906497240067,,,,,,,
2,53,,,,,,,,0.18899521231651306,0.18899521231651306,2.2877135276794434,0.12154669314622879,0.11118745058774948,0.18899521231651306,0.1215466856956482
2,53,0.1367521435022354,0.13675600290298462,2.361206531524658,0.08447951823472977,0.08652562648057938,0.13675600290298462,0.084483802318573,,,,,,,
3,71,,,,,,,,0.27751195430755615,0.27751195430755615,1.828751802444458,0.20929689705371857,0.23849210143089294,0.27751195430755615,0.20929689705371857
3,71,0.2224501371383667,0.22249358892440796,2.0870277881622314,0.14828982949256897,0.17329753935337067,0.22249358892440796,0.14827772974967957,,,,,,,
4,89,,,,,,,,0.3229665160179138,0.32296648621559143,1.8026667833328247,0.21228989958763123,0.2026219218969345,0.32296648621559143,0.21228988468647003
4,89,0.2337321937084198,0.23375867307186127,2.024233102798462,0.2041432410478592,0.19780343770980835,0.23375867307186127,0.20412607491016388,,,,,,,
5,107,,,,,,,,0.38311687111854553,0.38311684131622314,1.5717246532440186,0.3377041518688202,0.3664332330226898,0.38311684131622314,0.3377041220664978
5,107,0.3622792065143585,0.36234477162361145,1.5788511037826538,0.3275777995586395,0.3291414976119995,0.36234477162361145,0.3275240659713745,,,,,,,
6,125,,,,,,,,0.4494189918041229,0.4494189918041229,1.2496315240859985,0.40576693415641785,0.4287014901638031,0.4494189918041229,0.40576696395874023
6,125,0.4188034236431122,0.4188561737537384,1.35126531124115,0.4120706617832184,0.411772757768631,0.4188561737537384,0.4120193123817444,,,,,,,
7,143,,,,,,,,0.21872864663600922,0.21872864663600922,2.649794340133667,0.18425112962722778,0.20212219655513763,0.21872864663600922,0.18425112962722778
7,143,0.5243304967880249,0.5243721604347229,1.0790776014328003,0.5186131000518799,0.5178467631340027,0.5243721604347229,0.5185703635215759,,,,,,,
8,161,,,,,,,,0.5358851552009583,0.5358851552009583,1.0605324506759644,0.47064533829689026,0.5245850086212158,0.5358851552009583,0.47064536809921265
8,161,0.4588034152984619,0.4588399827480316,1.3068355321884155,0.45226287841796875,0.453584760427475,0.4588399827480316,0.45222076773643494,,,,,,,
9,179,,,,,,,,0.5225563645362854,0.5225563645362854,0.992944598197937,0.4873521029949188,0.5108700394630432,0.5225563645362854,0.4873521327972412
9,179,0.5590882897377014,0.559133768081665,0.9795404672622681,0.5513041019439697,0.5502637624740601,0.559133768081665,0.5512606501579285,,,,,,,
10,197,,,,,,,,0.5533151030540466,0.5533151030540466,0.9230837821960449,0.50496906042099,0.5420005917549133,0.5533151030540466,0.50496906042099
10,197,0.5577207803726196,0.5577598214149475,0.9656293392181396,0.5529481768608093,0.5522874593734741,0.5577598214149475,0.5529056787490845,,,,,,,
11,215,,,,,,,,0.48735475540161133,0.4873547852039337,1.1831854581832886,0.46068426966667175,0.5107656717300415,0.4873547852039337,0.46068423986434937
11,215,0.5594301819801331,0.559471845626831,0.9162065386772156,0.5548359751701355,0.5544052720069885,0.559471845626831,0.5547911524772644,,,,,,,
12,233,,,,,,,,0.5331510305404663,0.5331510901451111,1.0633927583694458,0.49402284622192383,0.5405953526496887,0.5331510901451111,0.49402284622192383
