epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.6734693646430969,0.5,0.6715433597564697,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
0,0,0.6689655184745789,0.5,0.687469482421875,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
1,1,,,,,,,,0.6734693646430969,0.5,0.6583382487297058,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
1,1,0.6689655184745789,0.5,0.6717257499694824,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
2,2,,,,,,,,0.6734693646430969,0.5,0.6453136801719666,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
2,2,0.6689655184745789,0.5,0.6578019857406616,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
3,3,,,,,,,,0.6734693646430969,0.5,0.6317681670188904,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
3,3,0.6689655184745789,0.5,0.643832266330719,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
4,4,,,,,,,,0.6734693646430969,0.5,0.6183407306671143,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
4,4,0.6689655184745789,0.5,0.6287435293197632,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
5,5,,,,,,,,0.6734693646430969,0.5,0.6064453721046448,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
5,5,0.6689655184745789,0.5,0.6126178503036499,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
6,6,,,,,,,,0.6734693646430969,0.5,0.5963220596313477,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
6,6,0.6689655184745789,0.5,0.5965054035186768,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
7,7,,,,,,,,0.6734693646430969,0.5,0.5830977559089661,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
7,7,0.6689655184745789,0.5,0.5805267095565796,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
8,8,,,,,,,,0.6734693646430969,0.5,0.5609329342842102,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
8,8,0.6689655184745789,0.5,0.5607619285583496,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
9,9,,,,,,,,0.6734693646430969,0.5,0.5314028859138489,0.40243902802467346,0.33673468232154846,0.5,0.5420607328414917
9,9,0.6689655184745789,0.5,0.5342580080032349,0.40082642436027527,0.33448275923728943,0.5,0.5362780690193176,,,,,,,
10,10,,,,,,,,0.7142856121063232,0.5625,0.5004593729972839,0.5236110687255859,0.8510638475418091,0.5625,0.6281745433807373
10,10,0.6896551847457886,0.53125,0.5045314431190491,0.4646812975406647,0.841549277305603,0.53125,0.5819549560546875,,,,,,,
11,11,,,,,,,,0.7346938848495483,0.59375,0.47114795446395874,0.5756162405014038,0.8586956262588501,0.59375,0.6657602787017822
11,11,0.7655172348022461,0.6458333134651184,0.4766071140766144,0.6512449979782104,0.8702290058135986,0.6458333134651184,0.7187069058418274,,,,,,,
12,12,,,,,,,,0.795918345451355,0.6875,0.4466622471809387,0.7069377899169922,0.8837209343910217,0.6875,0.7629626393318176
12,12,0.8137931227684021,0.724012017250061,0.44813743233680725,0.7482153177261353,0.8717035055160522,0.724012017250061,0.7916383743286133,,,,,,,
13,13,,,,,,,,0.8163265585899353,0.71875,0.4353484809398651,0.7443478107452393,0.8928571343421936,0.71875,0.7914108037948608
13,13,0.834482729434967,0.755262017250061,0.41612380743026733,0.7822822332382202,0.884130597114563,0.755262017250061,0.8183079361915588,,,,,,,
14,14,,,,,,,,0.8367345929145813,0.75,0.4251737892627716,0.7792792916297913,0.9024389982223511,0.75,0.8183489441871643
14,14,0.8689655065536499,0.8073453903198242,0.3880983293056488,0.8347231149673462,0.9049235582351685,0.8073453903198242,0.8601454496383667,,,,,,,
15,15,,,,,,,,0.8367345929145813,0.75,0.40133553743362427,0.7792792916297913,0.9024389982223511,0.75,0.8183489441871643
15,15,0.8689655065536499,0.8178694248199463,0.36338523030281067,0.8396484851837158,0.8844156265258789,0.8178694248199463,0.8628184199333191,,,,,,,
16,16,,,,,,,,0.8367345929145813,0.7660984992980957,0.3793941140174866,0.7905982732772827,0.8602564334869385,0.7660984992980957,0.8246991634368896
16,16,0.882758617401123,0.8439648151397705,0.3373766541481018,0.8604269623756409,0.8873971700668335,0.8439648151397705,0.8792934417724609,,,,,,,
