epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.1428571492433548,0.5,0.7550713419914246,0.125,0.0714285746216774,0.5,0.0357142873108387
0,0,,,,,,,,0.47999998927116394,0.5,0.6924580335617065,0.3243243098258972,0.23999999463558197,0.5,0.31135132908821106,,,,,,,
1,1,,,,,,,,,,,,,,,0.7142857313156128,0.8333333730697632,0.642647385597229,0.6499999761581421,0.6666666865348816,0.8333333730697632,0.7571429014205933
1,1,,,,,,,,0.5199999809265137,0.5,0.6679067015647888,0.34210526943206787,0.25999999046325684,0.5,0.3557894825935364,,,,,,,
2,2,,,,,,,,,,,,,,,1.0,1.0,0.4115057587623596,1.0,1.0,1.0,1.0
2,2,,,,,,,,0.8399999737739563,0.8333333730697632,0.5426879525184631,0.8333333730697632,0.8823529481887817,0.8333333730697632,0.8346666693687439,,,,,,,
3,3,,,,,,,,,,,,,,,1.0,1.0,0.1410081833600998,1.0,1.0,1.0,1.0
3,3,,,,,,,,0.8799999952316284,0.8782051205635071,0.3468742072582245,0.8792270421981812,0.8831169009208679,0.8782051205635071,0.8796135187149048,,,,,,,
4,4,,,,,,,,,,,,,,,1.0,1.0,0.013934756629168987,1.0,1.0,1.0,1.0
4,4,,,,,,,,0.9599999785423279,0.9615384340286255,0.1675984263420105,0.9600000381469727,0.9615384340286255,0.9615384340286255,0.9600000381469727,,,,,,,
5,5,,,,,,,,,,,,,,,0.8571429252624512,0.9166666269302368,0.12776434421539307,0.7878788113594055,0.75,0.9166666269302368,0.8744588494300842
5,5,,,,,,,,0.9599999785423279,0.9615384340286255,0.06427816301584244,0.9600000381469727,0.9615384340286255,0.9615384340286255,0.9600000381469727,,,,,,,
6,6,,,,,,,,,,,,,,,1.0,1.0,5.8697103668237105e-05,1.0,1.0,1.0,1.0
6,6,,,,,,,,0.9599999785423279,0.9583333730697632,0.19136428833007812,0.9597423076629639,0.9642857313156128,0.9583333730697632,0.9598711729049683,,,,,,,
7,7,,,,,,,,,,,,,,,1.0,1.0,1.6603786207269877e-05,1.0,1.0,1.0,1.0
7,7,,,,,,,,0.9599999785423279,0.9615384340286255,0.22608493268489838,0.9600000381469727,0.9615384340286255,0.9615384340286255,0.9600000381469727,,,,,,,
8,8,,,,,,,,,,,,,,,1.0,1.0,3.8059715734561905e-05,1.0,1.0,1.0,1.0
8,8,,,,,,,,0.9599999785423279,0.9615384340286255,0.037196479737758636,0.9600000381469727,0.9615384340286255,0.9615384340286255,0.9600000381469727,,,,,,,
9,9,,,,,,,,,,,,,,,1.0,1.0,9.904712351271883e-05,1.0,1.0,1.0,1.0
9,9,,,,,,,,1.0,1.0,0.0011549708433449268,1.0,1.0,1.0,1.0,,,,,,,
10,10,,,,,,,,,,,,,,,1.0,1.0,8.038019586820155e-06,1.0,1.0,1.0,1.0
10,10,,,,,,,,0.9599999785423279,0.9583333730697632,0.2776991128921509,0.9597423076629639,0.9642857313156128,0.9583333730697632,0.9598711729049683,,,,,,,
11,11,,,,,,,,,,,,,,,1.0,1.0,6.301056600932498e-07,1.0,1.0,1.0,1.0
11,11,,,,,,,,1.0,1.0,0.009249935857951641,1.0,1.0,1.0,1.0,,,,,,,
12,12,,,,,,,,,,,,,,,1.0,1.0,5.108969247658024e-08,1.0,1.0,1.0,1.0
12,12,,,,,,,,1.0,1.0,0.0006043304456397891,1.0,1.0,1.0,1.0,,,,,,,
13,13,,,,,,,,,,,,,,,1.0,1.0,5.108969247658024e-08,1.0,1.0,1.0,1.0
13,13,,,,,,,,0.9599999785423279,0.9615384340286255,0.03542652353644371,0.9600000381469727,0.9615384340286255,0.9615384340286255,0.9600000381469727,,,,,,,
14,14,,,,,,,,,,,,,,,1.0,1.0,1.5326905611345865e-07,1.0,1.0,1.0,1.0
14,14,,,,,,,,1.0,1.0,0.009526487439870834,1.0,1.0,1.0,1.0,,,,,,,
15,15,,,,,,,,,,,,,,,1.0,1.0,4.2574720282573253e-07,1.0,1.0,1.0,1.0
15,15,,,,,,,,1.0,1.0,3.0977655114838853e-05,1.0,1.0,1.0,1.0,,,,,,,
16,16,,,,,,,,,,,,,,,1.0,1.0,1.3283284943099716e-06,1.0,1.0,1.0,1.0
16,16,,,,,,,,1.0,1.0,7.676739187445492e-06,1.0,1.0,1.0,1.0,,,,,,,
17,17,,,,,,,,,,,,,,,1.0,1.0,4.529898887994932e-06,1.0,1.0,1.0,1.0
17,17,,,,,,,,1.0,1.0,1.0933585144812241e-05,1.0,1.0,1.0,1.0,,,,,,,
18,18,,,,,,,,,,,,,,,1.0,1.0,1.6705476809875108e-05,1.0,1.0,1.0,1.0
18,18,,,,,,,,1.0,1.0,8.780386269791052e-05,1.0,1.0,1.0,1.0,,,,,,,
19,19,,,,,,,,,,,,,,,1.0,1.0,1.1920892575290054e-06,1.0,1.0,1.0,1.0
19,19,,,,,,,,0.9599999785423279,0.9583333730697632,0.045854318886995316,0.9597423076629639,0.9642857313156128,0.9583333730697632,0.9598711729049683,,,,,,,
20,20,,,,,,,,,,,,,,,1.0,1.0,1.3623915151583788e-07,1.0,1.0,1.0,1.0
20,20,,,,,,,,1.0,1.0,2.3126383439375786e-06,1.0,1.0,1.0,1.0,,,,,,,
21,21,,,,,,,,,,,,,,,1.0,1.0,1.7029897492193413e-08,1.0,1.0,1.0,1.0
21,21,,,,,,,,1.0,1.0,2.5212415494024754e-05,1.0,1.0,1.0,1.0,,,,,,,
22,22,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0
22,22,,,,,,,,1.0,1.0,1.1776851351896767e-05,1.0,1.0,1.0,1.0,,,,,,,
23,23,,,,,,,,,,,,,,,1.0,1.0,5.108969247658024e-08,1.0,1.0,1.0,1.0
23,23,,,,,,,,0.9599999785423279,0.9615384340286255,0.16637474298477173,0.9600000381469727,0.9615384340286255,0.9615384340286255,0.9600000381469727,,,,,,,
24,24,,,,,,,,,,,,,,,1.0,1.0,4.76836760299193e-07,1.0,1.0,1.0,1.0
24,24,,,,,,,,1.0,1.0,2.2172389435581863e-06,1.0,1.0,1.0,1.0,,,,,,,
