epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,9,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.01835698075592518,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
0,9,,,,,,,,0.9742187261581421,0.9115771055221558,0.10265035927295685,0.9008913636207581,0.890846848487854,0.9115771055221558,0.9745517373085022,,,,,,,
1,19,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.011597337201237679,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
1,19,,,,,,,,0.999218761920929,0.9942528605461121,0.007113938219845295,0.9969003796577454,0.9995812177658081,0.9942528605461121,0.9992166757583618,,,,,,,
2,29,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.004939268343150616,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
2,29,,,,,,,,0.999218761920929,0.9969168901443481,0.00360676646232605,0.9969168901443481,0.9969168901443481,0.9969168901443481,0.999218761920929,,,,,,,
3,39,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.0067913769744336605,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
3,39,,,,,,,,0.9996093511581421,0.9971264600753784,0.00269629480317235,0.9984542727470398,0.9997905492782593,0.9971264600753784,0.9996088147163391,,,,,,,
4,49,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.0037634014151990414,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
4,49,,,,,,,,0.9996093511581421,0.9997904300689697,0.0016598694492131472,0.9984625577926636,0.9971428513526917,0.9997904300689697,0.9996098279953003,,,,,,,
5,59,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.008318021893501282,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
5,59,,,,,,,,0.9996093511581421,0.9971264600753784,0.00311665260232985,0.9984542727470398,0.9997905492782593,0.9971264600753784,0.9996088147163391,,,,,,,
6,69,,,,,,,,,,,,,,,0.995312511920929,0.9975124597549438,0.018594074994325638,0.9792726039886475,0.9624999761581421,0.9975124597549438,0.9953978657722473
6,69,,,,,,,,0.999218761920929,0.9969168901443481,0.002190887462347746,0.9969168901443481,0.9969168901443481,0.9969168901443481,0.999218761920929,,,,,,,
7,79,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.0036593552213162184,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
7,79,,,,,,,,0.9996093511581421,0.9971264600753784,0.0011010175803676248,0.9984542727470398,0.9997905492782593,0.9971264600753784,0.9996088147163391,,,,,,,
8,89,,,,,,,,,,,,,,,0.995312511920929,0.9975124597549438,0.006805679760873318,0.9792726039886475,0.9624999761581421,0.9975124597549438,0.9953978657722473
8,89,,,,,,,,0.999218761920929,0.9969168901443481,0.0017555527156218886,0.9969168901443481,0.9969168901443481,0.9969168901443481,0.999218761920929,,,,,,,
9,99,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.007390069775283337,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
9,99,,,,,,,,1.0,1.0,0.00015199807239696383,1.0,1.0,1.0,1.0,,,,,,,
10,109,,,,,,,,,,,,,,,0.9984375238418579,0.9864864945411682,0.008407002314925194,0.9927363991737366,0.9991722106933594,0.9864864945411682,0.9984273910522461
10,109,,,,,,,,0.9996093511581421,0.9971264600753784,0.002691668923944235,0.9984542727470398,0.9997905492782593,0.9971264600753784,0.9996088147163391,,,,,,,
