epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,3,,,,,,,,,,,,,,,0.662162184715271,0.25,0.8678032159805298,0.1991869956254959,0.16554054617881775,0.25,0.5275763869285583
0,3,,,,,,,,0.598416268825531,0.22724124789237976,1.1390317678451538,0.20600073039531708,0.23284068703651428,0.22724124789237976,0.5463924407958984,,,,,,,
1,7,,,,,,,,,,,,,,,0.684684693813324,0.27314814925193787,0.7270486950874329,0.24429595470428467,0.4193548560142517,0.27314814925193787,0.5760509967803955
1,7,,,,,,,,0.7104072570800781,0.25,0.7290980815887451,0.20767195522785187,0.17760181427001953,0.25,0.590126633644104,,,,,,,
2,11,,,,,,,,,,,,,,,0.8468468189239502,0.454459547996521,0.6339737772941589,0.4215969443321228,0.3963888883590698,0.454459547996521,0.8107848167419434
2,11,,,,,,,,0.7850678563117981,0.3504014015197754,0.595965564250946,0.34531348943710327,0.34772801399230957,0.3504014015197754,0.7419425249099731,,,,,,,
3,15,,,,,,,,,,,,,,,0.7972972989082336,0.3918178379535675,0.5517669320106506,0.37587249279022217,0.3622027635574341,0.3918178379535675,0.7528160810470581
3,15,,,,,,,,0.8585972785949707,0.44498077034950256,0.5065223574638367,0.4170638918876648,0.3952487111091614,0.44498077034950256,0.8317276239395142,,,,,,,
4,19,,,,,,,,,,,,,,,0.824324369430542,0.4195955991744995,0.4575655460357666,0.3992006778717041,0.3807060420513153,0.4195955991744995,0.7830060720443726
4,19,,,,,,,,0.8235294222831726,0.38834428787231445,0.43800896406173706,0.37842869758605957,0.3701668679714203,0.38834428787231445,0.7878663539886475,,,,,,,
5,23,,,,,,,,,,,,,,,0.869369387626648,0.5308484435081482,0.3834731876850128,0.5344099998474121,0.6593047976493835,0.5308484435081482,0.8417535424232483
5,23,,,,,,,,0.8642534017562866,0.46488824486732483,0.35794395208358765,0.4599864184856415,0.6484069228172302,0.46488824486732483,0.8400024771690369,,,,,,,
6,27,,,,,,,,,,,,,,,0.9099099040031433,0.6939011812210083,0.33130377531051636,0.6731181144714355,0.6549162864685059,0.6939011812210083,0.8841037750244141
6,27,,,,,,,,0.9038461446762085,0.6736852526664734,0.3084252178668976,0.6345822811126709,0.6038483381271362,0.6736852526664734,0.8915960788726807,,,,,,,
