epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,2,,,,,,,,,,,,,,,0.8058823347091675,0.5147058963775635,0.33532488346099854,0.4744730591773987,0.9023668766021729,0.5147058963775635,0.7248712182044983
0,2,,,,,,,,0.6961652040481567,0.4755997955799103,0.5975390672683716,0.45693352818489075,0.4559468626976013,0.4755997955799103,0.6536350250244141,,,,,,,
1,5,,,,,,,,,,,,,,,0.9352940917015076,0.8382352590560913,0.17034587264060974,0.8840741515159607,0.9625850319862366,0.8382352590560913,0.9303081035614014
1,5,,,,,,,,0.8952802419662476,0.7946985960006714,0.32882583141326904,0.8305733799934387,0.8952630162239075,0.7946985960006714,0.8877130746841431,,,,,,,
2,8,,,,,,,,,,,,,,,0.9941176176071167,0.9852941036224365,0.08694729954004288,0.9907058477401733,0.9963504076004028,0.9852941036224365,0.9940845370292664
2,8,,,,,,,,0.9144542813301086,0.8116883039474487,0.1671937257051468,0.8577793836593628,0.9501718282699585,0.8116883039474487,0.9067739844322205,,,,,,,
3,11,,,,,,,,,,,,,,,1.0,1.0,0.045735858380794525,1.0,1.0,1.0,1.0
3,11,,,,,,,,1.0,1.0,0.08772570639848709,1.0,1.0,1.0,1.0,,,,,,,
4,14,,,,,,,,,,,,,,,1.0,1.0,0.026641178876161575,1.0,1.0,1.0,1.0
4,14,,,,,,,,1.0,1.0,0.03575251251459122,1.0,1.0,1.0,1.0,,,,,,,
5,17,,,,,,,,,,,,,,,1.0,1.0,0.004455919377505779,1.0,1.0,1.0,1.0
5,17,,,,,,,,1.0,1.0,0.02335943654179573,1.0,1.0,1.0,1.0,,,,,,,
6,20,,,,,,,,,,,,,,,1.0,1.0,0.004300032742321491,1.0,1.0,1.0,1.0
6,20,,,,,,,,1.0,1.0,0.004517152905464172,1.0,1.0,1.0,1.0,,,,,,,
7,23,,,,,,,,,,,,,,,1.0,1.0,0.0019416383001953363,1.0,1.0,1.0,1.0
7,23,,,,,,,,1.0,1.0,0.005070242565125227,1.0,1.0,1.0,1.0,,,,,,,
8,26,,,,,,,,,,,,,,,1.0,1.0,0.0003111832484137267,1.0,1.0,1.0,1.0
8,26,,,,,,,,1.0,1.0,0.0016415794380009174,1.0,1.0,1.0,1.0,,,,,,,
9,29,,,,,,,,,,,,,,,1.0,1.0,9.011045767692849e-05,1.0,1.0,1.0,1.0
9,29,,,,,,,,1.0,1.0,0.0002670898975338787,1.0,1.0,1.0,1.0,,,,,,,
10,32,,,,,,,,,,,,,,,1.0,1.0,9.564369247527793e-05,1.0,1.0,1.0,1.0
10,32,,,,,,,,1.0,1.0,9.111282997764647e-05,1.0,1.0,1.0,1.0,,,,,,,
11,35,,,,,,,,,,,,,,,1.0,1.0,0.00013751363439951092,1.0,1.0,1.0,1.0
11,35,,,,,,,,1.0,1.0,0.00010113183816429228,1.0,1.0,1.0,1.0,,,,,,,
12,38,,,,,,,,,,,,,,,1.0,1.0,0.0001656817039474845,1.0,1.0,1.0,1.0
12,38,,,,,,,,1.0,1.0,0.00012940830492880195,1.0,1.0,1.0,1.0,,,,,,,
13,41,,,,,,,,,,,,,,,1.0,1.0,0.000155686866492033,1.0,1.0,1.0,1.0
13,41,,,,,,,,1.0,1.0,0.00014135660603642464,1.0,1.0,1.0,1.0,,,,,,,
14,44,,,,,,,,,,,,,,,1.0,1.0,0.00011879733938258141,1.0,1.0,1.0,1.0
14,44,,,,,,,,1.0,1.0,0.00012282242823857814,1.0,1.0,1.0,1.0,,,,,,,
15,47,,,,,,,,,,,,,,,1.0,1.0,7.888444815762341e-05,1.0,1.0,1.0,1.0
15,47,,,,,,,,1.0,1.0,9.007701009977609e-05,1.0,1.0,1.0,1.0,,,,,,,
16,50,,,,,,,,,,,,,,,1.0,1.0,5.0231821660418063e-05,1.0,1.0,1.0,1.0
16,50,,,,,,,,1.0,1.0,5.894963760511018e-05,1.0,1.0,1.0,1.0,,,,,,,
17,53,,,,,,,,,,,,,,,1.0,1.0,3.258925426052883e-05,1.0,1.0,1.0,1.0
17,53,,,,,,,,1.0,1.0,3.811548958765343e-05,1.0,1.0,1.0,1.0,,,,,,,
18,56,,,,,,,,,,,,,,,1.0,1.0,2.2130725483293645e-05,1.0,1.0,1.0,1.0
18,56,,,,,,,,1.0,1.0,2.605946792755276e-05,1.0,1.0,1.0,1.0,,,,,,,
19,59,,,,,,,,,,,,,,,1.0,1.0,1.6063753719208762e-05,1.0,1.0,1.0,1.0
19,59,,,,,,,,1.0,1.0,1.798925040930044e-05,1.0,1.0,1.0,1.0,,,,,,,
20,62,,,,,,,,,,,,,,,1.0,1.0,1.2423599400790408e-05,1.0,1.0,1.0,1.0
20,62,,,,,,,,1.0,1.0,1.3488751392287668e-05,1.0,1.0,1.0,1.0,,,,,,,
21,65,,,,,,,,,,,,,,,1.0,1.0,1.0186272447754163e-05,1.0,1.0,1.0,1.0
21,65,,,,,,,,1.0,1.0,1.0560973350948188e-05,1.0,1.0,1.0,1.0,,,,,,,
22,68,,,,,,,,,,,,,,,1.0,1.0,8.756622264627367e-06,1.0,1.0,1.0,1.0
22,68,,,,,,,,1.0,1.0,8.90011688170489e-06,1.0,1.0,1.0,1.0,,,,,,,
23,71,,,,,,,,,,,,,,,1.0,1.0,7.817063305992633e-06,1.0,1.0,1.0,1.0
23,71,,,,,,,,1.0,1.0,7.915757123555522e-06,1.0,1.0,1.0,1.0,,,,,,,
24,74,,,,,,,,,,,,,,,1.0,1.0,7.197929335234221e-06,1.0,1.0,1.0,1.0
24,74,,,,,,,,1.0,1.0,7.249608643178362e-06,1.0,1.0,1.0,1.0,,,,,,,
25,77,,,,,,,,,,,,,,,1.0,1.0,6.791950454498874e-06,1.0,1.0,1.0,1.0
25,77,,,,,,,,1.0,1.0,6.8077933974564075e-06,1.0,1.0,1.0,1.0,,,,,,,
26,80,,,,,,,,,,,,,,,1.0,1.0,6.539527930726763e-06,1.0,1.0,1.0,1.0
26,80,,,,,,,,1.0,1.0,6.517527708638227e-06,1.0,1.0,1.0,1.0,,,,,,,
27,83,,,,,,,,,,,,,,,1.0,1.0,6.3845718614174984e-06,1.0,1.0,1.0,1.0
27,83,,,,,,,,1.0,1.0,6.351388037728611e-06,1.0,1.0,1.0,1.0,,,,,,,
28,86,,,,,,,,,,,,,,,1.0,1.0,6.301836037891917e-06,1.0,1.0,1.0,1.0
28,86,,,,,,,,1.0,1.0,6.275439773162361e-06,1.0,1.0,1.0,1.0,,,,,,,
29,89,,,,,,,,,,,,,,,1.0,1.0,6.271690381254302e-06,1.0,1.0,1.0,1.0
29,89,,,,,,,,1.0,1.0,6.2455551415041555e-06,1.0,1.0,1.0,1.0,,,,,,,
30,92,,,,,,,,,,,,,,,1.0,1.0,6.277304692048347e-06,1.0,1.0,1.0,1.0
30,92,,,,,,,,1.0,1.0,6.2794920268061105e-06,1.0,1.0,1.0,1.0,,,,,,,
31,95,,,,,,,,,,,,,,,1.0,1.0,6.3193811001838185e-06,1.0,1.0,1.0,1.0
31,95,,,,,,,,1.0,1.0,6.326615675789071e-06,1.0,1.0,1.0,1.0,,,,,,,
32,98,,,,,,,,,,,,,,,1.0,1.0,6.377584213623777e-06,1.0,1.0,1.0,1.0
32,98,,,,,,,,1.0,1.0,6.402749477274483e-06,1.0,1.0,1.0,1.0,,,,,,,
33,101,,,,,,,,,,,,,,,1.0,1.0,6.459628821176011e-06,1.0,1.0,1.0,1.0
33,101,,,,,,,,1.0,1.0,6.503496933873976e-06,1.0,1.0,1.0,1.0,,,,,,,
34,104,,,,,,,,,,,,,,,1.0,1.0,6.554996161867166e-06,1.0,1.0,1.0,1.0
34,104,,,,,,,,1.0,1.0,6.614969151996775e-06,1.0,1.0,1.0,1.0,,,,,,,
35,107,,,,,,,,,,,,,,,1.0,1.0,6.660179678874556e-06,1.0,1.0,1.0,1.0
35,107,,,,,,,,1.0,1.0,6.744374331901781e-06,1.0,1.0,1.0,1.0,,,,,,,
36,110,,,,,,,,,,,,,,,1.0,1.0,6.773776931368047e-06,1.0,1.0,1.0,1.0
36,110,,,,,,,,1.0,1.0,6.87905412632972e-06,1.0,1.0,1.0,1.0,,,,,,,
37,113,,,,,,,,,,,,,,,1.0,1.0,6.904203928570496e-06,1.0,1.0,1.0,1.0
37,113,,,,,,,,1.0,1.0,7.023405942163663e-06,1.0,1.0,1.0,1.0,,,,,,,
38,116,,,,,,,,,,,,,,,1.0,1.0,7.036032002361026e-06,1.0,1.0,1.0,1.0
38,116,,,,,,,,1.0,1.0,7.17601915312116e-06,1.0,1.0,1.0,1.0,,,,,,,
39,119,,,,,,,,,,,,,,,1.0,1.0,7.177677616709843e-06,1.0,1.0,1.0,1.0
39,119,,,,,,,,1.0,1.0,7.339533567574108e-06,1.0,1.0,1.0,1.0,,,,,,,
40,122,,,,,,,,,,,,,,,1.0,1.0,7.318622465390945e-06,1.0,1.0,1.0,1.0
40,122,,,,,,,,1.0,1.0,7.505683697672794e-06,1.0,1.0,1.0,1.0,,,,,,,
41,125,,,,,,,,,,,,,,,1.0,1.0,7.472889137716265e-06,1.0,1.0,1.0,1.0
41,125,,,,,,,,1.0,1.0,7.682385330554098e-06,1.0,1.0,1.0,1.0,,,,,,,
42,128,,,,,,,,,,,,,,,1.0,1.0,7.627857939951355e-06,1.0,1.0,1.0,1.0
42,128,,,,,,,,1.0,1.0,7.850469955883455e-06,1.0,1.0,1.0,1.0,,,,,,,
43,131,,,,,,,,,,,,,,,1.0,1.0,7.786332389514428e-06,1.0,1.0,1.0,1.0
43,131,,,,,,,,1.0,1.0,8.040182365220971e-06,1.0,1.0,1.0,1.0,,,,,,,
44,134,,,,,,,,,,,,,,,1.0,1.0,7.953221029310953e-06,1.0,1.0,1.0,1.0
44,134,,,,,,,,1.0,1.0,8.224794328270946e-06,1.0,1.0,1.0,1.0,,,,,,,
45,135,1.0,1.0,6.1380242186714895e-06,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
