epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,25,,,,,,,,,,,,,,,0.9626280665397644,0.934023916721344,0.09298545122146606,0.9345079064369202,0.9352676272392273,0.934023916721344,0.9626579880714417
0,25,,,,,,,,0.8884534239768982,0.7634841799736023,0.2926603853702545,0.7626766562461853,0.761989414691925,0.7634841799736023,0.889074444770813,,,,,,,
1,51,,,,,,,,,,,,,,,0.9897528886795044,0.9657766819000244,0.03431597352027893,0.97819584608078,0.9923903346061707,0.9657766819000244,0.9896899461746216
1,51,,,,,,,,0.9822128415107727,0.9514769315719604,0.051045604050159454,0.9514656066894531,0.9514551162719727,0.9514769315719604,0.9822095036506653,,,,,,,
2,77,,,,,,,,,,,,,,,0.9993972182273865,0.9995020031929016,0.0062990933656692505,0.9995288848876953,0.9995567202568054,0.9995020031929016,0.9993972182273865
2,77,,,,,,,,0.9954778552055359,0.982578694820404,0.015555322170257568,0.9859063625335693,0.9893531203269958,0.982578694820404,0.9954653382301331,,,,,,,
3,103,,,,,,,,,,,,,,,1.0,1.0,0.0015273579629138112,1.0,1.0,1.0,1.0
3,103,,,,,,,,0.999849259853363,0.9984939694404602,0.0022856038995087147,0.9991869926452637,0.9998846650123596,0.9984939694404602,0.9998490214347839,,,,,,,
4,129,,,,,,,,,,,,,,,1.0,1.0,0.0007857247837819159,1.0,1.0,1.0,1.0
4,129,,,,,,,,1.0,1.0,0.0007094005704857409,1.0,1.0,1.0,1.0,,,,,,,
5,155,,,,,,,,,,,,,,,1.0,1.0,0.0003893391112796962,1.0,1.0,1.0,1.0
5,155,,,,,,,,1.0,1.0,0.0003588090476114303,1.0,1.0,1.0,1.0,,,,,,,
6,181,,,,,,,,,,,,,,,1.0,1.0,0.0003196900652255863,1.0,1.0,1.0,1.0
6,181,,,,,,,,1.0,1.0,0.0002065898443106562,1.0,1.0,1.0,1.0,,,,,,,
7,207,,,,,,,,,,,,,,,1.0,1.0,0.0002669223758857697,1.0,1.0,1.0,1.0
7,207,,,,,,,,1.0,1.0,0.00015872172662056983,1.0,1.0,1.0,1.0,,,,,,,
8,233,,,,,,,,,,,,,,,1.0,1.0,0.0002311928110430017,1.0,1.0,1.0,1.0
8,233,,,,,,,,1.0,1.0,0.00013370979286264628,1.0,1.0,1.0,1.0,,,,,,,
9,259,,,,,,,,,,,,,,,1.0,1.0,0.00020930531900376081,1.0,1.0,1.0,1.0
9,259,,,,,,,,1.0,1.0,0.0001177923841169104,1.0,1.0,1.0,1.0,,,,,,,
10,285,,,,,,,,,,,,,,,1.0,1.0,0.00019174293265677989,1.0,1.0,1.0,1.0
10,285,,,,,,,,1.0,1.0,0.00010622539411997423,1.0,1.0,1.0,1.0,,,,,,,
11,311,,,,,,,,,,,,,,,1.0,1.0,0.0001742563908919692,1.0,1.0,1.0,1.0
11,311,,,,,,,,1.0,1.0,9.600402700016275e-05,1.0,1.0,1.0,1.0,,,,,,,
12,337,,,,,,,,,,,,,,,1.0,1.0,0.00015856286336202174,1.0,1.0,1.0,1.0
12,337,,,,,,,,1.0,1.0,8.781396900303662e-05,1.0,1.0,1.0,1.0,,,,,,,
13,363,,,,,,,,,,,,,,,1.0,1.0,0.0001484497479395941,1.0,1.0,1.0,1.0
13,363,,,,,,,,1.0,1.0,8.031340257730335e-05,1.0,1.0,1.0,1.0,,,,,,,
14,389,,,,,,,,,,,,,,,1.0,1.0,0.00013595430937130004,1.0,1.0,1.0,1.0
14,389,,,,,,,,1.0,1.0,7.428808021359146e-05,1.0,1.0,1.0,1.0,,,,,,,
15,415,,,,,,,,,,,,,,,1.0,1.0,0.00012844295997638255,1.0,1.0,1.0,1.0
15,415,,,,,,,,1.0,1.0,6.959035817999393e-05,1.0,1.0,1.0,1.0,,,,,,,
16,441,,,,,,,,,,,,,,,1.0,1.0,0.00011967328464379534,1.0,1.0,1.0,1.0
16,441,,,,,,,,1.0,1.0,6.377079989761114e-05,1.0,1.0,1.0,1.0,,,,,,,
17,467,,,,,,,,,,,,,,,1.0,1.0,0.00011244313645875081,1.0,1.0,1.0,1.0
17,467,,,,,,,,1.0,1.0,5.9664649597834796e-05,1.0,1.0,1.0,1.0,,,,,,,
18,493,,,,,,,,,,,,,,,1.0,1.0,0.00010471456334926188,1.0,1.0,1.0,1.0
18,493,,,,,,,,1.0,1.0,5.57922940060962e-05,1.0,1.0,1.0,1.0,,,,,,,
19,519,,,,,,,,,,,,,,,1.0,1.0,9.845041495282203e-05,1.0,1.0,1.0,1.0
19,519,,,,,,,,1.0,1.0,5.241876351647079e-05,1.0,1.0,1.0,1.0,,,,,,,
20,545,,,,,,,,,,,,,,,1.0,1.0,9.377550304634497e-05,1.0,1.0,1.0,1.0
20,545,,,,,,,,1.0,1.0,4.946030821884051e-05,1.0,1.0,1.0,1.0,,,,,,,
21,571,,,,,,,,,,,,,,,1.0,1.0,8.752578287385404e-05,1.0,1.0,1.0,1.0
21,571,,,,,,,,1.0,1.0,4.689558772952296e-05,1.0,1.0,1.0,1.0,,,,,,,
22,597,,,,,,,,,,,,,,,1.0,1.0,8.300946501549333e-05,1.0,1.0,1.0,1.0
22,597,,,,,,,,1.0,1.0,4.445196464075707e-05,1.0,1.0,1.0,1.0,,,,,,,
23,623,,,,,,,,,,,,,,,1.0,1.0,7.968879071995616e-05,1.0,1.0,1.0,1.0
23,623,,,,,,,,1.0,1.0,4.202011405141093e-05,1.0,1.0,1.0,1.0,,,,,,,
24,649,,,,,,,,,,,,,,,1.0,1.0,7.542403182014823e-05,1.0,1.0,1.0,1.0
24,649,,,,,,,,1.0,1.0,3.9993585232878104e-05,1.0,1.0,1.0,1.0,,,,,,,
25,675,,,,,,,,,,,,,,,1.0,1.0,7.206373993540183e-05,1.0,1.0,1.0,1.0
25,675,,,,,,,,1.0,1.0,3.809873669524677e-05,1.0,1.0,1.0,1.0,,,,,,,
26,701,,,,,,,,,,,,,,,1.0,1.0,6.79432341712527e-05,1.0,1.0,1.0,1.0
26,701,,,,,,,,1.0,1.0,3.638406633399427e-05,1.0,1.0,1.0,1.0,,,,,,,
27,727,,,,,,,,,,,,,,,1.0,1.0,6.579481123480946e-05,1.0,1.0,1.0,1.0
27,727,,,,,,,,1.0,1.0,3.4894423151854426e-05,1.0,1.0,1.0,1.0,,,,,,,
28,753,,,,,,,,,,,,,,,1.0,1.0,6.174979353090748e-05,1.0,1.0,1.0,1.0
28,753,,,,,,,,1.0,1.0,3.342240597703494e-05,1.0,1.0,1.0,1.0,,,,,,,
29,779,,,,,,,,,,,,,,,1.0,1.0,6.00339008087758e-05,1.0,1.0,1.0,1.0
29,779,,,,,,,,1.0,1.0,3.2090178137877956e-05,1.0,1.0,1.0,1.0,,,,,,,
30,805,,,,,,,,,,,,,,,1.0,1.0,5.731825513066724e-05,1.0,1.0,1.0,1.0
30,805,,,,,,,,1.0,1.0,3.081445174757391e-05,1.0,1.0,1.0,1.0,,,,,,,
31,831,,,,,,,,,,,,,,,1.0,1.0,5.457922088680789e-05,1.0,1.0,1.0,1.0
31,831,,,,,,,,1.0,1.0,2.9655819162144326e-05,1.0,1.0,1.0,1.0,,,,,,,
32,857,,,,,,,,,,,,,,,1.0,1.0,5.323935329215601e-05,1.0,1.0,1.0,1.0
32,857,,,,,,,,1.0,1.0,2.86061767837964e-05,1.0,1.0,1.0,1.0,,,,,,,
33,883,,,,,,,,,,,,,,,1.0,1.0,5.0184149586129934e-05,1.0,1.0,1.0,1.0
