epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,1,,,,,,,,0.9360000491142273,0.5,0.09988757967948914,0.4834710657596588,0.46799999475479126,0.5,0.9050578474998474
0,1,0.41733333468437195,0.520714282989502,0.5461430549621582,0.3451535403728485,0.505376398563385,0.520714282989502,0.5335747599601746,,,,,,,
1,3,,,,,,,,0.9960000514984131,0.997863233089447,0.018157700076699257,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
1,3,0.9333333373069763,0.5,0.09068088978528976,0.48275861144065857,0.46666666865348816,0.5,0.9011493921279907,,,,,,,
2,5,,,,,,,,0.9760000705718994,0.9871795177459717,0.029103051871061325,0.9145591259002686,0.8636363744735718,0.9871795177459717,0.9777389168739319
2,5,0.9946666955947876,0.9971428513526917,0.019064368680119514,0.9793365597724915,0.9629629850387573,0.9971428513526917,0.99476158618927,,,,,,,
3,7,,,,,,,,0.9920000433921814,0.995726466178894,0.014348899014294147,0.9684423208236694,0.9444444179534912,0.995726466178894,0.9922181963920593
3,7,0.9800000190734863,0.9892857074737549,0.027659611776471138,0.9293674230575562,0.884615421295166,0.9892857074737549,0.9811960458755493,,,,,,,
4,9,,,,,,,,1.0,1.0,0.0024500929284840822,1.0,1.0,1.0,1.0
4,9,0.9959999918937683,0.9978571534156799,0.013398637063801289,0.9843631982803345,0.9716981053352356,0.9978571534156799,0.99605393409729,,,,,,,
5,11,,,,,,,,1.0,1.0,0.0004793416301254183,1.0,1.0,1.0,1.0
5,11,0.9973333477973938,0.9892857074737549,0.004611654207110405,0.9892857074737549,0.9892857074737549,0.9892857074737549,0.997333288192749,,,,,,,
6,13,,,,,,,,1.0,1.0,0.00021885635214857757,1.0,1.0,1.0,1.0
6,13,0.9973333477973938,0.9800000190734863,0.006826002616435289,0.9890826344490051,0.9985755085945129,0.9800000190734863,0.997308075428009,,,,,,,
7,15,,,,,,,,1.0,1.0,0.0003131065459456295,1.0,1.0,1.0,1.0
7,15,0.9973333477973938,0.9800000190734863,0.006448944099247456,0.9890826344490051,0.9985755085945129,0.9800000190734863,0.997308075428009,,,,,,,
8,17,,,,,,,,1.0,1.0,0.0007066034013405442,1.0,1.0,1.0,1.0
8,17,0.9986666440963745,0.9900000095367432,0.005311108194291592,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
9,19,,,,,,,,1.0,1.0,0.0016647623851895332,1.0,1.0,1.0,1.0
9,19,0.9986666440963745,0.9900000095367432,0.003812977112829685,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
10,21,,,,,,,,0.9960000514984131,0.997863233089447,0.003176405793055892,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
10,21,0.9986666440963745,0.9900000095367432,0.0029716570861637592,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
11,23,,,,,,,,0.9960000514984131,0.997863233089447,0.004470041487365961,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
11,23,0.9986666440963745,0.9992856979370117,0.002783459611237049,0.9946920871734619,0.9901961088180542,0.9992856979370117,0.9986727833747864,,,,,,,
12,25,,,,,,,,0.9960000514984131,0.997863233089447,0.0047872778959572315,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
12,25,0.9986666440963745,0.9992856979370117,0.0029751688707619905,0.9946920871734619,0.9901961088180542,0.9992856979370117,0.9986727833747864,,,,,,,
13,27,,,,,,,,0.9960000514984131,0.997863233089447,0.004235687665641308,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
13,27,0.9986666440963745,0.9992856979370117,0.0027007057797163725,0.9946920871734619,0.9901961088180542,0.9992856979370117,0.9986727833747864,,,,,,,
14,29,,,,,,,,0.9960000514984131,0.997863233089447,0.0032276492565870285,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
14,29,0.9986666440963745,0.9992856979370117,0.002314341953024268,0.9946920871734619,0.9901961088180542,0.9992856979370117,0.9986727833747864,,,,,,,
15,31,,,,,,,,1.0,1.0,0.0017329944530501962,1.0,1.0,1.0,1.0
15,31,0.9986666440963745,0.9992856979370117,0.0021234331652522087,0.9946920871734619,0.9901961088180542,0.9992856979370117,0.9986727833747864,,,,,,,
16,33,,,,,,,,1.0,1.0,0.0012151884147897363,1.0,1.0,1.0,1.0
16,33,0.9986666440963745,0.9900000095367432,0.0023032468743622303,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
17,35,,,,,,,,1.0,1.0,0.001282115583308041,1.0,1.0,1.0,1.0
17,35,0.9986666440963745,0.9900000095367432,0.002648666501045227,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
18,37,,,,,,,,1.0,1.0,0.001852740766480565,1.0,1.0,1.0,1.0
18,37,0.9986666440963745,0.9900000095367432,0.002575245453044772,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
19,39,,,,,,,,1.0,1.0,0.002767202677205205,1.0,1.0,1.0,1.0
19,39,0.9986666440963745,0.9900000095367432,0.002489160979166627,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
20,41,,,,,,,,0.9960000514984131,0.997863233089447,0.0031228463631123304,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
20,41,0.9986666440963745,0.9900000095367432,0.0020302801858633757,0.994592547416687,0.9992867708206177,0.9900000095367432,0.9986603260040283,,,,,,,
21,43,,,,,,,,0.9960000514984131,0.997863233089447,0.0034354461822658777,0.9837778210639954,0.970588207244873,0.997863233089447,0.9960562586784363
21,43,0.9986666440963745,0.9992856979370117,0.0020064327400177717,0.9946920871734619,0.9901961088180542,0.9992856979370117,0.9986727833747864,,,,,,,
