epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.4375,0.31111112236976624,1.0791925191879272,0.3283950984477997,0.3499999940395355,0.31111112236976624,0.4618055820465088
0,0,0.3655914068222046,0.36844778060913086,1.0993832349777222,0.335869163274765,0.39393937587738037,0.36844778060913086,0.4096888303756714,,,,,,,
1,1,,,,,,,,0.5625,0.4000000059604645,1.0580285787582397,0.400444895029068,0.4017857015132904,0.4000000059604645,0.5631256699562073
1,1,0.5483871102333069,0.4342469274997711,1.0766681432724,0.43625542521476746,0.44530245661735535,0.4342469274997711,0.5640029311180115,,,,,,,
2,2,,,,,,,,0.75,0.5333333611488342,1.0374811887741089,0.5161290764808655,0.5,0.5333333611488342,0.725806474685669
2,2,0.6666666865348816,0.48634180426597595,1.0545812845230103,0.47515854239463806,0.46447810530662537,0.48634180426597595,0.6513389348983765,,,,,,,
3,3,,,,,,,,0.78125,0.5555555820465088,1.0175131559371948,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
3,3,0.7956989407539368,0.580472469329834,1.033072590827942,0.554587185382843,0.5310184955596924,0.580472469329834,0.760120153427124,,,,,,,
4,4,,,,,,,,0.8125,0.5777778029441833,0.9980959892272949,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
4,4,0.8387096524238586,0.6116648316383362,1.0121005773544312,0.5847775936126709,0.5612403154373169,0.6116648316383362,0.8015289306640625,,,,,,,
5,5,,,,,,,,0.8125,0.5777778029441833,0.9792082905769348,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
5,5,0.8387096524238586,0.6116648316383362,0.9916329383850098,0.5847775936126709,0.5612403154373169,0.6116648316383362,0.8015289306640625,,,,,,,
6,6,,,,,,,,0.8125,0.5777778029441833,0.960835874080658,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
6,6,0.8387096524238586,0.6116648316383362,0.9716445207595825,0.5847775936126709,0.5612403154373169,0.6116648316383362,0.8015289306640625,,,,,,,
7,7,,,,,,,,0.8125,0.5777778029441833,0.9429683089256287,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
7,7,0.8494623899459839,0.619601309299469,0.952116847038269,0.5921806693077087,0.5675633549690247,0.619601309299469,0.8116594552993774,,,,,,,
8,8,,,,,,,,0.8125,0.5777778029441833,0.9255973100662231,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
8,8,0.8602150678634644,0.6273532509803772,0.9330344200134277,0.5997891426086426,0.575658917427063,0.6273532509803772,0.8220984935760498,,,,,,,
9,9,,,,,,,,0.8125,0.5777778029441833,0.9087148904800415,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
9,9,0.8602150678634644,0.6273532509803772,0.9143834114074707,0.5997891426086426,0.575658917427063,0.6273532509803772,0.8220984935760498,,,,,,,
10,10,,,,,,,,0.8125,0.5777778029441833,0.8923126459121704,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
10,10,0.8602150678634644,0.6273532509803772,0.8961521983146667,0.5997891426086426,0.575658917427063,0.6273532509803772,0.8220984935760498,,,,,,,
11,11,,,,,,,,0.8125,0.5777778029441833,0.8763833045959473,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
11,11,0.8602150678634644,0.6273532509803772,0.8783281445503235,0.5997891426086426,0.575658917427063,0.6273532509803772,0.8220984935760498,,,,,,,
12,12,,,,,,,,0.8125,0.5777778029441833,0.8609187006950378,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
12,12,0.8709677457809448,0.6351051926612854,0.8608990907669067,0.607396125793457,0.5840336084365845,0.6351051926612854,0.832532525062561,,,,,,,
13,13,,,,,,,,0.8125,0.5777778029441833,0.8459117412567139,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
13,13,0.8817204236984253,0.6430416703224182,0.8438526391983032,0.614800751209259,0.5900775194168091,0.6430416703224182,0.8426679372787476,,,,,,,
14,14,,,,,,,,0.8125,0.5777778029441833,0.8313546180725098,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
14,14,0.8817204236984253,0.6430416703224182,0.8271765112876892,0.614800751209259,0.5900775194168091,0.6430416703224182,0.8426679372787476,,,,,,,
15,15,,,,,,,,0.8125,0.5777778029441833,0.8172397017478943,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
15,15,0.8924731016159058,0.6509782075881958,0.8108592629432678,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
16,16,,,,,,,,0.8125,0.5777778029441833,0.8035604357719421,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
16,16,0.8924731016159058,0.6509782075881958,0.7948895692825317,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
17,17,,,,,,,,0.8125,0.5777778029441833,0.7903090119361877,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
17,17,0.8924731016159058,0.6509782075881958,0.7792569994926453,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
18,18,,,,,,,,0.78125,0.5555555820465088,0.7774790525436401,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
18,18,0.8924731016159058,0.6509782075881958,0.7639524936676025,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
19,19,,,,,,,,0.78125,0.5555555820465088,0.7650644183158875,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
19,19,0.8924731016159058,0.6509782075881958,0.7489675879478455,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
20,20,,,,,,,,0.78125,0.5555555820465088,0.7530592083930969,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
20,20,0.8924731016159058,0.6509782075881958,0.734294593334198,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
21,21,,,,,,,,0.78125,0.5555555820465088,0.7414581775665283,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
21,21,0.8924731016159058,0.6509782075881958,0.7199264168739319,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
22,22,,,,,,,,0.78125,0.5555555820465088,0.7302563786506653,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
22,22,0.8924731016159058,0.6509782075881958,0.7058571577072144,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
23,23,,,,,,,,0.78125,0.5555555820465088,0.7194496393203735,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
23,23,0.8924731016159058,0.6509782075881958,0.6920809149742126,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
24,24,,,,,,,,0.78125,0.5555555820465088,0.7090342044830322,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
24,24,0.8924731016159058,0.6509782075881958,0.6785914301872253,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
25,25,,,,,,,,0.78125,0.5555555820465088,0.6990056037902832,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
25,25,0.8924731016159058,0.6509782075881958,0.6653838157653809,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
26,26,,,,,,,,0.78125,0.5555555820465088,0.6893602013587952,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
26,26,0.8924731016159058,0.6509782075881958,0.652452290058136,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
27,27,,,,,,,,0.78125,0.5555555820465088,0.6800938844680786,0.5375000238418579,0.5215685963630676,0.5555555820465088,0.755859375
27,27,0.8924731016159058,0.6509782075881958,0.6397913694381714,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
28,28,,,,,,,,0.8125,0.5777778029441833,0.6712016463279724,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
28,28,0.8924731016159058,0.6509782075881958,0.6273952126502991,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
29,29,,,,,,,,0.8125,0.5777778029441833,0.6626777052879333,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
29,29,0.8924731016159058,0.6509782075881958,0.6152582764625549,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
30,30,,,,,,,,0.8125,0.5777778029441833,0.6545162796974182,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
30,30,0.8924731016159058,0.6509782075881958,0.6033738255500793,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
31,31,,,,,,,,0.8125,0.5777778029441833,0.6467094421386719,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
31,31,0.8924731016159058,0.6509782075881958,0.5917354822158813,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
32,32,,,,,,,,0.8125,0.5777778029441833,0.6392495036125183,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
32,32,0.8924731016159058,0.6509782075881958,0.5803367495536804,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
33,33,,,,,,,,0.8125,0.5777778029441833,0.6321274042129517,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
33,33,0.8924731016159058,0.6509782075881958,0.5691704154014587,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
34,34,,,,,,,,0.8125,0.5777778029441833,0.6253334283828735,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
34,34,0.8924731016159058,0.6509782075881958,0.5582296848297119,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
35,35,,,,,,,,0.8125,0.5777778029441833,0.6188572645187378,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
35,35,0.8924731016159058,0.6509782075881958,0.547507643699646,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
36,36,,,,,,,,0.8125,0.5777778029441833,0.6126889586448669,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
36,36,0.8924731016159058,0.6509782075881958,0.5369969606399536,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
37,37,,,,,,,,0.8125,0.5777778029441833,0.6068177819252014,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
37,37,0.8924731016159058,0.6509782075881958,0.5266908407211304,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
38,38,,,,,,,,0.8125,0.5777778029441833,0.6012334823608398,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
38,38,0.8924731016159058,0.6509782075881958,0.5165829658508301,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
39,39,,,,,,,,0.8125,0.5777778029441833,0.5959259271621704,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
39,39,0.8924731016159058,0.6509782075881958,0.5066663026809692,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
40,40,,,,,,,,0.8125,0.5777778029441833,0.5908850431442261,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
40,40,0.8924731016159058,0.6509782075881958,0.4969351589679718,0.6217171549797058,0.5949738025665283,0.6509782075881958,0.8523623943328857,,,,,,,
41,41,,,,,,,,0.8125,0.5777778029441833,0.5861012935638428,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
41,41,0.8924731016159058,0.6509782075881958,0.4873831868171692,0.6218685507774353,0.595370352268219,0.6509782075881958,0.8524571061134338,,,,,,,
42,42,,,,,,,,0.8125,0.5777778029441833,0.5815655589103699,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
42,42,0.8924731016159058,0.6509782075881958,0.4780050814151764,0.6218685507774353,0.595370352268219,0.6509782075881958,0.8524571061134338,,,,,,,
43,43,,,,,,,,0.8125,0.5777778029441833,0.5772690176963806,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
43,43,0.8924731016159058,0.6509782075881958,0.46879568696022034,0.6218685507774353,0.595370352268219,0.6509782075881958,0.8524571061134338,,,,,,,
44,44,,,,,,,,0.8125,0.5777778029441833,0.5732028484344482,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
44,44,0.9032257795333862,0.658730149269104,0.45975014567375183,0.6294236779212952,0.6031230688095093,0.658730149269104,0.8628189563751221,,,,,,,
45,45,,,,,,,,0.8125,0.5777778029441833,0.5693589448928833,0.5591397881507874,0.5416666865348816,0.5777778029441833,0.7862902879714966
