epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.8461538553237915,0.5,0.5674008727073669,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
0,0,0.1666666716337204,0.53125,0.724694013595581,0.16408668458461761,0.5588235259056091,0.53125,0.127966970205307,,,,,,,
1,1,,,,,,,,0.8461538553237915,0.5,0.4768999218940735,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
1,1,0.8888888955116272,0.5,0.5439226627349854,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
2,2,,,,,,,,0.8461538553237915,0.5,0.44318288564682007,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
2,2,0.8888888955116272,0.5,0.4186417758464813,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
3,3,,,,,,,,0.8461538553237915,0.5,0.45503106713294983,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
3,3,0.8888888955116272,0.5,0.34448590874671936,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
4,4,,,,,,,,0.8461538553237915,0.5,0.49486297369003296,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
4,4,0.8888888955116272,0.5,0.3089205026626587,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
5,5,,,,,,,,0.8461538553237915,0.5,0.5428903102874756,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
5,5,0.8888888955116272,0.5,0.2959240674972534,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
6,6,,,,,,,,0.8461538553237915,0.5,0.5861478447914124,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
6,6,0.8888888955116272,0.5,0.290493905544281,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
7,7,,,,,,,,0.8461538553237915,0.5,0.6198939681053162,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
7,7,0.8888888955116272,0.5,0.28364279866218567,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
8,8,,,,,,,,0.8461538553237915,0.5,0.6437456607818604,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
8,8,0.8888888955116272,0.5,0.2725796103477478,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
9,9,,,,,,,,0.8461538553237915,0.5,0.6590547561645508,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
9,9,0.8888888955116272,0.5,0.2576679289340973,0.4705882668495178,0.4444444477558136,0.5,0.8366013765335083,,,,,,,
10,10,,,,,,,,0.8461538553237915,0.5,0.667758047580719,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
10,10,0.9166666865348816,0.625,0.24033242464065552,0.6776119470596313,0.9571428298950195,0.625,0.893532395362854,,,,,,,
11,11,,,,,,,,0.8461538553237915,0.5,0.6718466281890869,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
11,11,0.9166666865348816,0.625,0.22212737798690796,0.6776119470596313,0.9571428298950195,0.625,0.893532395362854,,,,,,,
12,12,,,,,,,,0.8461538553237915,0.5,0.6731476187705994,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
12,12,0.9166666865348816,0.625,0.20436276495456696,0.6776119470596313,0.9571428298950195,0.625,0.893532395362854,,,,,,,
13,13,,,,,,,,0.8461538553237915,0.5,0.6733068823814392,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
13,13,0.9166666865348816,0.625,0.18800896406173706,0.6776119470596313,0.9571428298950195,0.625,0.893532395362854,,,,,,,
14,14,,,,,,,,0.8461538553237915,0.5,0.6738449335098267,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
14,14,0.9166666865348816,0.625,0.17375260591506958,0.6776119470596313,0.9571428298950195,0.625,0.893532395362854,,,,,,,
15,15,,,,,,,,0.8461538553237915,0.5,0.6762098670005798,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
15,15,0.9444444179534912,0.75,0.16209957003593445,0.8181818723678589,0.970588207244873,0.75,0.9360269904136658,,,,,,,
16,16,,,,,,,,0.8461538553237915,0.5,0.6818078756332397,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
16,16,0.9444444179534912,0.75,0.15341325104236603,0.8181818723678589,0.970588207244873,0.75,0.9360269904136658,,,,,,,
17,17,,,,,,,,0.8461538553237915,0.5,0.6919920444488525,0.4583333432674408,0.42307692766189575,0.5,0.7756410837173462
17,17,0.9444444179534912,0.75,0.14778488874435425,0.8181818723678589,0.970588207244873,0.75,0.9360269904136658,,,,,,,
