epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.8636363744735718,0.8675214052200317,0.3694742023944855,0.8610526323318481,0.8583333492279053,0.8675214052200317,0.8644976019859314
0,0,0.7692307829856873,0.737500011920929,0.6233730316162109,0.7450980544090271,0.7638888955116272,0.737500011920929,0.763197660446167,,,,,,,
1,1,,,,,,,,0.8636363744735718,0.8675214052200317,0.31541526317596436,0.8610526323318481,0.8583333492279053,0.8675214052200317,0.8644976019859314
1,1,0.8615384697914124,0.8650000095367432,0.3655270040035248,0.8566527366638184,0.8523166179656982,0.8650000095367432,0.8627598285675049,,,,,,,
2,2,,,,,,,,0.9090909361839294,0.9059829115867615,0.3061174750328064,0.9059829115867615,0.9059829115867615,0.9059829115867615,0.9090909361839294
2,2,0.8461538553237915,0.8450000286102295,0.2891680896282196,0.8397434949874878,0.8362573385238647,0.8450000286102295,0.8471399545669556,,,,,,,
3,3,,,,,,,,0.9090909361839294,0.9059829115867615,0.3073665499687195,0.9059829115867615,0.9059829115867615,0.9059829115867615,0.9090909361839294
3,3,0.8769230842590332,0.8774999976158142,0.24520990252494812,0.8717948794364929,0.8679337501525879,0.8774999976158142,0.877712070941925,,,,,,,
4,4,,,,,,,,0.9090909361839294,0.9059829115867615,0.31455329060554504,0.9059829115867615,0.9059829115867615,0.9059829115867615,0.9090909361839294
4,4,0.9230769276618958,0.9149999618530273,0.20393136143684387,0.9181153774261475,0.9217479825019836,0.9149999618530273,0.9227668642997742,,,,,,,
5,5,,,,,,,,0.9545454382896423,0.9444444179534912,0.32662340998649597,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
5,5,0.9384615421295166,0.9350000023841858,0.1635676473379135,0.9350000023841858,0.9350000023841858,0.9350000023841858,0.9384615421295166,,,,,,,
6,6,,,,,,,,0.9545454382896423,0.9444444179534912,0.34376248717308044,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
6,6,0.9384615421295166,0.9350000023841858,0.12571531534194946,0.9350000023841858,0.9350000023841858,0.9350000023841858,0.9384615421295166,,,,,,,
7,7,,,,,,,,0.9545454382896423,0.9444444179534912,0.3665515184402466,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
7,7,0.9692307710647583,0.9674999713897705,0.09407585859298706,0.9674999713897705,0.9674999713897705,0.9674999713897705,0.9692307710647583,,,,,,,
8,8,,,,,,,,0.9545454382896423,0.9444444179534912,0.3934704065322876,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
8,8,1.0,1.0,0.07288169860839844,1.0,1.0,1.0,1.0,,,,,,,
9,9,,,,,,,,0.9545454382896423,0.9444444179534912,0.4205312728881836,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
9,9,1.0,1.0,0.06127161160111427,1.0,1.0,1.0,1.0,,,,,,,
10,10,,,,,,,,0.9545454382896423,0.9444444179534912,0.4439272880554199,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
10,10,1.0,1.0,0.05397200956940651,1.0,1.0,1.0,1.0,,,,,,,
11,11,,,,,,,,0.9545454382896423,0.9444444179534912,0.4627556800842285,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
11,11,1.0,1.0,0.0470024049282074,1.0,1.0,1.0,1.0,,,,,,,
12,12,,,,,,,,0.9545454382896423,0.9444444179534912,0.47853928804397583,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
12,12,1.0,1.0,0.039093438535928726,1.0,1.0,1.0,1.0,,,,,,,
13,13,,,,,,,,0.9545454382896423,0.9444444179534912,0.4932248294353485,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
13,13,1.0,1.0,0.0305313877761364,1.0,1.0,1.0,1.0,,,,,,,
14,14,,,,,,,,0.9545454382896423,0.9444444179534912,0.507841944694519,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
14,14,1.0,1.0,0.0227791890501976,1.0,1.0,1.0,1.0,,,,,,,
15,15,,,,,,,,0.9545454382896423,0.9444444179534912,0.5222856998443604,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
15,15,1.0,1.0,0.017085574567317963,1.0,1.0,1.0,1.0,,,,,,,
16,16,,,,,,,,0.9545454382896423,0.9444444179534912,0.5360445380210876,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
16,16,1.0,1.0,0.013373068533837795,1.0,1.0,1.0,1.0,,,,,,,
17,17,,,,,,,,0.9545454382896423,0.9444444179534912,0.5489668250083923,0.9520697593688965,0.9642857313156128,0.9444444179534912,0.9540503025054932
17,17,1.0,1.0,0.010824893601238728,1.0,1.0,1.0,1.0,,,,,,,
