epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,8,,,,,,,,0.1339985728263855,0.06854662299156189,2.8434736728668213,0.06338300555944443,0.08046408742666245,0.06854662299156189,0.11993912607431412
0,8,0.09624524414539337,0.06602909415960312,2.8663406372070312,0.056228525936603546,0.0733034685254097,0.06602909415960312,0.09287944436073303,,,,,,,
1,17,,,,,,,,0.15609408915042877,0.07116086781024933,2.808014392852783,0.0637325569987297,0.10998348891735077,0.07116086781024933,0.12720151245594025
1,17,0.14686311781406403,0.07222314178943634,2.8289825916290283,0.06861218810081482,0.1021094024181366,0.07222314178943634,0.12596078217029572,,,,,,,
2,26,,,,,,,,0.15751959383487701,0.06556079536676407,2.7736549377441406,0.051940854638814926,0.08274533599615097,0.06556079536676407,0.12135310471057892
2,26,0.1596958190202713,0.06972067803144455,2.793750286102295,0.05895761772990227,0.09089529514312744,0.06972067803144455,0.1272634118795395,,,,,,,
3,35,,,,,,,,0.16535994410514832,0.0680081844329834,2.7404050827026367,0.05294184014201164,0.09238476306200027,0.0680081844329834,0.1258939653635025
3,35,0.16872623562812805,0.07161476463079453,2.7593371868133545,0.05773928388953209,0.0971408560872078,0.07161476463079453,0.13005754351615906,,,,,,,
4,44,,,,,,,,0.17177477478981018,0.0695260614156723,2.707907199859619,0.05295027792453766,0.0663745328783989,0.0695260614156723,0.12946227192878723
4,44,0.17680607736110687,0.07374030351638794,2.726135730743408,0.05771337449550629,0.09964118897914886,0.07374030351638794,0.13365532457828522,,,,,,,
5,53,,,,,,,,0.17676407098770142,0.07075080275535583,2.6762712001800537,0.05239584669470787,0.06969631463289261,0.07075080275535583,0.13010075688362122
5,53,0.18536122143268585,0.07628342509269714,2.6932497024536133,0.05858757719397545,0.08702342957258224,0.07628342509269714,0.13834229111671448,,,,,,,
