epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.0062500000931322575,0.0058823530562222,2.3186323642730713,0.010526316240429878,0.05000000074505806,0.0058823530562222,0.01118420995771885
0,0,0.0020833334419876337,0.0020408162381500006,2.3195369243621826,0.00357142835855484,0.01428571529686451,0.0020408162381500006,0.0036458331160247326,,,,,,,
1,1,,,,,,,,0.0062500000931322575,0.0058823530562222,2.3090980052948,0.010526316240429878,0.05000000074505806,0.0058823530562222,0.01118420995771885
1,1,0.008333333767950535,0.008622448891401291,2.310447931289673,0.012261904776096344,0.05967742204666138,0.008622448891401291,0.011624503880739212,,,,,,,
2,2,,,,,,,,0.0062500000931322575,0.0058823530562222,2.299595832824707,0.009999999776482582,0.03333333507180214,0.0058823530562222,0.010625000111758709
2,2,0.01458333432674408,0.01462244987487793,2.301387071609497,0.01771444082260132,0.11408668756484985,0.01462244987487793,0.017285680398344994,,,,,,,
3,3,,,,,,,,0.07500000298023224,0.07352940738201141,2.2901225090026855,0.07552329450845718,0.08192308247089386,0.07352940738201141,0.07679522782564163
3,3,0.03125,0.030955683439970016,2.2923545837402344,0.03959013521671295,0.19152089953422546,0.030955683439970016,0.039555251598358154,,,,,,,
4,4,,,,,,,,0.15625,0.1514705866575241,2.2806782722473145,0.12906776368618011,0.11679653823375702,0.1514705866575241,0.13272273540496826
4,4,0.08958332985639572,0.0887565091252327,2.2833492755889893,0.1057659387588501,0.23048248887062073,0.0887565091252327,0.1061994656920433,,,,,,,
5,5,,,,,,,,0.21250000596046448,0.20735295116901398,2.27126145362854,0.1755005121231079,0.15535715222358704,0.20735295116901398,0.17955753207206726
5,5,0.18333333730697632,0.1782810240983963,2.2743709087371826,0.17356717586517334,0.27748337388038635,0.1782810240983963,0.17724609375,,,,,,,
6,6,,,,,,,,0.21875,0.2132352888584137,2.2618703842163086,0.1705511510372162,0.1429816335439682,0.2132352888584137,0.17465654015541077
6,6,0.24166665971279144,0.23542897403240204,2.265416383743286,0.21194955706596375,0.2982315719127655,0.23542897403240204,0.2164982259273529,,,,,,,
7,7,,,,,,,,0.25,0.24301472306251526,2.2525041103363037,0.2046848088502884,0.26448899507522583,0.24301472306251526,0.21018826961517334
7,7,0.2645833492279053,0.2573552429676056,2.2564857006073,0.22292737662792206,0.297412246465683,0.2573552429676056,0.22823293507099152,,,,,,,
8,8,,,,,,,,0.33125001192092896,0.31948527693748474,2.2431588172912598,0.25103774666786194,0.2953267991542816,0.31948527693748474,0.25943827629089355
8,8,0.28958335518836975,0.28094008564949036,2.2475764751434326,0.24391090869903564,0.22703209519386292,0.28094008564949036,0.2509552240371704,,,,,,,
9,9,,,,,,,,0.3375000059604645,0.32573527097702026,2.233835220336914,0.2545939087867737,0.2972748279571533,0.32573527097702026,0.2629944384098053
9,9,0.34166669845581055,0.3309400677680969,2.2386879920959473,0.27919504046440125,0.25401440262794495,0.3309400677680969,0.28766775131225586,,,,,,,
