epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,3,,,,,,,,0.7037037014961243,0.7411659955978394,0.7334251999855042,0.6120586395263672,0.6679131388664246,0.7411659955978394,0.7413095235824585
0,3,0.5934122204780579,0.456108421087265,1.1754934787750244,0.4594734311103821,0.4748878479003906,0.456108421087265,0.5984447598457336,,,,,,,
1,7,,,,,,,,0.8981481194496155,0.6889516115188599,0.49856916069984436,0.681824803352356,0.6802201867103577,0.6889516115188599,0.8876996040344238
1,7,0.825527548789978,0.700966477394104,0.512850821018219,0.6778200268745422,0.6810644865036011,0.700966477394104,0.8315427899360657,,,,,,,
2,11,,,,,,,,0.9027777910232544,0.7673773169517517,0.28816846013069153,0.7949166893959045,0.8920421004295349,0.7673773169517517,0.8978298902511597
2,11,0.907359778881073,0.7062721252441406,0.3869912922382355,0.7083144783973694,0.9344141483306885,0.7062721252441406,0.8980117440223694,,,,,,,
3,15,,,,,,,,0.8981481194496155,0.8757098913192749,0.24580346047878265,0.865464448928833,0.8706313371658325,0.8757098913192749,0.8972269892692566
3,15,0.9202264547348022,0.8867253065109253,0.18538744747638702,0.8579966425895691,0.8391610383987427,0.8867253065109253,0.9211016893386841,,,,,,,
4,19,,,,,,,,0.9305555820465088,0.8317756652832031,0.20784471929073334,0.8613499999046326,0.9235962629318237,0.8317756652832031,0.9283601641654968
4,19,0.9444158673286438,0.9095453023910522,0.13668860495090485,0.9174468517303467,0.9262522459030151,0.9095453023910522,0.9443504214286804,,,,,,,
5,23,,,,,,,,0.9537037014961243,0.8916978240013123,0.12108374387025833,0.908042311668396,0.9287207126617432,0.8916978240013123,0.9533473253250122
5,23,0.9619145393371582,0.9000771045684814,0.09550674259662628,0.9283167123794556,0.9707044363021851,0.9000771045684814,0.9613602161407471,,,,,,,
6,27,,,,,,,,0.9629629850387573,0.9284535050392151,0.10806434601545334,0.9222850799560547,0.9174846410751343,0.9284535050392151,0.9629094004631042
6,27,0.9732372760772705,0.9413711428642273,0.06563077867031097,0.9342464208602905,0.9281113743782043,0.9413711428642273,0.9734852910041809,,,,,,,
7,31,,,,,,,,0.9660493731498718,0.858436644077301,0.09606338292360306,0.8953210711479187,0.9740542769432068,0.858436644077301,0.9642015099525452
7,31,0.9809572696685791,0.9525073766708374,0.04386448115110397,0.9503098130226135,0.9483709335327148,0.9525073766708374,0.980935275554657,,,,,,,
8,35,,,,,,,,0.9753086566925049,0.9375216960906982,0.0734197273850441,0.937603771686554,0.93770831823349,0.9375216960906982,0.9753276705741882
8,35,0.9912506341934204,0.9320672750473022,0.03035801649093628,0.9553920030593872,0.9870791435241699,0.9320672750473022,0.9907913208007812,,,,,,,
9,39,,,,,,,,0.9722222089767456,0.9353240728378296,0.07247141748666763,0.9351588487625122,0.9350829124450684,0.9353240728378296,0.9721819758415222
9,39,0.9927946329116821,0.9850598573684692,0.026030922308564186,0.968533992767334,0.9545605778694153,0.9850598573684692,0.9930099248886108,,,,,,,
10,43,,,,,,,,0.9737654328346252,0.9077175259590149,0.07725302875041962,0.9364221692085266,0.9798014163970947,0.9077175259590149,0.973138153553009
10,43,0.9984560012817383,0.9846938848495483,0.013782167807221413,0.9915197491645813,0.9988317489624023,0.9846938848495483,0.9984334111213684,,,,,,,
11,47,,,,,,,,0.9722222089767456,0.9208672642707825,0.06652794033288956,0.9383869767189026,0.9604657292366028,0.9208672642707825,0.9718804955482483
11,47,0.9984560012817383,0.9846938848495483,0.009828447364270687,0.9915197491645813,0.9988317489624023,0.9846938848495483,0.9984334111213684,,,,,,,
12,51,,,,,,,,0.9783950448036194,0.9545230865478516,0.06116766482591629,0.9608280658721924,0.9677191376686096,0.9545230865478516,0.9783222079277039
12,51,1.0,1.0,0.00679025100544095,1.0,1.0,1.0,1.0,,,,,,,
13,55,,,,,,,,0.979938268661499,0.9413039684295654,0.060362935066223145,0.9535183310508728,0.9677646160125732,0.9413039684295654,0.9797466397285461
13,55,1.0,1.0,0.00560549134388566,1.0,1.0,1.0,1.0,,,,,,,
14,59,,,,,,,,0.9814814925193787,0.9280847907066345,0.06007257476449013,0.9455755949020386,0.9676266312599182,0.9280847907066345,0.9811049103736877
14,59,1.0,1.0,0.004366736859083176,1.0,1.0,1.0,1.0,,,,,,,
15,63,,,,,,,,0.979938268661499,0.9268471598625183,0.057827796787023544,0.9443833231925964,0.9664453864097595,0.9268471598625183,0.9795761704444885
