epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,69,,,,,,,,0.9890584945678711,0.987544059753418,0.2285812646150589,0.988797664642334,0.99021315574646,0.987544059753418,0.9890435934066772
0,69,0.9767593145370483,0.9752311110496521,0.17313599586486816,0.9762181639671326,0.9773097038269043,0.9752311110496521,0.976733922958374,,,,,,,
1,139,,,,,,,,0.9990670084953308,0.9989600777626038,0.01423567347228527,0.9990471601486206,0.99913489818573,0.9989600777626038,0.999066948890686
1,139,0.9935253858566284,0.993118941783905,0.07330259680747986,0.9933851361274719,0.9936585426330566,0.993118941783905,0.9935235977172852,,,,,,,
2,209,,,,,,,,0.999321460723877,0.9992822408676147,0.0029375769663602114,0.9993070363998413,0.9993320107460022,0.9992822408676147,0.999321460723877
2,209,0.9996041655540466,0.9996124505996704,0.0027618957683444023,0.9995957612991333,0.9995793104171753,0.9996124505996704,0.9996041059494019,,,,,,,
3,279,,,,,,,,0.9994910955429077,0.999455451965332,0.002268194919452071,0.9994803071022034,0.9995052814483643,0.999455451965332,0.9994910955429077
3,279,0.9999434351921082,0.9999423027038574,0.00048546798643656075,0.9999423027038574,0.9999423027038574,0.9999423027038574,0.9999434947967529,,,,,,,
4,349,,,,,,,,0.9996607303619385,0.9996286630630493,0.0016296160174533725,0.9996535778045654,0.9996784925460815,0.9996286630630493,0.9996607303619385
4,349,1.0,1.0,0.0002393653994658962,1.0,1.0,1.0,1.0,,,,,,,
5,419,,,,,,,,0.9995759129524231,0.9995296001434326,0.0016944786766543984,0.999566912651062,0.9996044039726257,0.9995296001434326,0.9995758533477783
5,419,1.0,1.0,0.00016795034753158689,1.0,1.0,1.0,1.0,,,,,,,
6,489,,,,,,,,0.9998303651809692,0.9998018741607666,0.0015470223734155297,0.9998267889022827,0.9998517036437988,0.9998018741607666,0.9998303651809692
6,489,1.0,1.0,0.0001389161334373057,1.0,1.0,1.0,1.0,,,,,,,
7,559,,,,,,,,0.9998303651809692,0.9998018741607666,0.001480864710174501,0.9998267889022827,0.9998517036437988,0.9998018741607666,0.9998303651809692
7,559,1.0,1.0,0.00012081414752174169,1.0,1.0,1.0,1.0,,,,,,,
8,629,,,,,,,,0.9998303651809692,0.9998018741607666,0.0013990895822644234,0.9998267889022827,0.9998517036437988,0.9998018741607666,0.9998303651809692
8,629,1.0,1.0,0.0001081494046957232,1.0,1.0,1.0,1.0,,,,,,,
9,699,,,,,,,,0.9999151825904846,0.9999009370803833,0.001382590620778501,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
9,699,1.0,1.0,9.970903192879632e-05,1.0,1.0,1.0,1.0,,,,,,,
10,769,,,,,,,,0.9999151825904846,0.9999009370803833,0.0013433697167783976,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
10,769,1.0,1.0,9.37493095989339e-05,1.0,1.0,1.0,1.0,,,,,,,
11,839,,,,,,,,0.9999151825904846,0.9999009370803833,0.001290479558520019,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
11,839,1.0,1.0,9.104455239139497e-05,1.0,1.0,1.0,1.0,,,,,,,
12,909,,,,,,,,0.9999151825904846,0.9999009370803833,0.0013028130633756518,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
12,909,1.0,1.0,7.281759462784976e-05,1.0,1.0,1.0,1.0,,,,,,,
13,979,,,,,,,,0.9999151825904846,0.9999009370803833,0.0012334908824414015,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
13,979,1.0,1.0,7.657393143745139e-05,1.0,1.0,1.0,1.0,,,,,,,
14,1049,,,,,,,,0.9999151825904846,0.9999009370803833,0.0012484467588365078,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
14,1049,1.0,1.0,6.852154183434322e-05,1.0,1.0,1.0,1.0,,,,,,,
15,1119,,,,,,,,0.9999151825904846,0.9999009370803833,0.0011879096273332834,0.9999133944511414,0.9999258518218994,0.9999009370803833,0.9999151825904846
15,1119,1.0,1.0,6.340077379718423e-05,1.0,1.0,1.0,1.0,,,,,,,
16,1189,,,,,,,,0.9998303651809692,0.9998267889022827,0.0011968303006142378,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
16,1189,1.0,1.0,6.898839637869969e-05,1.0,1.0,1.0,1.0,,,,,,,
17,1259,,,,,,,,0.9998303651809692,0.9998267889022827,0.0011425212724134326,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
17,1259,1.0,1.0,5.6974651670316234e-05,1.0,1.0,1.0,1.0,,,,,,,
18,1329,,,,,,,,0.9998303651809692,0.9998267889022827,0.0011326345847919583,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
18,1329,1.0,1.0,5.596642949967645e-05,1.0,1.0,1.0,1.0,,,,,,,
19,1399,,,,,,,,0.9998303651809692,0.9998267889022827,0.0011539349798113108,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
19,1399,1.0,1.0,5.387284909375012e-05,1.0,1.0,1.0,1.0,,,,,,,
20,1469,,,,,,,,0.9998303651809692,0.9998267889022827,0.001149081508629024,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
20,1469,1.0,1.0,5.1167167839594185e-05,1.0,1.0,1.0,1.0,,,,,,,
21,1539,,,,,,,,0.9998303651809692,0.9998267889022827,0.0011607268825173378,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
21,1539,1.0,1.0,4.6442917664535344e-05,1.0,1.0,1.0,1.0,,,,,,,
22,1609,,,,,,,,0.9998303651809692,0.9998267889022827,0.0011776633327826858,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
22,1609,1.0,1.0,4.642915882868692e-05,1.0,1.0,1.0,1.0,,,,,,,
23,1679,,,,,,,,0.9998303651809692,0.9998267889022827,0.0011749075492843986,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
23,1679,1.0,1.0,4.292753874324262e-05,1.0,1.0,1.0,1.0,,,,,,,
24,1749,,,,,,,,0.9998303651809692,0.9998267889022827,0.0012120408937335014,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
24,1749,1.0,1.0,4.0200782677857205e-05,1.0,1.0,1.0,1.0,,,,,,,
25,1819,,,,,,,,0.9998303651809692,0.9998267889022827,0.0012514899717643857,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
25,1819,1.0,1.0,4.092728704563342e-05,1.0,1.0,1.0,1.0,,,,,,,
26,1889,,,,,,,,0.9998303651809692,0.9998267889022827,0.0012724235421046615,0.9998267889022827,0.9998267889022827,0.9998267889022827,0.9998303651809692
26,1889,1.0,1.0,3.538543751346879e-05,1.0,1.0,1.0,1.0,,,,,,,
27,1959,,,,,,,,0.9997455477714539,0.999727725982666,0.0013284912565723062,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
27,1959,1.0,1.0,3.496678255032748e-05,1.0,1.0,1.0,1.0,,,,,,,
28,2029,,,,,,,,0.9997455477714539,0.999727725982666,0.001349855330772698,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
28,2029,1.0,1.0,3.31016635755077e-05,1.0,1.0,1.0,1.0,,,,,,,
29,2099,,,,,,,,0.9997455477714539,0.999727725982666,0.0013774172402918339,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
29,2099,1.0,1.0,3.1556246540276334e-05,1.0,1.0,1.0,1.0,,,,,,,
30,2169,,,,,,,,0.9997455477714539,0.999727725982666,0.0013598320074379444,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
30,2169,1.0,1.0,2.8125410608481616e-05,1.0,1.0,1.0,1.0,,,,,,,
31,2239,,,,,,,,0.9997455477714539,0.999727725982666,0.0013786612544208765,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
31,2239,1.0,1.0,2.8434700652724132e-05,1.0,1.0,1.0,1.0,,,,,,,
32,2309,,,,,,,,0.9997455477714539,0.999727725982666,0.0013827027287334204,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
32,2309,1.0,1.0,2.666922409844119e-05,1.0,1.0,1.0,1.0,,,,,,,
33,2379,,,,,,,,0.9997455477714539,0.999727725982666,0.0013825459172949195,0.9997401833534241,0.9997526407241821,0.999727725982666,0.9997455477714539
33,2379,1.0,1.0,2.6794263249030337e-05,1.0,1.0,1.0,1.0,,,,,,,
