epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,36,,,,,,,,0.7958089709281921,0.11740558594465256,1.0776695013046265,0.11884725093841553,0.13251014053821564,0.11740558594465256,0.7170519828796387
0,36,0.6639410853385925,0.12340930849313736,2.0688443183898926,0.09115555137395859,0.08403146266937256,0.12340930849313736,0.6494771242141724,,,,,,,
1,73,,,,,,,,0.8747563362121582,0.25875717401504517,0.3915204703807831,0.2501112222671509,0.2783944010734558,0.25875717401504517,0.8310176730155945
1,73,0.8102561235427856,0.1368064433336258,0.5935514569282532,0.1256977766752243,0.1940782070159912,0.1368064433336258,0.7391794919967651,,,,,,,
2,110,,,,,,,,0.9166666865348816,0.3142552375793457,0.24552559852600098,0.29296940565109253,0.2783336937427521,0.3142552375793457,0.888782262802124
2,110,0.8985216617584229,0.29049327969551086,0.31365156173706055,0.2857413589954376,0.28160667419433594,0.29049327969551086,0.86518394947052,,,,,,,
3,147,,,,,,,,0.9678362607955933,0.5847490429878235,0.1480017751455307,0.5713635087013245,0.5663318037986755,0.5847490429878235,0.9635888338088989
3,147,0.939080536365509,0.40858086943626404,0.1832597404718399,0.41942664980888367,0.5183504819869995,0.40858086943626404,0.9283837676048279,,,,,,,
4,184,,,,,,,,0.9831058979034424,0.7149531841278076,0.08356383442878723,0.7191137671470642,0.7509661316871643,0.7149531841278076,0.9823322296142578
4,184,0.9729788303375244,0.6194211840629578,0.09203369915485382,0.6356061100959778,0.7394927144050598,0.6194211840629578,0.9719188213348389,,,,,,,
5,221,,,,,,,,0.9868420958518982,0.6948685646057129,0.05486328527331352,0.7075898051261902,0.7995619773864746,0.6948685646057129,0.9854524731636047
5,221,0.9872204661369324,0.7497281432151794,0.05086017772555351,0.753322184085846,0.7710712552070618,0.7497281432151794,0.9867616891860962,,,,,,,
6,258,,,,,,,,0.9886289834976196,0.7735567688941956,0.039761535823345184,0.7987605929374695,0.8906120657920837,0.7735567688941956,0.987895667552948
6,258,0.9917149543762207,0.76883864402771,0.03183446824550629,0.7826025485992432,0.8071808218955994,0.76883864402771,0.9912930727005005,,,,,,,
7,295,,,,,,,,0.9896036386489868,0.9140889048576355,0.034538693726062775,0.915195882320404,0.9598971009254456,0.9140889048576355,0.9892771244049072
7,295,0.992527186870575,0.8211196064949036,0.02348923496901989,0.8558805584907532,0.9646143913269043,0.8211196064949036,0.9922853112220764,,,,,,,
8,332,,,,,,,,0.9913905262947083,0.9216416478157043,0.033018846064805984,0.9255521297454834,0.9503714442253113,0.9216416478157043,0.9911440014839172
8,332,0.9926896691322327,0.8772514462471008,0.02106720767915249,0.909191906452179,0.9611515998840332,0.8772514462471008,0.9925791025161743,,,,,,,
9,369,,,,,,,,0.9899285435676575,0.9184414744377136,0.02880040928721428,0.9292662143707275,0.9459056854248047,0.9184414744377136,0.9897007346153259
9,369,0.993339478969574,0.9018840193748474,0.0193643718957901,0.9235172867774963,0.9591874480247498,0.9018840193748474,0.9932639598846436,,,,,,,
10,406,,,,,,,,0.9904158711433411,0.9076166152954102,0.03388875722885132,0.9124662280082703,0.9706370234489441,0.9076166152954102,0.9898396134376526
10,406,0.9939351081848145,0.932130753993988,0.017291592434048653,0.9396737217903137,0.9519914984703064,0.932130753993988,0.9938659071922302,,,,,,,
11,443,,,,,,,,0.9900909662246704,0.9124416708946228,0.030237076804041862,0.9288220405578613,0.9767839908599854,0.9124416708946228,0.9897103309631348
11,443,0.99339359998703,0.8785235285758972,0.019347866997122765,0.9133360981941223,0.9780952334403992,0.8785235285758972,0.9931414723396301,,,,,,,
12,480,,,,,,,,0.9910656213760376,0.9252398014068604,0.030464090406894684,0.9432289004325867,0.9787781834602356,0.9252398014068604,0.9908534288406372
12,480,0.9949098229408264,0.9397695064544678,0.014942222274839878,0.9538338780403137,0.9761280417442322,0.9397695064544678,0.9948471188545227,,,,,,,
13,517,,,,,,,,0.9923651814460754,0.9269008636474609,0.028414752334356308,0.9423697590827942,0.9686803817749023,0.9269008636474609,0.9921501278877258
13,517,0.9948557019233704,0.9107361435890198,0.014482313767075539,0.9382131099700928,0.97782963514328,0.9107361435890198,0.9948030710220337,,,,,,,
14,554,,,,,,,,0.9909031987190247,0.925896942615509,0.026669465005397797,0.9382473826408386,0.9573802947998047,0.925896942615509,0.990717351436615
14,554,0.9951264262199402,0.9218698143959045,0.013899607583880424,0.9417965412139893,0.968740701675415,0.9218698143959045,0.9950569272041321,,,,,,,
15,591,,,,,,,,0.9909031987190247,0.925896942615509,0.025608086958527565,0.938248336315155,0.9573688507080078,0.925896942615509,0.9907146096229553
15,591,0.9955055117607117,0.9430232048034668,0.012695432640612125,0.9619507789611816,0.9856815338134766,0.9430232048034668,0.9954469799995422,,,,,,,
16,628,,,,,,,,0.9912280440330505,0.9263074994087219,0.025972729548811913,0.9404023289680481,0.9618291854858398,0.9263074994087219,0.9910396337509155
16,628,0.995343029499054,0.9277159571647644,0.012352353893220425,0.9530656933784485,0.9850015044212341,0.9277159571647644,0.9952902793884277,,,,,,,
17,665,,,,,,,,0.9912280440330505,0.9338560104370117,0.02726237289607525,0.9392929077148438,0.9569251537322998,0.9338560104370117,0.9911291003227234
17,665,0.995343029499054,0.927356481552124,0.012850947678089142,0.9440750479698181,0.9648051261901855,0.927356481552124,0.9952956438064575,,,,,,,
18,702,,,,,,,,0.9925276041030884,0.9279114603996277,0.025954540818929672,0.9434647560119629,0.96710205078125,0.9279114603996277,0.9923297762870789
18,702,0.9950723052024841,0.9429855346679688,0.014332013204693794,0.9577946662902832,0.979743242263794,0.9429855346679688,0.9950345754623413,,,,,,,
19,739,,,,,,,,0.9923651814460754,0.927706241607666,0.025888556614518166,0.94245845079422,0.9653782844543457,0.927706241607666,0.9921766519546509
19,739,0.995180606842041,0.9515831470489502,0.012504080310463905,0.9556347727775574,0.963242769241333,0.9515831470489502,0.9951649308204651,,,,,,,
20,776,,,,,,,,0.9900909662246704,0.9122893214225769,0.028637686744332314,0.9280279278755188,0.9573866724967957,0.9122893214225769,0.9897616505622864
20,776,0.9952347278594971,0.9277601838111877,0.011426995508372784,0.9518371224403381,0.9816248416900635,0.9277601838111877,0.9951841235160828,,,,,,,
21,813,,,,,,,,0.993014931678772,0.9276552200317383,0.023961393162608147,0.9442668557167053,0.968988835811615,0.9276552200317383,0.9928146600723267
21,813,0.9957762360572815,0.9451436400413513,0.010734740644693375,0.9579872488975525,0.9745056629180908,0.9451436400413513,0.9957261681556702,,,,,,,
22,850,,,,,,,,0.9912280440330505,0.9077210426330566,0.02575751207768917,0.925555944442749,0.9859027862548828,0.9077210426330566,0.9907224178314209
22,850,0.9959928393363953,0.9711858630180359,0.010969674214720726,0.9701831340789795,0.9712410569190979,0.9711858630180359,0.9959710240364075,,,,,,,
23,887,,,,,,,,0.9931774139404297,0.9372290968894958,0.024224108085036278,0.9433287978172302,0.9610535502433777,0.9372290968894958,0.9930546879768372
23,887,0.9964260458946228,0.9703269004821777,0.01031331904232502,0.9783671498298645,0.9880220293998718,0.9703269004821777,0.9964041113853455,,,,,,,
24,924,,,,,,,,0.9936647415161133,0.9355913996696472,0.023736629635095596,0.9557397961616516,0.9897616505622864,0.9355913996696472,0.9934916496276855
24,924,0.9958845376968384,0.9654220938682556,0.010112849064171314,0.9740033149719238,0.9842483401298523,0.9654220938682556,0.9958520531654358,,,,,,,
25,961,,,,,,,,0.9925276041030884,0.9412336349487305,0.025983557105064392,0.946155846118927,0.9601614475250244,0.9412336349487305,0.9924639463424683
25,961,0.9958845376968384,0.9620298743247986,0.010129950940608978,0.9714295268058777,0.9829815030097961,0.9620298743247986,0.9958433508872986,,,,,,,
26,998,,,,,,,,0.9939895868301392,0.936030387878418,0.024110672995448112,0.9561588168144226,0.9901595711708069,0.936030387878418,0.9938152432441711
26,998,0.9957221150398254,0.9670724868774414,0.010136422701179981,0.9734360575675964,0.9806456565856934,0.9670724868774414,0.9956993460655212,,,,,,,
27,1035,,,,,,,,0.9936647415161133,0.9355818629264832,0.02292950078845024,0.9532727599143982,0.979979932308197,0.9355818629264832,0.9934991002082825
27,1035,0.996209442615509,0.966841995716095,0.00916512031108141,0.9754015803337097,0.9853680729866028,0.966841995716095,0.9961771368980408,,,,,,,
28,1072,,,,,,,,0.9931774139404297,0.9372100830078125,0.02475483901798725,0.9444114565849304,0.9628701210021973,0.9372100830078125,0.9930388927459717
28,1072,0.9963719248771667,0.9728556275367737,0.009592169895768166,0.9815405011177063,0.9915452599525452,0.9728556275367737,0.9963492751121521,,,,,,,
29,1109,,,,,,,,0.9936647415161133,0.92938631772995,0.024636253714561462,0.9503567218780518,0.990199863910675,0.92938631772995,0.993431031703949
29,1109,0.9963719248771667,0.9669082760810852,0.009009033441543579,0.9748923182487488,0.984489917755127,0.9669082760810852,0.9963464140892029,,,,,,,
30,1146,,,,,,,,0.9922027587890625,0.9337916374206543,0.024847503751516342,0.9534525871276855,0.9871507287025452,0.9337916374206543,0.9920446872711182
30,1146,0.9965885281562805,0.9687091708183289,0.008629792369902134,0.971187174320221,0.9767270684242249,0.9687091708183289,0.9965565800666809,,,,,,,
31,1183,,,,,,,,0.9943144917488098,0.9302453994750977,0.023186538368463516,0.9511919021606445,0.9910065531730652,0.9302453994750977,0.9940765500068665
31,1183,0.9966426491737366,0.9366890788078308,0.009174947626888752,0.954960823059082,0.982674777507782,0.9366890788078308,0.9966109395027161,,,,,,,
32,1220,,,,,,,,0.9943144917488098,0.9364409446716309,0.02477629855275154,0.9567837119102478,0.9909979701042175,0.9364409446716309,0.9941378235816956
32,1220,0.9966968297958374,0.9695310592651367,0.008247536607086658,0.9704633355140686,0.9740143418312073,0.9695310592651367,0.9966716170310974,,,,,,,
33,1257,,,,,,,,0.9943144917488098,0.9364599585533142,0.022678162902593613,0.9565766453742981,0.9905712008476257,0.9364599585533142,0.994138240814209
33,1257,0.9963719248771667,0.9753672480583191,0.009471497498452663,0.9798336029052734,0.9846212267875671,0.9753672480583191,0.9963602423667908,,,,,,,
34,1294,,,,,,,,0.9920402765274048,0.9398199915885925,0.025540921837091446,0.9578868746757507,0.9862732887268066,0.9398199915885925,0.99192875623703
34,1294,0.9965343475341797,0.9695298075675964,0.00839094165712595,0.9768562316894531,0.985157310962677,0.9695298075675964,0.9965071082115173,,,,,,,
35,1331,,,,,,,,0.9936647415161133,0.9356389045715332,0.02469952218234539,0.9549264311790466,0.9881527423858643,0.9356389045715332,0.9934963583946228
35,1331,0.9968051314353943,0.9716857075691223,0.007924084551632404,0.9783281683921814,0.9858207702636719,0.9716857075691223,0.9967837929725647,,,,,,,
36,1368,,,,,,,,0.9918778538703918,0.9333526492118835,0.026308994740247726,0.9530332684516907,0.9866897463798523,0.9333526492118835,0.9917209148406982
36,1368,0.9964260458946228,0.969256579875946,0.008280078880488873,0.9758601188659668,0.9833696484565735,0.969256579875946,0.9964024424552917,,,,,,,
37,1405,,,,,,,,0.9941520690917969,0.9362451434135437,0.024650665000081062,0.9563643336296082,0.9903612732887268,0.9362451434135437,0.9939776659011841
37,1405,0.9970217347145081,0.9700635075569153,0.00772693008184433,0.9809596538543701,0.994204580783844,0.9700635075569153,0.9969865083694458,,,,,,,
38,1442,,,,,,,,0.9935022592544556,0.9353955388069153,0.024995645508170128,0.955117404460907,0.9887240529060364,0.9353955388069153,0.9933316111564636
38,1442,0.997184157371521,0.9721053242683411,0.0070485640317201614,0.9812919497489929,0.9921603798866272,0.9721053242683411,0.9971522092819214,,,,,,,
39,1479,,,,,,,,0.9925276041030884,0.9342117309570312,0.025999130681157112,0.9538699984550476,0.9875660538673401,0.9342117309570312,0.9923677444458008
39,1479,0.9970217347145081,0.9720327258110046,0.006817490328103304,0.9821988940238953,0.9943510890007019,0.9720327258110046,0.9969906210899353,,,,,,,
40,1516,,,,,,,,0.993014931678772,0.9348084330558777,0.026841722428798676,0.9551193118095398,0.9893741607666016,0.9348084330558777,0.992855966091156
40,1516,0.9969134330749512,0.9769284129142761,0.007029442582279444,0.9804877638816833,0.9842222332954407,0.9769284129142761,0.9969009757041931,,,,,,,
41,1553,,,,,,,,0.9943144917488098,0.9355689883232117,0.025104325264692307,0.9563364386558533,0.9909930229187012,0.9355689883232117,0.9941352009773254
41,1553,0.9974007606506348,0.9746527671813965,0.006508362479507923,0.9827784895896912,0.9923822283744812,0.9746527671813965,0.9973722696304321,,,,,,,
42,1590,,,,,,,,0.9926900863647461,0.9272542595863342,0.02397798001766205,0.9486634135246277,0.988969624042511,0.9272542595863342,0.9924647808074951
42,1590,0.9938809871673584,0.9535360336303711,0.016245393082499504,0.9641940593719482,0.9768934845924377,0.9535360336303711,0.9938700199127197,,,,,,,
43,1627,,,,,,,,0.9915529489517212,0.9329707026481628,0.02651888318359852,0.9526190757751465,0.9863805770874023,0.9329707026481628,0.9913989305496216
