epoch,step,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,0.6734693646430969,0.6609848737716675,0.6625353097915649,0.6487455368041992,0.6465517282485962,0.6609848737716675,0.68107670545578
0,0,0.5103448033332825,0.5235180258750916,0.6964996457099915,0.5008484721183777,0.5209128856658936,0.5235180258750916,0.5241144895553589,,,,,,,
1,1,,,,,,,,0.7755101919174194,0.720643937587738,0.6486449241638184,0.7306346893310547,0.7489316463470459,0.720643937587738,0.7687788605690002
1,1,0.5793103575706482,0.5382302403450012,0.6806657314300537,0.5366441011428833,0.5365053415298462,0.5382302403450012,0.5841587781906128,,,,,,,
2,2,,,,,,,,0.7142856121063232,0.5946969985961914,0.6365099549293518,0.589712917804718,0.6937984228134155,0.5946969985961914,0.6681476831436157
2,2,0.6413792967796326,0.5530498027801514,0.6664291620254517,0.5511904954910278,0.5683075189590454,0.5530498027801514,0.6191790103912354,,,,,,,
3,3,,,,,,,,0.6938775777816772,0.53125,0.6259372234344482,0.46623092889785767,0.84375,0.53125,0.5871682167053223
3,3,0.6758620738983154,0.5472508668899536,0.6536562442779541,0.5234599113464355,0.6128205060958862,0.5472508668899536,0.6145294904708862,,,,,,,
4,4,,,,,,,,0.6938775777816772,0.53125,0.6167239546775818,0.46623092889785767,0.84375,0.53125,0.5871682167053223
4,4,0.6689655184745789,0.5157860517501831,0.6421877145767212,0.45386064052581787,0.5881295204162598,0.5157860517501831,0.5696863532066345,,,,,,,
5,5,,,,,,,,0.6938775777816772,0.53125,0.6086585521697998,0.46623092889785767,0.84375,0.53125,0.5871682167053223
5,5,0.6758620738983154,0.5156787037849426,0.6318668127059937,0.4408893287181854,0.67136150598526,0.5156787037849426,0.5633751153945923,,,,,,,
6,6,,,,,,,,0.6938775777816772,0.53125,0.6015123724937439,0.46623092889785767,0.84375,0.53125,0.5871682167053223
