epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,3,,,,,,,,,,,,,,,0.6756756901741028,0.25,1.3528010845184326,0.2016129195690155,0.1689189225435257,0.25,0.5448997616767883
0,3,,,,,,,,0.5893664956092834,0.2754960358142853,1.3744815587997437,0.2585870027542114,0.27637985348701477,0.2754960358142853,0.5666799545288086,,,,,,,
1,7,,,,,,,,,,,,,,,0.6756756901741028,0.25,1.3203626871109009,0.2016129195690155,0.1689189225435257,0.25,0.5448997616767883
1,7,,,,,,,,0.7070135474205017,0.25,1.3394999504089355,0.20709078013896942,0.17675338685512543,0.25,0.5856639742851257,,,,,,,
2,11,,,,,,,,,,,,,,,0.6756756901741028,0.25,1.2371717691421509,0.2016129195690155,0.1689189225435257,0.25,0.5448997616767883
2,11,,,,,,,,0.7070135474205017,0.25,1.2995456457138062,0.20709078013896942,0.17675338685512543,0.25,0.5856639742851257,,,,,,,
3,15,,,,,,,,,,,,,,,0.6756756901741028,0.25,1.0515038967132568,0.2016129195690155,0.1689189225435257,0.25,0.5448997616767883
3,15,,,,,,,,0.7070135474205017,0.25,1.0731950998306274,0.20709078013896942,0.17675338685512543,0.25,0.5856639742851257,,,,,,,
4,19,,,,,,,,,,,,,,,0.8603603839874268,0.4461403489112854,0.4859354794025421,0.4347117841243744,0.4243221879005432,0.4461403489112854,0.8294723033905029
4,19,,,,,,,,0.7160633206367493,0.2606382966041565,0.7633000016212463,0.2286379039287567,0.4007936716079712,0.2606382966041565,0.6064506769180298,,,,,,,
5,23,,,,,,,,,,,,,,,0.8828828930854797,0.6132675409317017,0.2977454364299774,0.564408540725708,0.5346568822860718,0.6132675409317017,0.8756098747253418
5,23,,,,,,,,0.8552036285400391,0.48571181297302246,0.48282989859580994,0.47570866346359253,0.6509799957275391,0.48571181297302246,0.8288421630859375,,,,,,,
