epoch,step,test_acc,test_balanced_acc,test_loss,test_macro_f1,test_macro_precision,test_macro_recall,test_weighted_f1,train_acc,train_balanced_acc,train_loss,train_macro_f1,train_macro_precision,train_macro_recall,train_weighted_f1,val_acc,val_balanced_acc,val_loss,val_macro_f1,val_macro_precision,val_macro_recall,val_weighted_f1
0,0,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6878125071525574,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
0,0,,,,,,,,0.45098039507865906,0.44863730669021606,0.6931472420692444,0.4128289818763733,0.46459195017814636,0.44863730669021606,0.4964686930179596,,,,,,,
1,1,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6825810074806213,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
1,1,,,,,,,,0.779411792755127,0.5,0.6876088976860046,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
2,2,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6774540543556213,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
2,2,,,,,,,,0.779411792755127,0.5,0.6821736097335815,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
3,3,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6724293231964111,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
3,3,,,,,,,,0.779411792755127,0.5,0.6768408417701721,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
4,4,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6674937605857849,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
4,4,,,,,,,,0.779411792755127,0.5,0.6716011166572571,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
5,5,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6626083850860596,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
5,5,,,,,,,,0.779411792755127,0.5,0.6664235591888428,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
6,6,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6576863527297974,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
6,6,,,,,,,,0.779411792755127,0.5,0.6612313389778137,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
7,7,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6525570750236511,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
7,7,,,,,,,,0.779411792755127,0.5,0.6558670997619629,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
8,8,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6469066143035889,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
8,8,,,,,,,,0.779411792755127,0.5,0.6500399112701416,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
9,9,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6402377486228943,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
9,9,,,,,,,,0.779411792755127,0.5,0.6432570815086365,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
10,10,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6318213939666748,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
10,10,,,,,,,,0.779411792755127,0.5,0.6347463726997375,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
11,11,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6206410527229309,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
11,11,,,,,,,,0.779411792755127,0.5,0.6233776807785034,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
12,12,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.6053565740585327,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
12,12,,,,,,,,0.779411792755127,0.5,0.6076096892356873,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
13,13,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.5843912959098816,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
13,13,,,,,,,,0.779411792755127,0.5,0.5855296850204468,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
14,14,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.5562626123428345,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
14,14,,,,,,,,0.779411792755127,0.5,0.5551063418388367,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
15,15,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.5203643441200256,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
15,15,,,,,,,,0.779411792755127,0.5,0.5148847699165344,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
16,16,,,,,,,,,,,,,,,0.7692307829856873,0.5,0.4789077341556549,0.43478259444236755,0.38461539149284363,0.5,0.6688963174819946
16,16,,,,,,,,0.779411792755127,0.5,0.4652721583843231,0.43801653385162354,0.3897058963775635,0.5,0.6827905178070068,,,,,,,
17,17,,,,,,,,,,,,,,,0.7884615659713745,0.6000000238418579,0.43812260031700134,0.6132522225379944,0.7042553424835205,0.6000000238418579,0.7534196972846985
17,17,,,,,,,,0.8284314274787903,0.6350104808807373,0.4103800356388092,0.6626824736595154,0.821143627166748,0.6350104808807373,0.7948179841041565,,,,,,,
18,18,,,,,,,,,,,,,,,0.7884615659713745,0.6000000238418579,0.4082055389881134,0.6132522225379944,0.7042553424835205,0.6000000238418579,0.7534196972846985
18,18,,,,,,,,0.7892157435417175,0.6257861852645874,0.35888633131980896,0.64130038022995,0.6826298236846924,0.6257861852645874,0.770020604133606,,,,,,,
19,19,,,,,,,,,,,,,,,0.7692307829856873,0.5874999761581421,0.3975447118282318,0.5968992114067078,0.6521738767623901,0.5874999761581421,0.7388193607330322
19,19,,,,,,,,0.7990196347236633,0.6639413237571716,0.3208680748939514,0.678196370601654,0.7029411792755127,0.6639413237571716,0.7883872389793396,,,,,,,
20,20,,,,,,,,,,,,,,,0.7307692766189575,0.5625,0.4039517045021057,0.5666667222976685,0.5852272510528564,0.5625,0.7102564573287964
20,20,,,,,,,,0.8088235855102539,0.6861635446548462,0.2998470366001129,0.6996262073516846,0.7202380895614624,0.6861635446548462,0.800833523273468,,,,,,,
21,21,,,,,,,,,,,,,,,0.75,0.6333333253860474,0.41866761445999146,0.6371443271636963,0.6419068574905396,0.6333333253860474,0.74610835313797
21,21,,,,,,,,0.8186274766921997,0.756184458732605,0.28649479150772095,0.7461577653884888,0.7380519509315491,0.756184458732605,0.821951687335968,,,,,,,
22,22,,,,,,,,,,,,,,,0.7884615659713745,0.7166666984558105,0.43073591589927673,0.7103797197341919,0.7051281929016113,0.7166666984558105,0.7913534641265869
22,22,,,,,,,,0.833333432674408,0.797484278678894,0.271001398563385,0.7748051881790161,0.7597315311431885,0.797484278678894,0.8389610052108765,,,,,,,
